policy_id,customer_id,policy_type,policy_start_date,monthly_premium,coverage_amount,vehicle_count,is_active,current_discount
POL-30885476,CUST-617024,Life,2024-11-30,132.72,366000,0,1,0.208
POL-965138,CUST-74441,Renters,2019-03-29,25.04,66000,0,1,0.152
POL-30728046,CUST-70674,Umbrella,2016-06-29,386.0,2855000,0,1,0.128
POL-44349361,CUST-74299,Life,2016-01-11,140.3,348000,0,1,0.158
POL-31944441,CUST-292004,Umbrella,2024-03-28,237.35,4993000,0,1,0.168
POL-28754377,CUST-565427,Health,2023-10-02,1006.56,127000,0,1,0.061
POL-97086737,CUST-980957,Boat,2017-09-29,566.76,428000,1,1,0.222
POL-77337818,CUST-495631,Business,2025-03-17,888.87,3321000,0,1,0.061
POL-63481353,CUST-846721,Auto,2019-08-17,321.02,476000,1,1,0.055
POL-25556386,CUST-98907,RV,2022-06-02,625.18,196000,1,0,0.03
POL-88447167,CUST-451989,Life,2017-02-21,165.25,750000,0,1,0.14
POL-56851760,CUST-431071,Umbrella,2021-07-09,580.02,4739000,0,1,0.204
POL-97854904,CUST-56802,RV,2023-06-09,598.72,288000,2,1,0.186
POL-8135295,CUST-422179,Boat,2017-03-02,470.04,419000,1,1,0.069
POL-14665841,CUST-260735,RV,2021-04-07,639.22,113000,2,1,0.178
POL-25529407,CUST-562336,Health,2018-10-02,471.72,218000,0,1,0.02
POL-18814949,CUST-442374,Life,2023-02-15,65.47,778000,0,1,0.053
POL-37385696,CUST-485100,Motorcycle,2018-08-13,78.91,81000,4,1,0.052
POL-10117988,CUST-464656,Motorcycle,2019-09-29,76.74,87000,1,1,0.191
POL-13141087,CUST-53045,Motorcycle,2024-11-08,87.24,56000,3,1,0.213
POL-1980765,CUST-97793,Motorcycle,2024-09-09,94.59,82000,2,1,0.068
POL-22321899,CUST-426156,Boat,2019-07-07,217.41,201000,2,1,0.21
POL-64606833,CUST-224130,Life,2023-10-03,196.63,610000,0,1,0.099
POL-7869910,CUST-172634,Business,2022-04-25,1826.0,804000,0,1,0.034
POL-289289,CUST-409386,Boat,2021-12-09,309.04,161000,2,1,0.114
POL-61070189,CUST-299105,Umbrella,2020-01-02,504.49,2590000,0,1,0.238
POL-93494928,CUST-765990,Motorcycle,2022-09-09,60.27,21000,4,1,0.135
POL-88834863,CUST-753305,Umbrella,2024-12-12,289.69,1288000,0,1,0.163
POL-20776478,CUST-199122,Auto,2023-10-10,336.4,130000,1,1,0.06
POL-29219319,CUST-61324,Boat,2020-07-16,601.68,321000,1,1,0.064
POL-98748972,CUST-568532,Umbrella,2025-05-06,267.12,3547000,0,0,0.18
POL-42091325,CUST-59942,Life,2016-07-12,193.83,163000,0,1,0.232
POL-78406989,CUST-499948,Business,2016-05-06,1854.69,3248000,0,1,0.179
POL-71286543,CUST-165080,Home,2024-01-18,514.47,1842000,0,1,0.025
POL-68159587,CUST-84002,Renters,2016-06-17,44.76,89000,0,1,0.199
POL-9196777,CUST-623939,Business,2018-08-27,2065.27,3013000,0,1,0.165
POL-90625494,CUST-903682,Home,2016-08-25,454.17,816000,0,1,0.105
POL-54193837,CUST-125710,Boat,2019-06-30,263.32,215000,2,1,0.109
POL-33046464,CUST-607040,RV,2025-03-08,975.83,121000,2,1,0.206
POL-83131979,CUST-85965,Business,2016-03-02,1036.79,2159000,0,1,0.022
POL-88231132,CUST-612024,Boat,2022-08-16,346.32,269000,2,1,0.124
POL-70166708,CUST-331737,Umbrella,2025-02-09,272.74,1890000,0,1,0.065
POL-27415205,CUST-702258,Renters,2019-12-06,45.81,46000,0,1,0.129
POL-32035886,CUST-278517,Health,2020-11-02,285.61,428000,0,1,0.139
POL-17566185,CUST-704318,Health,2022-03-24,890.61,389000,0,1,0.112
POL-61367643,CUST-331535,Auto,2020-08-06,105.12,141000,4,1,0.077
POL-1250299,CUST-480547,Business,2016-09-22,1238.04,4743000,0,1,0.106
POL-13419256,CUST-76819,RV,2025-01-26,531.55,234000,2,1,0.063
POL-28609087,CUST-530458,Home,2024-08-21,604.9,762000,0,1,0.134
POL-17778019,CUST-978593,Life,2020-01-02,58.52,824000,0,1,0.181
POL-9233013,CUST-921981,RV,2021-06-06,717.75,76000,1,1,0.09
POL-49597086,CUST-298830,Renters,2019-08-25,15.5,80000,0,1,0.011
POL-58812137,CUST-874244,Auto,2018-03-06,229.41,391000,2,1,0.188
POL-94427530,CUST-317212,Home,2024-09-25,710.9,1304000,0,1,0.12
POL-1049999,CUST-700305,Umbrella,2024-06-28,273.75,1215000,0,1,0.215
POL-40181935,CUST-977017,Home,2024-12-05,675.48,940000,0,1,0.144
POL-18024248,CUST-277312,Auto,2017-04-03,120.97,450000,3,1,0.062
POL-14366125,CUST-778480,RV,2017-06-16,835.11,209000,1,1,0.095
POL-20863865,CUST-285577,Boat,2024-11-26,378.41,334000,2,1,0.155
POL-81178885,CUST-220861,Business,2020-04-14,2420.22,932000,0,0,0.052
POL-27326368,CUST-720892,Health,2021-04-29,464.65,93000,0,1,0.043
POL-67834855,CUST-512262,Home,2019-12-26,209.57,957000,0,1,0.148
POL-6818112,CUST-96781,Renters,2019-10-07,16.14,48000,0,1,0.176
POL-37135391,CUST-46228,Boat,2022-09-13,242.71,147000,2,1,0.156
POL-44769200,CUST-808577,Health,2015-07-22,625.14,336000,0,1,0.037
POL-85511909,CUST-274680,Renters,2017-09-19,43.93,19000,0,1,0.198
POL-99486328,CUST-463298,Business,2018-03-30,1997.92,4875000,0,0,0.11
POL-94713081,CUST-448462,Boat,2024-11-17,613.21,392000,2,0,0.125
POL-1297845,CUST-117308,Boat,2025-01-13,462.66,339000,1,1,0.184
POL-92747083,CUST-947837,Business,2016-10-09,1000.74,866000,0,1,0.169
POL-73227889,CUST-37778,Business,2018-01-11,1674.25,274000,0,0,0.168
POL-78183110,CUST-579364,Renters,2021-10-10,35.17,33000,0,1,0.163
POL-57684996,CUST-133636,Renters,2018-01-05,21.35,87000,0,1,0.204
POL-41373735,CUST-382364,Home,2016-03-15,429.01,956000,0,1,0.168
POL-48024342,CUST-220281,Life,2016-03-03,82.72,777000,0,1,0.166
POL-89514287,CUST-107786,Motorcycle,2019-09-27,127.63,82000,1,1,0.079
POL-75146293,CUST-927082,Umbrella,2021-07-05,246.37,4240000,0,1,0.129
POL-83303777,CUST-785884,Auto,2022-05-29,257.57,309000,4,1,0.047
POL-31774346,CUST-906604,Umbrella,2018-02-14,449.05,3091000,0,1,0.19
POL-23763566,CUST-924231,Health,2018-04-04,467.06,119000,0,0,0.11
POL-3326769,CUST-188073,Boat,2022-07-04,272.86,355000,1,1,0.078
POL-55259205,CUST-841204,Auto,2021-02-22,229.11,74000,2,0,0.228
POL-35810056,CUST-166931,Boat,2019-09-19,768.24,365000,1,1,0.179
POL-51343880,CUST-914533,RV,2017-05-01,793.79,159000,2,0,0.061
POL-63174945,CUST-233238,RV,2016-02-25,401.25,100000,1,1,0.069
POL-61780854,CUST-366643,Motorcycle,2018-11-21,70.79,77000,3,1,0.071
POL-30547349,CUST-233752,Renters,2020-09-07,44.31,86000,0,0,0.122
POL-88588154,CUST-202511,Life,2015-11-24,103.15,558000,0,1,0.138
POL-44058573,CUST-292136,RV,2022-04-09,564.05,295000,2,1,0.245
POL-37463522,CUST-368203,Health,2016-09-03,771.8,172000,0,1,0.103
POL-53643924,CUST-712526,Umbrella,2024-02-28,497.88,3958000,0,0,0.095
POL-44446182,CUST-984861,Life,2024-08-12,111.68,89000,0,1,0.241
POL-15480907,CUST-919641,Umbrella,2015-12-18,547.88,4667000,0,1,0.025
POL-23966966,CUST-608792,Boat,2019-12-09,209.21,101000,2,1,0.242
POL-5134794,CUST-113668,Home,2020-01-04,428.64,656000,0,1,0.173
POL-46397338,CUST-763934,Home,2022-11-20,696.24,1887000,0,1,0.133
POL-58571795,CUST-635656,Umbrella,2020-10-30,450.72,4722000,0,1,0.218
POL-15521714,CUST-403906,Auto,2024-03-11,246.71,148000,3,0,0.187
POL-25511941,CUST-267095,Motorcycle,2025-04-20,147.4,93000,1,1,0.174
POL-95131550,CUST-457239,Auto,2016-03-31,92.42,442000,1,1,0.094
POL-69782527,CUST-970535,Life,2015-07-10,67.73,482000,0,1,0.198
POL-92188405,CUST-754377,Life,2024-08-26,55.64,689000,0,1,0.155
POL-48884978,CUST-452248,Health,2018-11-05,697.67,356000,0,1,0.115
POL-89152472,CUST-965498,Renters,2016-09-06,31.08,97000,0,1,0.201
POL-83638503,CUST-329164,Renters,2021-02-09,38.72,31000,0,1,0.236
POL-96603781,CUST-943767,Business,2017-08-12,1098.31,3659000,0,1,0.114
POL-68064830,CUST-324308,Renters,2020-08-08,21.97,60000,0,1,0.027
POL-43779528,CUST-421947,Motorcycle,2022-06-10,98.63,85000,3,0,0.074
POL-74411983,CUST-133470,Motorcycle,2020-07-10,62.94,84000,1,0,0.186
POL-56431351,CUST-697229,Renters,2018-10-04,42.15,40000,0,1,0.088
POL-90908075,CUST-784475,Health,2021-12-10,820.89,405000,0,1,0.192
POL-82613013,CUST-596750,Life,2018-06-15,134.94,997000,0,1,0.01
POL-54502486,CUST-574553,Boat,2020-08-12,220.02,216000,1,1,0.074
POL-40785405,CUST-300850,Motorcycle,2015-07-02,51.08,27000,3,1,0.228
POL-57698610,CUST-823927,Life,2019-01-26,69.97,915000,0,0,0.242
POL-81424737,CUST-686508,Renters,2025-05-11,41.13,54000,0,1,0.117
POL-62409658,CUST-463246,Home,2020-12-22,198.53,573000,0,1,0.181
POL-90681152,CUST-224082,Motorcycle,2023-01-06,146.07,83000,3,1,0.099
POL-63509974,CUST-832291,Renters,2024-03-10,33.78,70000,0,1,0.187
POL-88429450,CUST-88914,Renters,2018-05-19,35.46,94000,0,0,0.027
POL-69182797,CUST-696101,Health,2020-04-27,671.48,375000,0,1,0.14
POL-12534217,CUST-858179,Business,2021-03-12,942.73,630000,0,1,0.116
POL-90301106,CUST-325498,Renters,2019-06-28,37.72,25000,0,1,0.237
POL-26726767,CUST-154511,Renters,2019-04-25,49.86,25000,0,1,0.222
POL-6202700,CUST-256736,Life,2015-11-28,93.01,439000,0,1,0.186
POL-82043803,CUST-891014,RV,2023-07-30,593.39,245000,1,1,0.164
POL-61124923,CUST-434572,Boat,2016-09-24,569.39,172000,1,1,0.054
POL-26096655,CUST-753240,Boat,2025-04-15,770.33,474000,2,1,0.171
POL-66354180,CUST-419066,RV,2022-01-09,931.19,219000,2,1,0.069
POL-19806690,CUST-687926,Home,2019-08-24,764.31,1828000,0,1,0.166
POL-14305904,CUST-816232,Business,2015-08-03,2442.19,524000,0,1,0.061
POL-29372360,CUST-184430,Life,2022-09-22,162.72,265000,0,1,0.191
POL-62350830,CUST-52657,Health,2024-04-21,786.38,476000,0,1,0.082
POL-33446826,CUST-962037,Life,2024-12-22,163.01,675000,0,1,0.215
POL-61265269,CUST-139816,Life,2017-07-23,197.82,616000,0,1,0.044
POL-89600766,CUST-556932,Auto,2023-05-26,115.59,213000,2,1,0.004
POL-79920257,CUST-332711,Renters,2025-01-01,16.83,65000,0,1,0.186
POL-82228802,CUST-854596,Boat,2023-01-09,468.97,215000,1,1,0.055
POL-57276174,CUST-870914,Business,2024-01-30,586.73,4474000,0,1,0.161
POL-59849511,CUST-940790,Auto,2024-10-24,96.42,276000,4,1,0.027
POL-99811743,CUST-903342,Boat,2018-03-14,244.09,67000,2,1,0.016
POL-60407340,CUST-271782,Renters,2023-07-27,36.85,87000,0,1,0.081
POL-85585469,CUST-290782,Business,2019-09-13,1561.11,3906000,0,1,0.108
POL-65041510,CUST-657193,Home,2024-05-12,696.95,1465000,0,1,0.138
POL-36855845,CUST-461239,Health,2019-07-25,630.07,170000,0,1,0.207
POL-95770370,CUST-299607,Motorcycle,2016-10-23,79.92,22000,3,1,0.166
POL-36468984,CUST-352161,Umbrella,2019-06-26,581.44,3881000,0,0,0.017
POL-72498004,CUST-84491,Home,2020-12-06,165.26,303000,0,1,0.093
POL-20244148,CUST-242495,Life,2017-11-05,122.36,665000,0,0,0.14
POL-93140367,CUST-160227,Home,2022-01-04,387.57,1932000,0,1,0.188
POL-8620650,CUST-435020,Auto,2019-02-18,341.47,340000,3,1,0.144
POL-44410148,CUST-568969,Health,2022-06-05,354.73,303000,0,1,0.027
POL-55804273,CUST-65290,RV,2023-06-03,557.29,250000,2,1,0.202
POL-56390708,CUST-408396,RV,2019-01-05,982.18,265000,1,1,0.164
POL-93351515,CUST-20480,Renters,2025-06-06,16.01,46000,0,1,0.077
POL-51053877,CUST-500149,Umbrella,2025-04-15,340.41,1761000,0,1,0.142
POL-47212267,CUST-313118,Motorcycle,2015-08-05,38.35,93000,1,1,0.133
POL-56240084,CUST-564365,Motorcycle,2022-02-16,80.38,55000,2,1,0.18
POL-80967191,CUST-941423,Business,2024-10-13,1692.45,541000,0,1,0.189
POL-65529051,CUST-230080,Auto,2019-03-31,261.97,168000,4,1,0.121
POL-58496914,CUST-509232,Boat,2020-02-19,448.51,138000,1,1,0.028
POL-52191530,CUST-352457,Business,2015-12-27,1473.27,2687000,0,1,0.099
POL-97197979,CUST-173061,Business,2022-05-16,609.56,1815000,0,1,0.053
POL-17129912,CUST-652483,Life,2023-06-12,158.73,354000,0,1,0.002
POL-3619375,CUST-950983,Motorcycle,2024-07-30,51.08,60000,2,1,0.208
POL-79442503,CUST-591807,Umbrella,2022-03-13,228.83,4615000,0,1,0.109
POL-11267237,CUST-673971,Boat,2015-12-15,752.7,477000,2,1,0.143
POL-18213276,CUST-908959,Motorcycle,2022-10-14,64.74,63000,1,0,0.043
POL-24391257,CUST-52727,Business,2023-05-07,1420.19,3135000,0,1,0.211
POL-50882459,CUST-343254,Health,2019-12-02,635.68,260000,0,1,0.099
POL-61028710,CUST-342722,Renters,2019-02-04,41.1,39000,0,1,0.042
POL-50885459,CUST-291773,RV,2021-03-27,743.26,189000,1,0,0.087
POL-33859311,CUST-875467,Life,2022-08-31,66.35,204000,0,1,0.043
POL-63123515,CUST-20324,Life,2016-11-19,158.04,737000,0,1,0.238
POL-6990811,CUST-998160,Boat,2024-09-01,478.37,321000,2,1,0.221
POL-30094589,CUST-681725,Business,2021-06-12,1146.42,2752000,0,1,0.017
POL-87477029,CUST-42213,Boat,2016-08-29,578.83,443000,2,1,0.088
POL-33189803,CUST-209044,Home,2016-01-08,317.29,1048000,0,1,0.092
POL-83394260,CUST-159784,Renters,2015-11-03,17.69,22000,0,1,0.127
POL-16941092,CUST-496564,Boat,2019-07-21,548.2,440000,1,1,0.202
POL-75694715,CUST-993795,Health,2017-06-09,521.53,299000,0,1,0.239
POL-62415804,CUST-733442,Boat,2019-03-15,262.1,496000,2,0,0.021
POL-49512272,CUST-175939,Life,2019-11-08,31.85,792000,0,1,0.11
POL-21980274,CUST-326147,RV,2017-06-10,726.86,145000,2,0,0.097
POL-77669750,CUST-26925,Umbrella,2017-05-01,471.56,1220000,0,1,0.162
POL-77282128,CUST-710250,Home,2020-10-19,330.78,1270000,0,1,0.071
POL-53238057,CUST-987203,Business,2021-11-17,2246.56,2896000,0,1,0.166
POL-10200074,CUST-620859,Umbrella,2018-11-13,324.09,3752000,0,1,0.098
POL-13676961,CUST-731059,Business,2019-08-17,1917.67,811000,0,1,0.094
POL-91839693,CUST-629577,Umbrella,2020-08-15,525.27,3811000,0,1,0.237
POL-75958181,CUST-820652,RV,2017-07-21,365.42,226000,2,1,0.005
POL-46600900,CUST-558623,Renters,2016-03-11,21.31,38000,0,1,0.192
POL-88787891,CUST-388571,Health,2022-10-12,426.54,122000,0,1,0.074
POL-67908907,CUST-678998,Home,2016-08-31,455.38,1232000,0,1,0.221
POL-1698142,CUST-890844,Auto,2021-04-19,258.72,484000,2,1,0.039
POL-65793759,CUST-110665,Life,2022-08-22,170.49,859000,0,1,0.226
POL-48612055,CUST-666459,Boat,2022-11-13,226.22,216000,1,0,0.153
POL-94933359,CUST-160422,Boat,2023-04-25,340.4,150000,2,0,0.196
POL-23640702,CUST-769440,Health,2022-11-26,567.84,349000,0,0,0.115
POL-87302916,CUST-283201,Renters,2024-05-15,42.23,76000,0,1,0.242
POL-64893936,CUST-487455,Health,2024-08-25,1001.26,123000,0,1,0.013
POL-98116677,CUST-621254,Boat,2022-11-26,724.47,316000,1,1,0.129
POL-43258988,CUST-893085,Home,2020-01-22,299.54,1700000,0,1,0.112
POL-11631697,CUST-292477,RV,2019-09-02,403.14,165000,1,0,0.056
POL-32730796,CUST-786931,Boat,2023-03-01,730.78,39000,2,1,0.126
POL-76483924,CUST-639979,Health,2023-05-26,586.17,93000,0,1,0.007
POL-45150390,CUST-30094,Home,2021-12-09,687.42,1463000,0,1,0.037
POL-43622663,CUST-190672,Auto,2023-11-26,157.46,460000,4,1,0.035
POL-28470244,CUST-372060,Boat,2023-10-15,469.16,28000,1,1,0.054
POL-45679506,CUST-293243,Life,2019-11-21,121.04,813000,0,1,0.106
POL-74597009,CUST-10644,Renters,2020-03-11,23.32,26000,0,1,0.105
POL-25643159,CUST-89771,Business,2024-04-13,1414.23,1030000,0,1,0.125
POL-96646785,CUST-426170,RV,2019-08-07,311.5,185000,1,1,0.073
POL-74514489,CUST-794993,Auto,2023-10-21,246.0,151000,4,1,0.167
POL-92692016,CUST-499219,RV,2019-08-01,982.26,68000,1,1,0.118
POL-60152969,CUST-831450,Motorcycle,2023-11-04,147.72,43000,1,1,0.017
POL-12489409,CUST-308528,Health,2015-10-15,932.94,379000,0,1,0.145
POL-54277800,CUST-725391,Umbrella,2019-04-06,253.36,2478000,0,1,0.203
POL-41098277,CUST-696212,Life,2019-08-19,170.32,768000,0,1,0.174
POL-49529086,CUST-496249,Life,2025-05-21,167.01,116000,0,1,0.236
POL-71259135,CUST-360455,Auto,2024-11-28,159.23,48000,2,1,0.079
POL-73871890,CUST-346859,Renters,2022-09-24,33.04,81000,0,1,0.009
POL-94335593,CUST-475786,Health,2021-06-24,486.11,459000,0,1,0.164
POL-41154241,CUST-263615,Renters,2020-02-07,19.36,58000,0,1,0.1
POL-16194158,CUST-756321,Boat,2019-06-01,736.78,228000,2,0,0.124
POL-42352128,CUST-125362,Boat,2018-10-08,420.41,443000,2,1,0.182
POL-92632184,CUST-194143,Home,2024-08-10,401.43,1825000,0,1,0.073
POL-29042654,CUST-774483,Home,2018-10-02,156.05,1486000,0,1,0.111
POL-37111151,CUST-759782,Motorcycle,2023-09-24,50.0,68000,3,1,0.182
POL-80099897,CUST-296745,Umbrella,2024-06-01,445.94,2824000,0,1,0.245
POL-26054020,CUST-310636,Auto,2017-03-15,100.26,359000,4,1,0.2
POL-48436637,CUST-188158,Life,2019-05-13,191.74,200000,0,1,0.17
POL-1898961,CUST-742411,Boat,2020-08-20,220.88,60000,1,1,0.092
POL-16989677,CUST-287636,Motorcycle,2024-07-30,143.94,14000,2,1,0.237
POL-7318358,CUST-580238,Umbrella,2016-04-07,377.58,1322000,0,1,0.132
POL-93605777,CUST-989949,Motorcycle,2020-06-18,67.73,47000,2,0,0.006
POL-85613415,CUST-910647,Life,2017-08-22,112.33,456000,0,0,0.029
POL-13769080,CUST-915112,Renters,2023-11-05,39.64,38000,0,0,0.071
POL-77049595,CUST-298151,Boat,2015-09-14,320.11,96000,1,1,0.225
POL-64251933,CUST-461865,Boat,2023-06-24,798.36,450000,2,1,0.177
POL-24744872,CUST-53872,RV,2021-04-16,679.52,284000,2,1,0.178
POL-64119726,CUST-119629,Life,2019-10-15,163.9,583000,0,1,0.246
POL-53782042,CUST-515633,Life,2016-08-09,66.43,568000,0,1,0.139
POL-77446468,CUST-660021,Umbrella,2016-10-02,386.96,3314000,0,1,0.221
POL-20364454,CUST-156445,Home,2016-05-28,316.5,1604000,0,1,0.131
POL-40780112,CUST-89318,Motorcycle,2025-01-25,128.8,20000,2,0,0.161
POL-15898299,CUST-585181,Boat,2019-09-19,479.5,296000,2,1,0.207
POL-81378577,CUST-625084,RV,2022-07-29,747.86,98000,1,1,0.228
POL-70138498,CUST-398855,Auto,2019-05-02,304.48,297000,2,1,0.04
POL-59421007,CUST-311797,Health,2023-02-27,546.02,322000,0,1,0.211
POL-40987442,CUST-596251,Renters,2022-10-15,21.87,82000,0,1,0.156
POL-81823275,CUST-776039,Business,2016-07-08,1566.96,4316000,0,1,0.148
POL-27888820,CUST-655900,Business,2017-03-07,808.39,2932000,0,1,0.141
POL-35520201,CUST-692509,Auto,2019-01-31,101.93,361000,3,1,0.192
POL-21079846,CUST-251516,Motorcycle,2016-11-15,104.17,14000,4,1,0.136
POL-74087145,CUST-78711,Renters,2018-06-14,31.9,100000,0,1,0.113
POL-359129,CUST-428361,Auto,2018-02-26,122.68,243000,4,1,0.085
POL-92525827,CUST-622656,Life,2023-02-27,79.7,803000,0,1,0.247
POL-39092160,CUST-34225,Umbrella,2023-06-27,590.15,1548000,0,1,0.129
POL-38668783,CUST-741296,Home,2019-06-07,323.38,1078000,0,1,0.112
POL-94353392,CUST-901362,Life,2020-04-20,41.94,354000,0,0,0.216
POL-9553585,CUST-720775,Motorcycle,2023-03-21,59.79,31000,3,0,0.18
POL-35507920,CUST-826097,Health,2019-06-19,963.12,311000,0,0,0.117
POL-57061186,CUST-120351,Renters,2018-11-10,32.41,22000,0,0,0.126
POL-30173413,CUST-679094,Health,2024-10-03,415.14,235000,0,1,0.07
