order_id,customer_id,book_isbn,order_date,quantity,price
131,271,978-0-526-89193-1,2010-03-07,5,48.61
132,52,978-1-193-17564-5,2025-01-22,3,6.96
133,441,INVALID,2020-02-30,-1,77.99
134,429,978-0-7443-9466-5,1978-08-14,5,51.05
135,195,978-0-86263-434-6,1976-03-09,4,66.0
136,448,978-0-7074-4177-1,1983-11-01,3,48.97
137,231,978-1-01-077970-4,1997-08-05,2,82.15
138,435,978-1-5212-5150-8,2025-03-27,2,15.06
139,170,978-1-178-44667-8,1975-10-27,2,12.87
140,280,978-0-9830114-8-4,1984-05-02,3,
141,429,978-1-75806-036-2,1974-04-15,1,34.33
142,270,978-1-361-92991-9,1972-10-28,4,32.77
143,306,978-0-08-374267-7,2023-10-02,5,14.99
144,352,978-0-467-50611-6,1989-09-04,5,90.94
145,242,978-1-115-06811-6,2020-02-30,3,85.21
146,156,978-1-876470-12-8,1988-08-30,1,
147,251,978-0-7479-9141-0,2020-10-08,5,75.05
148,458,978-1-952103-74-2,1995-03-09,1,8.54
149,52,978-0-597-30847-5,1992-11-06,3,57.41
150,308,978-1-4498-0051-2,2004-08-09,1,69.43
151,239,978-0-12-084849-2,2020-02-30,5,76.41
152,431,978-0-603-62950-1,1970-10-14,5,37.0
153,122,978-0-316-30932-5,1977-06-05,2,91.97
154,26,978-1-106-24717-9,2021-12-17,1,66.53
155,402,978-0-487-89781-2,2020-02-30,5,22.34
156,484,978-1-69840-959-7,1992-05-29,1,18.48
157,405,978-0-219-59447-7,1998-01-16,-1,
158,206,978-1-55037-731-6,1986-05-18,5,85.52
159,205,978-1-4217-5515-1,2022-07-01,2,74.56
160,333,978-0-01-451057-3,1995-11-18,4,87.33
161,290,978-1-71765-874-6,2007-09-04,4,96.87
162,185,978-0-604-29185-1,1973-06-24,2,95.21
163,255,978-0-9717142-3-6,2011-05-07,-1,8.55
164,360,978-1-228-06755-6,2011-02-07,4,85.12
165,33,978-0-295-54766-4,1985-10-23,4,90.24
166,316,978-1-86975-039-8,2015-07-17,5,20.87
167,134,978-1-935083-66-5,1999-10-12,5,69.46
168,463,978-1-04-425215-0,2020-10-10,3,38.86
169,41,978-1-4776-1799-1,1976-11-01,3,6.89
170,487,978-1-110-73878-6,1991-07-24,-1,68.77
171,192,978-1-972330-51-7,1980-09-08,4,10.63
172,231,978-1-932475-09-8,2004-08-29,1,92.74
173,498,978-1-366-51828-6,1985-02-27,2,58.91
174,93,978-1-4646-1819-2,2024-06-28,1,42.46
175,342,978-0-7492-1373-2,2020-02-30,3,16.34
176,325,978-0-85677-920-6,2011-02-11,4,80.56
177,445,978-0-339-75175-0,2020-02-30,2,92.67
178,495,978-1-09-678788-4,2020-02-30,1,91.82
179,390,978-1-5422-6632-1,2025-05-31,5,70.61
180,478,978-1-156-30833-2,2019-12-04,5,91.91
181,329,978-1-224-61850-9,1987-02-06,2,85.49
182,211,978-0-9977655-6-4,2005-08-21,3,57.51
183,289,978-1-57938-583-5,1990-02-24,1,97.21
184,315,978-0-690-58845-3,1976-07-05,4,62.65
185,434,978-0-453-82172-8,2019-06-23,2,90.6
186,495,978-1-79892-122-7,2002-09-07,4,
187,145,978-1-4012-3135-4,1996-08-19,1,12.33
188,153,978-1-67518-037-2,1978-01-10,-1,44.93
189,334,978-0-7156-3450-9,1972-09-20,5,86.66
190,420,978-1-75489-949-2,2013-01-21,3,65.62
191,278,978-1-04-693865-6,1975-10-27,2,27.22
192,445,978-0-9773907-0-0,2020-12-10,4,27.96
193,364,978-0-8497-7422-5,2021-06-01,1,52.33
194,55,978-1-59795-170-8,2006-02-02,1,31.98
195,393,978-0-7007-1760-6,2020-02-30,1,81.18
196,272,978-1-886319-76-9,2020-02-30,1,95.15
197,68,978-0-319-12291-4,1979-08-18,1,36.81
198,490,978-0-928423-04-4,1988-09-11,1,38.1
199,223,978-1-945099-72-4,1998-07-29,2,64.59
200,151,978-0-527-20563-8,1993-03-01,1,34.27
201,76,978-0-681-37869-8,2020-02-30,1,
202,401,978-1-07-820551-1,2014-07-22,3,46.75
203,231,978-1-60823-411-0,1978-03-08,3,98.67
204,258,INVALID,1974-02-21,5,84.72
205,167,978-1-243-91984-7,1981-08-01,5,29.8
206,366,978-1-72298-776-3,1999-01-10,3,22.88
207,185,978-1-925054-42-2,2010-12-17,3,16.4
208,480,978-0-221-44629-0,2017-11-25,4,29.21
209,280,978-0-513-67611-4,2017-10-03,1,26.55
210,133,978-1-77486-011-3,2018-10-17,2,19.88
211,372,978-0-590-07722-4,1988-03-06,5,12.35
212,390,978-1-337-58391-6,1998-03-14,4,97.44
213,236,978-0-267-98849-5,2006-08-22,1,19.76
214,98,978-1-77448-564-4,1989-06-30,2,22.53
215,199,978-0-914637-61-5,2020-06-26,5,24.88
216,243,978-1-4870-4724-5,1971-06-23,5,86.1
217,330,978-0-89695-493-9,1986-08-28,1,44.76
218,371,978-0-10-218323-8,2013-04-02,2,59.92
219,215,978-1-55443-141-0,1982-05-15,1,98.4
220,337,978-1-71360-552-2,2020-02-30,2,28.97
221,307,INVALID,1987-12-27,5,46.2
222,45,978-1-273-02352-1,1978-12-07,1,5.97
223,487,978-0-562-21213-4,2008-08-10,5,96.44
224,83,978-1-68642-597-4,1994-05-05,5,14.23
225,389,978-1-302-01497-1,2020-02-30,3,90.9
226,477,978-1-9859-8521-6,2006-07-02,5,73.71
227,242,978-1-68507-048-9,1970-10-08,1,27.38
228,262,978-1-57590-256-2,2008-09-19,4,78.67
229,213,978-1-4253-3089-7,2021-05-22,4,62.68
230,356,978-1-5167-2947-0,2000-08-23,4,39.1
231,53,978-1-392-42622-7,2015-04-28,3,27.7
232,190,978-1-356-76782-3,1994-10-20,-1,68.74
233,439,978-0-9962419-7-7,1971-09-11,4,69.21
234,253,978-1-4001-7929-9,2004-03-05,3,59.95
235,302,978-0-414-18956-0,2023-04-18,2,62.58
236,283,978-0-9541469-2-4,1979-10-28,5,68.5
237,301,978-1-56137-467-0,1984-09-03,2,61.93
238,231,978-1-4137-0941-4,1988-07-12,4,45.32
239,250,978-0-00-338476-5,2011-08-26,3,93.29
240,241,978-0-89982-976-0,2016-02-26,2,40.1
241,427,978-0-244-60483-7,1970-10-11,1,88.91
242,192,978-0-647-98905-0,1996-06-01,4,6.74
243,348,978-1-85587-690-3,1993-12-02,3,82.21
244,447,978-1-168-19353-7,2003-09-01,2,42.53
245,416,978-1-967863-14-3,1998-02-27,-1,12.64
246,305,978-0-16-756435-5,2003-08-11,2,13.86
247,403,978-1-78359-320-0,1990-02-14,5,48.09
248,178,978-0-03-760838-7,2023-08-09,4,61.99
249,461,978-0-14-785371-4,2022-12-31,1,86.78
250,89,978-0-7744-6137-5,2020-02-30,1,93.29
251,179,978-1-357-65436-8,1972-06-02,-1,83.65
252,354,INVALID,1993-08-25,2,80.69
253,273,978-1-4257-6071-7,2005-01-08,-1,43.66
254,257,978-0-221-31574-9,2015-08-26,-1,93.24
255,281,INVALID,1994-06-09,2,98.17
256,290,978-0-295-63050-2,2020-06-28,4,13.94
257,254,978-1-64582-077-2,2018-03-14,4,28.85
258,228,978-1-5201-1715-7,1991-07-25,3,69.46
259,500,978-1-949282-98-6,1993-03-26,1,12.22
260,470,978-1-956473-85-8,1982-01-31,4,94.36
261,455,978-0-202-74845-0,2021-12-09,4,75.47
262,163,978-1-4132-1334-8,2020-02-30,3,83.88
263,255,978-0-229-89646-2,2015-09-04,1,28.96
264,233,978-1-5122-9342-5,2018-10-14,-1,69.58
265,90,978-0-641-11982-8,1970-09-03,4,10.05
266,368,978-0-87204-275-9,1980-05-09,2,56.63
267,166,978-1-970827-34-7,2011-11-26,-1,92.87
268,258,978-1-57588-248-2,2018-08-25,5,21.48
269,293,978-1-998653-93-5,1982-04-17,2,99.21
270,196,978-0-643-70307-0,1977-05-16,1,66.55
271,383,978-0-940835-62-7,2020-02-30,3,53.78
272,141,978-0-487-59054-6,2015-12-13,5,91.23
273,470,INVALID,1980-06-18,5,47.61
274,206,978-0-221-71545-7,2002-02-23,4,54.5
275,486,978-0-364-31241-4,2018-03-08,3,61.84
276,275,978-1-187-55201-8,1988-10-11,3,91.03
277,380,978-1-81407-808-9,2020-02-30,5,72.9
278,420,978-1-881383-95-6,2021-03-17,4,69.4
279,457,978-0-490-48061-2,2014-07-08,1,61.37
280,43,978-0-669-23330-8,2020-08-21,3,
281,417,978-1-169-43206-2,1993-07-10,1,24.6
282,163,978-1-265-27301-9,2023-10-29,2,42.88
283,211,978-1-897085-67-7,2016-11-27,3,17.05
284,15,978-1-102-71675-4,2018-02-21,-1,88.07
285,82,978-0-03-316183-1,1991-08-07,5,13.27
286,79,978-0-7081-2600-4,1979-09-30,4,97.58
287,39,INVALID,1970-09-09,1,41.71
288,58,978-0-19-908441-8,2014-06-10,3,86.82
289,454,978-1-86373-592-6,1987-10-10,1,53.04
290,453,978-1-65059-255-8,1999-08-11,5,45.35
291,139,978-1-01-220501-0,2020-02-30,4,
292,72,978-1-86384-080-4,2000-02-08,2,80.09
293,420,978-1-972965-90-0,2020-02-30,4,12.31
294,14,978-1-79053-185-1,1985-07-16,5,33.66
295,212,978-1-9857-7897-9,1998-09-23,5,19.11
296,83,978-1-72470-671-3,1979-03-04,-1,96.99
297,259,978-0-612-07281-7,2023-07-23,5,40.5
298,232,978-0-89738-708-8,1997-03-10,2,84.7
299,438,978-0-9583760-5-1,1990-12-04,3,18.92
300,222,978-1-5228-8516-0,1996-08-24,2,73.42
301,237,978-1-5230-7319-1,1970-10-10,1,28.53
302,158,978-1-957477-57-2,1986-01-17,2,22.21
303,256,978-0-8309-7040-7,1989-04-16,2,62.68
304,404,978-0-8023-3524-1,2009-02-03,3,92.33
305,417,978-1-994171-01-3,1987-06-14,3,26.64
306,135,978-0-210-86040-3,1970-10-07,2,32.75
307,53,978-1-67746-406-7,2020-02-30,5,14.52
308,464,978-0-02-080973-9,2005-05-19,1,10.3
309,376,978-1-4668-6264-7,1974-03-16,1,76.62
310,280,978-0-05-798673-1,1982-09-15,1,52.18
311,500,978-0-8097-8014-3,2008-05-03,5,64.48
312,248,978-1-75024-239-1,2006-01-08,1,26.69
313,193,978-1-363-15167-7,1988-07-20,5,55.44
314,83,978-0-945207-24-5,1985-05-10,1,95.19
315,221,978-1-78845-675-3,1987-08-09,3,36.72
316,239,978-1-4322-7294-4,2019-01-25,4,
317,333,978-0-591-14962-3,1970-10-25,3,66.35
318,137,INVALID,1989-11-14,5,19.45
319,136,978-0-485-55332-1,2016-06-01,5,25.93
320,142,978-0-9834848-9-9,2015-05-22,3,10.76
321,122,978-1-05-876369-7,2007-11-11,3,27.06
322,112,978-0-9880523-2-1,1977-02-26,5,9.8
323,158,978-1-205-22029-5,1985-07-23,2,74.18
324,386,978-1-4377-4673-0,2020-02-30,3,73.16
325,160,978-1-5106-4854-8,2001-12-28,4,
326,28,978-0-85353-140-1,1991-11-25,2,48.24
327,456,978-0-18-453961-9,2020-02-30,3,62.92
328,481,978-0-935275-16-2,2020-02-30,4,92.52
329,246,978-0-414-71054-2,1990-08-02,5,22.08
330,409,978-1-07-772562-1,2011-12-15,2,87.74
331,22,978-1-381-13772-1,1985-01-14,4,43.53
332,8,978-0-904454-49-9,1999-12-22,1,15.56
333,213,978-1-890620-51-6,2000-01-14,5,57.75
334,496,978-0-465-66388-0,2011-02-14,4,25.34
335,167,978-1-58235-941-0,2020-02-30,1,
336,96,978-0-9790002-7-0,1973-04-24,3,89.71
337,73,978-1-940126-06-7,2020-02-30,5,72.91
338,337,978-0-557-67970-6,1972-10-04,2,80.63
339,315,978-0-343-86250-3,2025-02-17,5,20.86
340,367,978-1-4112-0718-9,2000-01-03,3,83.38
341,17,978-1-72291-757-9,2020-02-30,1,44.89
342,455,978-1-65762-515-0,2025-03-27,2,15.15
343,177,978-1-149-55268-1,2020-02-30,5,
344,414,978-1-212-01617-1,1982-09-01,5,21.26
345,213,978-1-263-85734-1,2018-04-18,5,
346,44,978-1-5120-9002-4,1980-09-05,1,78.32
347,310,978-1-84420-303-1,1982-12-27,2,66.67
348,294,978-0-580-72430-5,2001-09-15,3,14.05
349,74,978-0-09-320850-7,1999-06-02,4,82.08
350,171,978-1-167-73209-6,2001-12-04,5,96.21
351,98,978-1-250-66546-1,1982-01-25,2,91.45
352,225,978-0-629-75547-5,2005-12-08,3,13.12
353,137,978-1-75279-659-5,1996-01-07,5,15.52
354,297,978-1-189-58487-1,1971-06-11,5,47.86
355,63,978-0-7684-8377-2,2016-07-22,3,15.32
356,419,978-0-7339-7468-7,2000-05-16,3,42.29
357,298,978-0-8329-6568-5,2016-11-02,5,91.45
358,31,978-0-8082-4449-3,2013-10-23,1,69.98
359,51,978-1-870620-44-4,2013-05-31,3,58.32
360,499,978-0-449-09996-4,1995-10-17,5,5.52
361,48,978-1-75438-160-7,1983-10-22,4,25.48
362,322,978-1-4697-8366-6,2024-10-28,2,38.91
363,385,978-1-76144-643-6,1999-05-15,1,38.36
364,72,978-1-234-78553-6,1989-01-12,-1,74.81
365,318,978-1-60436-531-3,1983-06-27,3,77.83
366,170,978-1-83134-332-0,2020-02-30,3,92.45
367,489,978-0-212-49918-2,1999-05-29,1,89.82
368,395,978-0-208-55905-0,2013-08-03,5,70.32
369,353,978-0-419-82592-0,2021-06-26,1,62.36
370,311,978-1-66791-237-0,1982-09-07,1,99.32
371,377,978-1-61422-378-8,2000-01-09,2,89.13
372,155,978-1-255-20226-5,1988-08-30,4,80.86
373,395,978-1-58224-631-4,2003-05-11,5,34.11
374,52,978-0-89254-350-2,2022-06-11,4,86.72
375,275,978-0-08-972961-0,1990-11-08,1,62.47
376,164,978-1-115-50960-2,2007-12-25,2,58.85
377,85,978-1-295-41097-2,2000-03-09,2,8.55
378,386,978-1-83657-042-4,1975-12-21,3,99.55
379,41,978-1-143-53079-1,2007-10-20,2,55.57
380,166,978-0-7554-3053-6,2008-10-25,4,44.91
381,111,978-0-8265-3534-4,1977-10-31,5,53.02
382,420,978-0-508-58572-8,2021-08-21,1,62.77
383,113,978-1-84072-307-6,1986-05-27,4,27.7
384,456,978-0-234-82396-5,2020-02-30,5,46.97
385,228,978-0-518-10112-3,2006-10-22,5,84.39
386,26,978-1-84252-534-0,1991-01-06,2,93.68
387,22,978-0-490-65242-2,1982-01-04,5,40.52
388,423,978-0-527-85927-5,1970-01-24,4,95.91
389,210,978-1-9855-5064-3,1999-04-20,4,92.8
390,152,978-1-162-31081-7,1984-01-08,1,49.38
391,182,978-1-86204-623-8,1987-11-13,3,75.73
392,166,978-0-677-32057-1,2020-06-21,2,54.83
393,110,978-1-4211-7717-5,1970-12-19,2,37.86
394,464,978-0-497-51451-8,1987-06-02,2,34.56
395,307,978-1-05-204112-8,2018-02-03,5,10.84
396,229,978-1-362-68370-4,2016-12-22,3,29.15
397,241,978-1-127-65955-5,2001-06-02,1,45.63
398,209,978-0-337-14088-4,1984-07-25,4,13.42
399,224,INVALID,1972-09-08,1,45.08
400,14,978-0-14-453277-3,1971-05-15,5,46.57
401,190,978-1-227-01236-6,1985-03-21,2,93.88
402,177,978-1-01-330850-5,1986-06-30,2,73.41
403,194,978-1-909331-79-2,2017-05-10,2,23.04
404,398,978-1-4742-9520-8,1992-05-29,1,6.32
405,223,978-1-74734-937-9,1988-09-11,2,74.25
406,336,978-0-625-41633-2,2004-06-12,4,49.12
407,272,978-0-589-53405-9,1985-05-18,3,24.71
408,358,978-0-210-18233-8,1976-04-08,5,80.63
409,481,978-0-8349-4687-3,2010-04-15,1,95.47
410,477,978-0-04-181616-7,2020-02-30,3,14.99
411,209,978-1-4570-7316-8,1995-05-30,2,85.06
412,192,978-0-448-55733-5,1970-05-05,3,91.16
413,305,978-1-5207-0293-3,1997-01-01,4,12.15
414,17,978-1-85433-602-6,1998-08-24,3,17.38
415,458,978-1-04-938588-4,1981-01-13,4,71.68
416,137,978-0-03-951429-7,1992-04-24,3,95.02
417,157,978-0-386-97167-5,2016-08-31,1,10.91
418,71,978-0-238-74188-3,2020-02-30,3,
419,412,978-1-4476-1632-0,2010-01-19,5,88.04
420,331,978-0-86382-383-1,1999-03-01,4,6.87
421,372,978-1-62628-214-8,1990-04-11,4,38.53
422,348,978-0-630-66596-1,1999-02-27,5,
423,99,978-1-5340-4921-5,2018-02-23,5,83.17
424,469,978-0-16-653502-8,1991-01-28,1,96.42
425,422,978-1-80217-004-7,1991-03-21,2,7.25
426,284,978-0-396-23807-2,1975-11-11,4,94.88
427,391,978-0-526-97340-8,1975-01-13,3,79.36
428,26,978-0-17-610605-8,2014-12-04,1,
429,224,978-1-72463-359-0,2020-02-30,2,70.11
430,452,978-1-929949-11-3,1999-04-02,1,64.4
431,61,978-0-328-69594-2,2020-02-30,2,71.4
432,324,978-0-948683-20-6,1986-05-19,5,83.26
433,333,978-0-8384-1461-3,2013-01-11,4,64.11
434,339,978-1-71886-829-8,1977-05-09,3,35.18
435,73,978-0-368-65759-7,1988-06-19,-1,80.89
436,104,978-0-9927041-0-0,2019-07-04,2,27.18
437,301,978-0-558-49017-1,1970-12-09,2,51.94
438,418,978-0-342-93619-9,2014-03-06,4,22.02
439,223,978-1-59038-863-1,2023-08-10,2,40.72
440,57,978-0-10-108460-4,2002-10-18,2,15.67
441,252,978-1-66216-986-1,1995-01-17,4,19.03
442,369,978-1-4655-9264-4,2020-02-30,5,24.47
443,103,978-0-7575-6641-7,2019-09-23,3,81.03
444,82,978-1-353-83904-2,2018-01-17,5,66.35
445,412,978-1-4833-3382-3,2004-04-15,3,28.34
446,266,978-1-4960-0346-1,1987-08-23,1,23.12
447,72,978-1-995769-79-0,1988-03-07,2,30.8
448,438,978-0-14-186504-1,1979-06-09,2,73.1
449,496,INVALID,1982-10-20,3,14.48
450,385,978-0-632-52856-1,2009-01-26,3,16.25
451,250,978-0-259-93087-7,2015-05-10,2,37.75
452,238,INVALID,1981-03-21,2,83.03
453,446,978-1-77493-459-3,2012-07-12,1,83.18
454,288,978-1-84023-595-1,1987-04-26,3,12.57
455,277,978-1-5244-1434-4,1991-05-18,1,90.25
456,91,978-1-113-10206-5,1982-07-24,4,
457,195,978-1-4822-2196-1,2020-02-30,-1,91.34
458,373,978-0-8182-4100-0,1983-04-23,1,32.63
459,331,978-0-494-13163-3,1974-11-07,2,8.37
460,321,978-0-671-13871-4,1989-02-28,5,43.41
461,217,978-0-335-87428-6,2002-08-21,1,54.16
462,485,978-0-431-96234-4,1973-10-07,2,54.3
463,460,978-0-9720457-6-6,2020-02-30,4,94.6
464,178,978-1-9790-9377-4,2020-02-30,5,95.7
465,238,978-0-670-01575-7,2023-11-03,4,43.31
466,245,978-0-15-051175-5,1992-09-15,4,24.83
467,330,978-0-240-19385-4,1984-12-17,4,30.42
468,67,INVALID,2006-09-14,4,70.88
469,80,978-0-638-70493-8,1985-09-24,4,55.98
470,187,978-1-4640-4272-0,2004-10-10,5,65.08
471,494,978-0-528-77569-7,1974-08-22,3,12.6
472,105,978-0-7391-9336-5,1997-04-05,4,48.09
473,354,978-1-118-89479-8,2006-07-17,1,6.68
474,102,978-1-144-95376-6,2021-01-04,2,72.59
475,260,978-1-258-77508-7,1996-12-17,4,66.13
476,482,978-0-7858-4429-7,2024-10-10,5,17.53
477,150,978-0-533-73747-5,1992-09-04,4,83.3
478,298,978-1-931485-50-0,1997-03-26,5,43.23
479,433,978-1-82676-973-9,1971-07-17,2,91.56
480,23,978-0-355-01891-2,2019-11-08,4,99.73
481,174,978-0-8361-4082-8,2006-05-02,5,48.7
482,257,978-1-85820-915-9,1972-11-28,4,28.53
483,351,978-0-88800-057-6,2002-03-03,5,35.27
484,77,978-1-110-27461-1,1972-06-24,2,81.95
485,373,INVALID,1976-10-20,3,16.49
486,124,978-1-09-801069-0,1995-02-16,1,27.91
487,147,978-0-8158-8390-6,1973-08-01,1,63.78
488,398,978-0-550-57999-7,1983-07-11,3,96.35
489,257,978-1-5108-0922-2,1971-07-07,2,68.02
490,300,978-0-04-769861-3,2001-03-29,5,53.07
491,232,978-0-587-92622-1,1983-03-24,4,64.13
492,67,978-0-346-63088-8,1974-10-15,1,81.72
493,51,INVALID,1992-02-23,3,86.55
494,429,978-1-7376524-5-8,2009-07-27,-1,98.48
495,353,978-0-930244-75-0,2003-06-22,2,94.08
496,199,978-1-891533-33-4,1977-10-02,1,43.35
497,253,978-1-217-26632-8,1978-03-05,-1,60.56
498,345,978-1-130-33624-5,2005-02-26,2,8.92
499,145,978-0-936731-70-4,2020-02-30,2,20.05
