policy_id,customer_id,policy_type,coverage_amount,premium_amount,deductible,start_date,end_date,renewal_date,policy_status,agent_id,acquisition_channel
POL0000070,CUST005235,Auto,100000,2000.0,250,2023-01-02,2024-01-02,2024-01-02,Active,AGT024,Online
POL0000071,CUST000968,Health,100000,8000.0,2500,2025-09-18,2026-09-18,2026-09-18,Active,AGT060,Agent
POL0000072,CUST001907,Home,198308,1269.17,500,2022-09-09,2023-09-09,2023-09-09,Active,AGT133,Online
POL0000073,CUST012385,Life,277082,1801.03,0,2023-08-22,2024-08-21,2024-08-21,Lapsed,AGT200,Online
POL0000074,CUST000025,Auto,250000,6500.0,500,2022-07-06,2023-07-06,2023-07-06,Lapsed,AGT151,Agent
POL0000075,CUST002013,Auto,100000,2600.0,1000,2020-12-07,2021-12-07,2021-12-07,Active,AGT072,Walk-in
POL0000076,CUST013058,Auto,50000,1300.0,1000,2020-09-30,2021-09-30,2021-09-30,Lapsed,AGT070,Phone
POL0000077,CUST004697,Auto,50000,800.0,250,2022-10-18,2023-10-18,2023-10-18,Active,AGT200,Online
POL0000078,CUST011305,Auto,100000,2000.0,2000,2022-10-12,2023-10-12,2023-10-12,Active,AGT072,Online
POL0000079,CUST001526,Home,204716,2129.05,2500,2022-05-05,2023-05-05,2023-05-05,Active,AGT174,Online
POL0000080,CUST007724,Business,92873,742.98,2500,2022-09-05,2023-09-05,2023-09-05,Lapsed,AGT092,Online
POL0000081,CUST005026,Auto,50000,1000.0,1000,2022-06-07,2023-06-07,2023-06-07,Lapsed,AGT068,Agent
POL0000082,CUST006431,Auto,25000,500.0,500,2025-04-23,2026-04-23,2026-04-23,Active,AGT161,Agent
POL0000083,CUST002136,Business,51769,517.69,5000,2022-03-20,2023-03-20,2023-03-20,Active,AGT093,Online
POL0000084,CUST006678,Home,106960,684.54,1000,2023-07-03,2024-07-02,2024-07-02,Cancelled,AGT179,Agent
POL0000085,CUST002475,Home,76004,790.44,500,2023-05-05,2024-05-04,2024-05-04,Active,AGT069,Phone
POL0000086,CUST010017,Home,85512,684.1,500,2023-11-28,2024-11-27,2024-11-27,Active,AGT108,Phone
POL0000087,CUST014508,Auto,50000,1000.0,1000,2023-11-09,2024-11-08,2024-11-08,Lapsed,AGT145,Agent
POL0000088,CUST009590,Auto,25000,650.0,500,2020-11-30,2021-11-30,2021-11-30,Active,AGT042,Online
POL0000089,CUST011922,Health,250000,20000.0,2500,2022-05-14,2023-05-14,2023-05-14,Active,AGT040,Phone
POL0000090,CUST001305,Auto,100000,2600.0,2000,2024-10-22,2025-10-22,2025-10-22,Active,AGT099,Online
POL0000091,CUST013421,Life,166876,667.5,0,2024-07-26,2025-07-26,2025-07-26,Active,AGT020,Phone
POL0000092,CUST011269,Life,452212,1808.85,0,2021-06-16,2022-06-16,2022-06-16,Active,AGT134,Agent
POL0000093,CUST005665,Life,699845,2799.38,0,2021-07-24,2022-07-24,2022-07-24,Active,AGT006,Online
POL0000094,CUST012789,Home,121369,776.76,1000,2021-05-16,2022-05-16,2022-05-16,Cancelled,AGT200,Online
POL0000095,CUST003250,Health,500000,32000.0,500,2021-09-27,2022-09-27,2022-09-27,Active,AGT008,Agent
POL0000096,CUST008309,Home,129411,828.23,5000,2025-10-09,2026-10-09,2026-10-09,Active,AGT190,Walk-in
POL0000097,CUST002546,Auto,25000,650.0,1000,2022-10-18,2023-10-18,2023-10-18,Lapsed,AGT011,Agent
POL0000098,CUST003808,Health,250000,16000.0,5000,2025-04-13,2026-04-13,2026-04-13,Active,AGT041,Online
POL0000099,CUST001583,Business,191622,1916.22,5000,2025-03-22,2026-03-22,2026-03-22,Active,AGT046,Online
POL0000100,CUST002455,Auto,100000,1600.0,250,2024-03-25,2025-03-25,2025-03-25,Active,AGT006,Agent
POL0000101,CUST005802,Life,357339,1786.69,0,2025-02-12,2026-02-12,2026-02-12,Active,AGT095,Agent
POL0000102,CUST002259,Business,46025,368.2,2500,2022-12-28,2023-12-28,2023-12-28,Lapsed,AGT064,Agent
POL0000103,CUST004998,Home,309383,1980.05,1000,2021-12-07,2022-12-07,2022-12-07,Lapsed,AGT068,Agent
POL0000104,CUST012685,Auto,50000,1000.0,500,2023-05-18,2024-05-17,2024-05-17,Active,AGT172,Online
POL0000105,CUST009650,Life,429887,1719.55,0,2021-03-02,2022-03-02,2022-03-02,Lapsed,AGT107,Online
POL0000106,CUST014866,Auto,50000,800.0,2000,2023-01-03,2024-01-03,2024-01-03,Active,AGT188,Online
POL0000107,CUST008989,Life,1241608,6208.04,0,2022-05-07,2023-05-07,2023-05-07,Active,AGT090,Agent
POL0000108,CUST009740,Home,269958,2159.66,2500,2024-06-05,2025-06-05,2025-06-05,Cancelled,AGT156,Phone
POL0000109,CUST013335,Auto,50000,1000.0,500,2021-05-09,2022-05-09,2022-05-09,Cancelled,AGT110,Agent
POL0000110,CUST012794,Life,184437,1198.84,0,2024-07-26,2025-07-26,2025-07-26,Active,AGT007,Online
POL0000111,CUST012299,Health,250000,26000.0,2500,2020-12-12,2021-12-12,2021-12-12,Lapsed,AGT099,Phone
POL0000112,CUST004622,Home,133822,856.46,500,2023-03-13,2024-03-12,2024-03-12,Active,AGT135,Walk-in
POL0000113,CUST008800,Home,95436,992.53,500,2026-06-04,2027-06-04,2027-06-04,Active,AGT133,Online
POL0000114,CUST013512,Auto,250000,4000.0,500,2024-06-18,2025-06-18,2025-06-18,Active,AGT031,Walk-in
POL0000115,CUST014836,Auto,100000,1600.0,500,2024-11-25,2025-11-25,2025-11-25,Active,AGT142,Online
POL0000116,CUST013463,Home,135569,1409.92,2500,2024-10-19,2025-10-19,2025-10-19,Active,AGT192,Phone
POL0000117,CUST006172,Life,944141,6136.92,0,2026-04-09,2027-04-09,2027-04-09,Active,AGT107,Referral
POL0000118,CUST006704,Life,616538,2466.15,0,2022-04-13,2023-04-13,2023-04-13,Cancelled,AGT196,Agent
POL0000119,CUST013445,Home,55424,354.71,500,2021-01-11,2022-01-11,2022-01-11,Active,AGT115,Agent
POL0000120,CUST001449,Health,500000,40000.0,2500,2024-11-17,2025-11-17,2025-11-17,Active,AGT080,Agent
POL0000121,CUST009045,Auto,100000,2000.0,250,2025-05-29,2026-05-29,2026-05-29,Active,AGT166,Online
POL0000122,CUST000379,Life,402294,2011.47,0,2022-07-25,2023-07-25,2023-07-25,Active,AGT131,Referral
POL0000123,CUST010437,Home,189414,1515.31,1000,2021-10-06,2022-10-06,2022-10-06,Active,AGT098,Phone
POL0000124,CUST010972,Auto,250000,5000.0,500,2024-03-16,2025-03-16,2025-03-16,Lapsed,AGT005,Agent
POL0000125,CUST013803,Life,346777,1733.88,0,2025-01-24,2026-01-24,2026-01-24,Active,AGT049,Phone
POL0000126,CUST011353,Home,87645,911.51,500,2022-03-30,2023-03-30,2023-03-30,Active,AGT160,Online
POL0000127,CUST003215,Auto,100000,1600.0,1000,2025-04-25,2026-04-25,2026-04-25,Active,AGT200,Referral
POL0000128,CUST012526,Auto,250000,6500.0,1000,2020-09-01,2021-09-01,2021-09-01,Active,AGT027,Phone
POL0000129,CUST003512,Home,124463,796.56,5000,2024-05-11,2025-05-11,2025-05-11,Active,AGT106,Phone
POL0000130,CUST007597,Life,442489,2876.18,0,2020-09-07,2021-09-07,2021-09-07,Active,AGT121,Phone
POL0000131,CUST004231,Business,77206,617.65,5000,2026-02-15,2027-02-15,2027-02-15,Active,AGT008,Online
POL0000132,CUST014562,Health,500000,52000.0,1000,2020-11-06,2021-11-06,2021-11-06,Active,AGT030,Phone
POL0000133,CUST008591,Life,419337,1677.35,0,2023-09-16,2024-09-15,2024-09-15,Lapsed,AGT007,Agent
POL0000134,CUST010605,Life,1390663,5562.65,0,2021-09-10,2022-09-10,2022-09-10,Lapsed,AGT102,Agent
POL0000135,CUST007235,Life,969023,3876.09,0,2021-01-09,2022-01-09,2022-01-09,Active,AGT058,Referral
POL0000136,CUST009642,Health,50000,4000.0,2500,2022-10-12,2023-10-12,2023-10-12,Cancelled,AGT129,Phone
POL0000137,CUST002862,Home,69632,557.06,500,2025-08-08,2026-08-08,2026-08-08,Active,AGT043,Online
POL0000138,CUST000191,Auto,50000,1000.0,500,2025-03-14,2026-03-14,2026-03-14,Active,AGT063,Agent
POL0000139,CUST008464,Life,716936,3584.68,0,2025-04-13,2026-04-13,2026-04-13,Active,AGT166,Online
POL0000140,CUST000843,Home,100097,800.78,1000,2024-09-03,2025-09-03,2025-09-03,Active,AGT030,Referral
POL0000141,CUST010615,Auto,50000,1300.0,500,2024-09-14,2025-09-14,2025-09-14,Active,AGT007,Phone
POL0000142,CUST003478,Home,145039,1508.41,500,2024-10-18,2025-10-18,2025-10-18,Active,AGT011,Phone
POL0000143,CUST011492,Home,201859,1291.9,1000,2020-07-04,2021-07-04,2021-07-04,Active,AGT030,Online
POL0000144,CUST007378,Health,500000,52000.0,5000,2021-06-28,2022-06-28,2022-06-28,Active,AGT187,Online
POL0000145,CUST011398,Health,100000,6400.0,2500,2021-05-19,2022-05-19,2022-05-19,Cancelled,AGT025,Online
POL0000146,CUST012292,Auto,250000,5000.0,250,2023-01-22,2024-01-22,2024-01-22,Active,AGT096,Agent
POL0000147,CUST007579,Health,500000,32000.0,500,2024-10-04,2025-10-04,2025-10-04,Active,AGT030,Walk-in
POL0000148,CUST003290,Life,423949,2119.74,0,2023-01-10,2024-01-10,2024-01-10,Active,AGT140,Online
POL0000149,CUST000827,Home,139554,893.15,5000,2024-11-01,2025-11-01,2025-11-01,Active,AGT077,Phone
POL0000150,CUST009484,Life,239534,958.14,0,2023-04-04,2024-04-03,2024-04-03,Active,AGT060,Online
POL0000151,CUST012658,Health,250000,26000.0,5000,2022-02-26,2023-02-26,2023-02-26,Active,AGT197,Agent
POL0000152,CUST011131,Health,100000,6400.0,1000,2020-07-22,2021-07-22,2021-07-22,Cancelled,AGT011,Online
POL0000153,CUST013326,Life,420174,1680.7,0,2022-07-29,2023-07-29,2023-07-29,Active,AGT147,Phone
POL0000154,CUST008538,Life,504098,3276.64,0,2022-01-29,2023-01-29,2023-01-29,Lapsed,AGT137,Agent
POL0000155,CUST005681,Home,127906,1023.25,500,2022-02-11,2023-02-11,2023-02-11,Active,AGT086,Phone
POL0000156,CUST000210,Home,140827,901.29,1000,2022-03-05,2023-03-05,2023-03-05,Cancelled,AGT115,Online
POL0000157,CUST004057,Home,134675,1077.4,5000,2020-05-31,2021-05-31,2021-05-31,Lapsed,AGT013,Walk-in
POL0000158,CUST006098,Life,274967,1099.87,0,2026-01-21,2027-01-21,2027-01-21,Active,AGT004,Phone
POL0000159,CUST014784,Life,126980,507.92,0,2022-03-16,2023-03-16,2023-03-16,Lapsed,AGT097,Online
POL0000160,CUST003394,Auto,250000,5000.0,500,2022-02-05,2023-02-05,2023-02-05,Active,AGT160,Online
POL0000161,CUST003218,Auto,250000,5000.0,2000,2025-03-21,2026-03-21,2026-03-21,Active,AGT044,Phone
POL0000162,CUST009366,Life,837021,5440.64,0,2024-11-04,2025-11-04,2025-11-04,Active,AGT046,Online
POL0000163,CUST009005,Home,119827,958.62,5000,2023-07-15,2024-07-14,2024-07-14,Cancelled,AGT102,Online
POL0000164,CUST012943,Home,92071,736.57,500,2024-04-25,2025-04-25,2025-04-25,Active,AGT017,Agent
POL0000165,CUST013311,Health,250000,20000.0,5000,2021-05-18,2022-05-18,2022-05-18,Active,AGT064,Phone
POL0000166,CUST000271,Life,160419,802.1,0,2025-05-10,2026-05-10,2026-05-10,Active,AGT058,Phone
POL0000167,CUST014188,Business,42184,337.47,5000,2022-03-18,2023-03-18,2023-03-18,Active,AGT148,Agent
POL0000168,CUST010801,Health,500000,32000.0,2500,2021-05-06,2022-05-06,2022-05-06,Active,AGT146,Agent
POL0000169,CUST000680,Life,452060,2260.3,0,2023-10-18,2024-10-17,2024-10-17,Lapsed,AGT048,Agent
POL0000170,CUST008348,Auto,250000,4000.0,500,2023-06-19,2024-06-18,2024-06-18,Active,AGT182,Phone
POL0000171,CUST007542,Travel,10000,1950.0,0,2024-07-06,2025-07-06,2025-07-06,Active,AGT074,Online
POL0000172,CUST012289,Home,152610,1587.14,500,2022-08-22,2023-08-22,2023-08-22,Lapsed,AGT187,Online
POL0000173,CUST002985,Home,100821,645.25,1000,2023-08-25,2024-08-24,2024-08-24,Active,AGT194,Agent
POL0000174,CUST000459,Home,87902,562.57,5000,2021-12-22,2022-12-22,2022-12-22,Lapsed,AGT158,Agent
POL0000175,CUST007910,Auto,100000,1600.0,1000,2025-09-16,2026-09-16,2026-09-16,Active,AGT034,Online
POL0000176,CUST009358,Auto,25000,650.0,500,2021-02-09,2022-02-09,2022-02-09,Cancelled,AGT107,Referral
POL0000177,CUST002427,Business,92914,743.31,1000,2022-03-02,2023-03-02,2023-03-02,Active,AGT065,Walk-in
POL0000178,CUST003341,Life,391597,2545.38,0,2022-04-11,2023-04-11,2023-04-11,Active,AGT019,Online
POL0000179,CUST014898,Home,107584,860.67,2500,2026-04-04,2027-04-04,2027-04-04,Active,AGT199,Online
POL0000180,CUST014410,Auto,100000,2000.0,1000,2021-02-25,2022-02-25,2022-02-25,Active,AGT108,Phone
POL0000181,CUST001739,Health,50000,3200.0,2500,2023-03-21,2024-03-20,2024-03-20,Active,AGT159,Phone
POL0000182,CUST002608,Life,151692,606.77,0,2021-08-18,2022-08-18,2022-08-18,Active,AGT056,Online
POL0000183,CUST010298,Home,155836,997.35,1000,2021-04-24,2022-04-24,2022-04-24,Active,AGT036,Agent
POL0000184,CUST000798,Auto,50000,1000.0,2000,2022-10-09,2023-10-09,2023-10-09,Active,AGT045,Online
POL0000185,CUST013952,Life,1473351,5893.4,0,2021-10-18,2022-10-18,2022-10-18,Active,AGT132,Agent
POL0000186,CUST000749,Auto,250000,4000.0,2000,2022-03-01,2023-03-01,2023-03-01,Active,AGT096,Walk-in
POL0000187,CUST004435,Auto,100000,2600.0,1000,2024-12-03,2025-12-03,2025-12-03,Active,AGT079,Agent
POL0000188,CUST007408,Life,342961,1371.84,0,2022-08-13,2023-08-13,2023-08-13,Active,AGT080,Online
POL0000189,CUST009248,Home,478418,4975.55,2500,2024-01-29,2025-01-28,2025-01-28,Active,AGT033,Referral
POL0000190,CUST004067,Home,203438,1302.0,5000,2025-05-20,2026-05-20,2026-05-20,Active,AGT003,Agent
POL0000191,CUST008840,Health,500000,32000.0,500,2021-03-07,2022-03-07,2022-03-07,Active,AGT109,Agent
POL0000192,CUST014075,Home,181648,1162.55,2500,2022-11-29,2023-11-29,2023-11-29,Active,AGT014,Online
POL0000193,CUST002196,Health,250000,26000.0,5000,2021-05-12,2022-05-12,2022-05-12,Lapsed,AGT152,Online
POL0000194,CUST008155,Auto,100000,2000.0,2000,2022-06-06,2023-06-06,2023-06-06,Active,AGT099,Referral
POL0000195,CUST001382,Health,250000,16000.0,500,2020-03-31,2021-03-31,2021-03-31,Active,AGT033,Agent
POL0000196,CUST010471,Life,261336,1045.34,0,2022-10-11,2023-10-11,2023-10-11,Lapsed,AGT176,Referral
POL0000197,CUST013386,Life,795630,5171.6,0,2022-04-04,2023-04-04,2023-04-04,Active,AGT080,Online
POL0000198,CUST012222,Home,115139,736.89,500,2025-05-26,2026-05-26,2026-05-26,Active,AGT115,Walk-in
POL0000199,CUST004201,Business,66613,666.13,2500,2024-03-22,2025-03-22,2025-03-22,Active,AGT166,Online
POL0000200,CUST012132,Home,191052,1222.73,2500,2025-04-25,2026-04-25,2026-04-25,Active,AGT114,Phone
POL0000201,CUST013064,Home,110450,706.88,500,2023-01-09,2024-01-09,2024-01-09,Active,AGT033,Phone
POL0000202,CUST000286,Auto,100000,2600.0,500,2022-12-14,2023-12-14,2023-12-14,Active,AGT147,Online
POL0000203,CUST012377,Life,310850,1243.4,0,2021-08-31,2022-08-31,2022-08-31,Active,AGT020,Online
POL0000204,CUST010282,Home,365017,2336.11,1000,2022-10-13,2023-10-13,2023-10-13,Active,AGT151,Agent
POL0000205,CUST010512,Travel,25000,3750.0,0,2022-08-16,2023-08-16,2023-08-16,Lapsed,AGT032,Phone
POL0000206,CUST012530,Auto,100000,2000.0,1000,2021-01-11,2022-01-11,2022-01-11,Active,AGT058,Phone
POL0000207,CUST013601,Auto,500000,13000.0,250,2024-09-16,2025-09-16,2025-09-16,Active,AGT106,Phone
POL0000208,CUST000901,Home,136812,875.6,2500,2021-03-03,2022-03-03,2022-03-03,Active,AGT024,Online
POL0000209,CUST013711,Auto,250000,4000.0,1000,2022-02-08,2023-02-08,2023-02-08,Active,AGT041,Phone
POL0000210,CUST003479,Home,147270,942.53,500,2023-04-14,2024-04-13,2024-04-13,Active,AGT014,Walk-in
POL0000211,CUST006403,Life,360812,1804.06,0,2020-10-24,2021-10-24,2021-10-24,Active,AGT058,Online
POL0000212,CUST002906,Life,300336,1501.68,0,2025-09-12,2026-09-12,2026-09-12,Active,AGT069,Agent
POL0000213,CUST014159,Auto,100000,1600.0,1000,2021-11-08,2022-11-08,2022-11-08,Active,AGT076,Online
POL0000214,CUST013605,Auto,100000,1600.0,1000,2023-06-30,2024-06-29,2024-06-29,Active,AGT088,Agent
POL0000215,CUST013606,Life,370116,1480.46,0,2024-02-07,2025-02-06,2025-02-06,Active,AGT144,Walk-in
POL0000216,CUST006233,Health,250000,16000.0,5000,2022-12-03,2023-12-03,2023-12-03,Lapsed,AGT054,Online
POL0000217,CUST007042,Business,66809,534.47,10000,2023-12-03,2024-12-02,2024-12-02,Active,AGT018,Online
POL0000218,CUST002023,Health,50000,4000.0,1000,2022-10-25,2023-10-25,2023-10-25,Cancelled,AGT049,Online
POL0000219,CUST008864,Auto,50000,1000.0,1000,2025-04-23,2026-04-23,2026-04-23,Active,AGT182,Referral
POL0000220,CUST002596,Home,451079,2886.91,5000,2021-03-05,2022-03-05,2022-03-05,Active,AGT146,Online
POL0000221,CUST006351,Life,334544,1672.72,0,2023-04-25,2024-04-24,2024-04-24,Active,AGT062,Phone
POL0000222,CUST014566,Home,113560,908.48,2500,2025-07-14,2026-07-14,2026-07-14,Active,AGT067,Phone
POL0000223,CUST011123,Auto,250000,4000.0,500,2025-12-28,2026-12-28,2026-12-28,Active,AGT123,Agent
POL0000224,CUST005396,Auto,100000,1600.0,2000,2022-06-02,2023-06-02,2023-06-02,Lapsed,AGT156,Online
POL0000225,CUST004013,Auto,100000,1600.0,2000,2023-07-30,2024-07-29,2024-07-29,Lapsed,AGT173,Phone
POL0000226,CUST003065,Life,851412,3405.65,0,2022-07-19,2023-07-19,2023-07-19,Cancelled,AGT086,Phone
POL0000227,CUST002690,Home,101006,808.05,5000,2024-04-07,2025-04-07,2025-04-07,Active,AGT012,Walk-in
POL0000228,CUST000171,Auto,250000,4000.0,500,2022-10-23,2023-10-23,2023-10-23,Active,AGT049,Online
POL0000229,CUST013515,Health,250000,20000.0,1000,2025-07-16,2026-07-16,2026-07-16,Active,AGT038,Phone
POL0000230,CUST007599,Travel,50000,7500.0,250,2026-05-06,2027-05-06,2027-05-06,Active,AGT113,Referral
POL0000231,CUST013251,Auto,25000,650.0,2000,2023-11-08,2024-11-07,2024-11-07,Lapsed,AGT050,Phone
POL0000232,CUST013202,Auto,250000,6500.0,500,2022-10-11,2023-10-11,2023-10-11,Lapsed,AGT125,Online
POL0000233,CUST007622,Travel,10000,1200.0,250,2025-06-10,2026-06-10,2026-06-10,Active,AGT142,Agent
POL0000234,CUST011550,Health,500000,32000.0,1000,2026-04-29,2027-04-29,2027-04-29,Active,AGT158,Online
