payment_id,policy_id,customer_id,payment_date,payment_amount,payment_method,payment_status,late_payment_flag
PAY00000032,POL0002865,CUST008139,2025-06-04,147.58,Credit Card,Completed,0
PAY00000033,POL0061900,CUST013078,2025-07-03,40.34,Credit Card,Completed,0
PAY00000034,POL0006368,CUST014575,2025-07-03,193.3,Bank Transfer,Completed,0
PAY00000035,POL0001223,CUST005970,2021-07-05,84.62,Credit Card,Completed,1
PAY00000036,POL0037905,CUST003191,2024-01-13,132.48,Credit Card,Failed,1
PAY00000037,POL0073228,CUST008429,2024-09-03,39.81,Check,Completed,0
PAY00000038,POL0029532,CUST003235,2024-12-29,33.33,Credit Card,Completed,0
PAY00000040,POL0025882,CUST003793,2025-02-11,2138.94,Auto Pay,Completed,0
PAY00000041,POL0014016,CUST001471,2024-05-23,2600.0,Bank Transfer,Completed,1
PAY00000042,POL0029652,CUST002372,2023-01-18,1666.67,Credit Card,Completed,0
PAY00000043,POL0059921,CUST003757,2023-12-21,268.18,Credit Card,Failed,1
PAY00000044,POL0054580,CUST002328,2025-04-05,274.64,Credit Card,Completed,0
PAY00000045,POL0019723,CUST012325,2024-07-13,527.84,Credit Card,Completed,0
PAY00000046,POL0000483,CUST002892,2021-11-05,1625.0,Bank Transfer,Completed,1
PAY00000048,POL0022274,CUST002395,2022-12-31,1600.0,Check,Completed,0
PAY00000049,POL0036069,CUST008032,2021-06-06,1600.0,Credit Card,Completed,0
PAY00000050,POL0011837,CUST013416,2024-06-24,1625.0,Bank Transfer,Refunded,0
PAY00000051,POL0023970,CUST013107,2023-12-19,541.67,Credit Card,Failed,1
PAY00000052,POL0047856,CUST008545,2022-05-21,164.88,Cash,Completed,1
PAY00000054,POL0012968,CUST001938,2024-01-08,937.5,Credit Card,Failed,1
PAY00000056,POL0030432,CUST007769,2022-06-15,400.0,Bank Transfer,Completed,1
PAY00000057,POL0060561,CUST006621,2025-06-23,1666.67,Credit Card,Completed,0
PAY00000058,POL0044214,CUST013114,2022-07-26,3765.8,Auto Pay,Pending,0
PAY00000059,POL0011058,CUST002518,2024-01-08,5000.0,Bank Transfer,Completed,0
PAY00000060,POL0030299,CUST013542,2021-10-05,71.21,Check,Completed,0
PAY00000061,POL0004974,CUST002442,2025-06-16,47.6,Credit Card,Completed,0
PAY00000062,POL0059392,CUST009073,2021-03-27,72.18,Check,Pending,1
PAY00000063,POL0050045,CUST011712,2024-08-29,804.19,Check,Completed,0
PAY00000064,POL0013708,CUST011645,2021-11-25,1625.0,Cash,Completed,0
PAY00000065,POL0036227,CUST001530,2024-10-26,333.33,Credit Card,Completed,1
PAY00000066,POL0071073,CUST009818,2025-02-15,500.0,Credit Card,Refunded,0
PAY00000067,POL0003697,CUST009665,2024-02-08,403.09,Check,Failed,1
PAY00000068,POL0023919,CUST010154,2024-07-08,1520.26,Credit Card,Completed,0
PAY00000070,POL0002636,CUST001941,2023-10-04,5333.33,Bank Transfer,Completed,0
PAY00000071,POL0040233,CUST014414,2023-01-05,2539.84,Credit Card,Completed,1
PAY00000072,POL0007473,CUST004351,2021-06-05,389.58,Cash,Completed,1
PAY00000073,POL0036055,CUST012539,2023-01-26,133.33,Credit Card,Completed,0
PAY00000075,POL0069688,CUST003297,2022-06-05,66.67,Bank Transfer,Completed,0
PAY00000076,POL0017407,CUST010996,2024-11-06,38.26,Credit Card,Completed,1
PAY00000077,POL0067418,CUST014370,2025-07-03,61.48,Bank Transfer,Completed,0
PAY00000078,POL0028579,CUST006536,2023-02-12,94.15,Check,Completed,0
PAY00000079,POL0022765,CUST012665,2022-10-16,6500.0,Credit Card,Completed,0
PAY00000080,POL0071632,CUST006646,2023-05-28,651.12,Check,Completed,1
PAY00000081,POL0074806,CUST004482,2025-07-03,67.92,Auto Pay,Failed,0
PAY00000082,POL0044629,CUST010138,2025-05-24,133.33,Credit Card,Completed,1
PAY00000083,POL0049602,CUST011072,2023-07-14,1333.33,Auto Pay,Completed,0
PAY00000084,POL0005770,CUST009997,2024-05-07,66.67,Bank Transfer,Completed,0
PAY00000085,POL0032113,CUST008412,2025-07-03,91.24,Bank Transfer,Completed,0
PAY00000086,POL0068060,CUST005555,2021-04-18,262.57,Credit Card,Completed,0
PAY00000087,POL0074570,CUST002377,2024-01-03,500.0,Bank Transfer,Failed,1
PAY00000089,POL0032092,CUST002124,2021-04-18,200.0,Check,Failed,1
PAY00000090,POL0028090,CUST006671,2023-08-19,132.3,Credit Card,Completed,1
PAY00000091,POL0031228,CUST008118,2021-10-29,137.33,Credit Card,Completed,0
PAY00000092,POL0002590,CUST007620,2021-12-04,314.92,Check,Completed,1
PAY00000093,POL0018232,CUST008339,2022-06-25,109.44,Bank Transfer,Completed,1
PAY00000094,POL0022505,CUST011168,2021-02-28,320.68,Credit Card,Failed,1
PAY00000095,POL0024092,CUST006237,2024-11-29,140.74,Credit Card,Completed,1
PAY00000097,POL0007359,CUST003571,2021-09-12,85.31,Credit Card,Completed,0
PAY00000098,POL0068204,CUST007881,2021-05-08,300.0,Bank Transfer,Completed,1
PAY00000099,POL0053664,CUST013935,2024-08-26,6500.0,Bank Transfer,Completed,0
PAY00000100,POL0003477,CUST003122,2024-05-28,166.67,Credit Card,Completed,1
PAY00000101,POL0072363,CUST010852,2025-07-03,460.87,Credit Card,Completed,0
PAY00000102,POL0010712,CUST011182,2024-01-17,112.14,Credit Card,Completed,0
PAY00000104,POL0071688,CUST014212,2024-09-29,50.16,Credit Card,Completed,0
PAY00000105,POL0047660,CUST013790,2025-04-29,533.33,Bank Transfer,Completed,1
PAY00000106,POL0035168,CUST000242,2022-05-15,193.85,Credit Card,Completed,0
PAY00000107,POL0062176,CUST001194,2025-04-21,625.0,Bank Transfer,Completed,0
PAY00000108,POL0013781,CUST011960,2025-07-03,133.33,Credit Card,Completed,0
PAY00000110,POL0044724,CUST003455,2022-12-25,377.96,Auto Pay,Completed,0
PAY00000111,POL0018728,CUST005179,2022-02-09,133.33,Check,Completed,1
PAY00000112,POL0047103,CUST009481,2021-11-12,69.49,Credit Card,Completed,0
PAY00000113,POL0012481,CUST013913,2024-06-19,53.25,Cash,Completed,1
PAY00000114,POL0033209,CUST011774,2025-02-24,2000.0,Credit Card,Completed,0
PAY00000116,POL0067666,CUST004023,2024-11-07,66.67,Credit Card,Failed,1
PAY00000117,POL0069962,CUST006657,2025-02-14,400.0,Auto Pay,Completed,0
PAY00000118,POL0014008,CUST010990,2020-12-27,147.8,Bank Transfer,Completed,0
PAY00000120,POL0011495,CUST002767,2023-09-23,42.49,Credit Card,Completed,1
PAY00000121,POL0035852,CUST005762,2022-12-01,51.71,Credit Card,Completed,1
PAY00000122,POL0006907,CUST006971,2024-07-20,150.56,Credit Card,Completed,1
PAY00000123,POL0055665,CUST005637,2024-06-13,26000.0,Bank Transfer,Completed,1
PAY00000124,POL0020096,CUST000499,2023-08-20,72.69,Credit Card,Completed,0
PAY00000125,POL0066695,CUST005976,2024-01-10,117.0,Credit Card,Completed,1
PAY00000126,POL0048997,CUST011630,2024-06-26,1333.33,Credit Card,Completed,0
PAY00000127,POL0018181,CUST002114,2022-12-28,95.69,Auto Pay,Completed,1
PAY00000128,POL0008332,CUST013129,2023-07-31,333.33,Bank Transfer,Completed,1
PAY00000129,POL0069797,CUST005684,2022-10-12,8000.0,Bank Transfer,Completed,0
PAY00000130,POL0073289,CUST008487,2021-07-18,52.66,Credit Card,Completed,0
PAY00000131,POL0018336,CUST011887,2022-11-06,406.25,Bank Transfer,Completed,1
PAY00000132,POL0056187,CUST003044,2024-05-02,1159.21,Check,Completed,0
PAY00000133,POL0068465,CUST004329,2021-04-27,1000.0,Bank Transfer,Completed,1
PAY00000134,POL0025300,CUST002553,2024-06-28,1600.0,Bank Transfer,Completed,1
PAY00000135,POL0058740,CUST000392,2024-10-02,41.67,Bank Transfer,Completed,0
PAY00000136,POL0032663,CUST011552,2021-10-18,389.43,Bank Transfer,Failed,1
PAY00000138,POL0067452,CUST007507,2023-12-30,4000.0,Check,Completed,0
PAY00000139,POL0069132,CUST009162,2025-03-21,4000.0,Credit Card,Completed,0
PAY00000140,POL0073992,CUST008987,2025-05-21,533.33,Check,Completed,0
PAY00000141,POL0033849,CUST010142,2025-06-17,72.6,Bank Transfer,Completed,1
PAY00000142,POL0016319,CUST011763,2025-07-03,163.81,Bank Transfer,Completed,0
PAY00000143,POL0038100,CUST013389,2021-09-10,439.82,Auto Pay,Completed,0
PAY00000144,POL0012275,CUST007458,2020-06-30,13000.0,Check,Completed,1
PAY00000145,POL0038101,CUST002114,2023-09-14,162.5,Bank Transfer,Failed,0
PAY00000146,POL0048261,CUST011549,2022-08-22,460.02,Bank Transfer,Completed,0
PAY00000147,POL0050971,CUST010972,2025-07-03,149.01,Credit Card,Pending,0
PAY00000148,POL0051061,CUST014430,2022-10-01,153.35,Auto Pay,Completed,0
PAY00000149,POL0060299,CUST014824,2025-05-03,166.67,Check,Completed,0
PAY00000150,POL0032722,CUST006045,2022-08-26,66.67,Bank Transfer,Refunded,1
PAY00000151,POL0021557,CUST003145,2023-11-21,1500.0,Credit Card,Failed,1
PAY00000152,POL0060967,CUST013281,2023-11-10,666.67,Bank Transfer,Completed,1
PAY00000153,POL0013818,CUST005349,2021-09-13,125.52,Credit Card,Completed,0
PAY00000154,POL0057114,CUST001158,2023-04-21,64.09,Check,Completed,1
PAY00000155,POL0063714,CUST005278,2021-10-03,533.33,Auto Pay,Completed,0
PAY00000156,POL0052781,CUST001985,2025-07-03,4333.33,Credit Card,Completed,0
PAY00000157,POL0024338,CUST001307,2025-07-03,116.76,Check,Completed,0
PAY00000158,POL0050016,CUST013478,2023-06-08,937.5,Bank Transfer,Failed,0
PAY00000159,POL0021753,CUST012989,2021-11-06,1169.44,Credit Card,Failed,1
PAY00000160,POL0062989,CUST008992,2024-08-07,488.6,Credit Card,Completed,1
PAY00000161,POL0061959,CUST013254,2022-05-15,650.0,Auto Pay,Completed,0
PAY00000162,POL0044687,CUST003542,2023-10-25,4333.33,Credit Card,Completed,1
PAY00000163,POL0068750,CUST005720,2025-04-03,175.52,Bank Transfer,Completed,0
PAY00000164,POL0065094,CUST012934,2020-10-28,3000.0,Bank Transfer,Completed,0
PAY00000165,POL0013231,CUST010965,2024-08-24,541.67,Credit Card,Completed,0
PAY00000166,POL0051914,CUST005360,2024-01-26,533.33,Bank Transfer,Completed,0
PAY00000167,POL0012066,CUST005270,2025-07-03,74.82,Credit Card,Completed,0
PAY00000168,POL0051940,CUST013956,2025-04-14,1600.0,Check,Completed,0
PAY00000169,POL0073840,CUST010800,2021-01-06,5200.0,Credit Card,Completed,0
PAY00000170,POL0014850,CUST014450,2022-12-06,250.0,Bank Transfer,Completed,0
PAY00000171,POL0072359,CUST010337,2023-07-20,5000.0,Auto Pay,Completed,0
PAY00000172,POL0016215,CUST003513,2024-12-10,143.77,Auto Pay,Failed,1
PAY00000173,POL0054753,CUST007943,2023-01-05,90.15,Auto Pay,Completed,1
PAY00000174,POL0058672,CUST013579,2021-06-30,100.34,Bank Transfer,Completed,1
PAY00000175,POL0044291,CUST007994,2025-02-03,2166.67,Credit Card,Completed,0
PAY00000176,POL0033840,CUST011626,2025-06-17,203.3,Auto Pay,Completed,1
PAY00000177,POL0008186,CUST014610,2021-11-22,216.67,Credit Card,Completed,0
PAY00000178,POL0036968,CUST009171,2025-04-08,1666.67,Auto Pay,Completed,1
PAY00000179,POL0067950,CUST007050,2022-07-19,1333.33,Credit Card,Completed,0
PAY00000180,POL0007352,CUST010922,2025-07-03,963.75,Cash,Completed,0
PAY00000181,POL0074057,CUST012187,2024-05-08,533.33,Credit Card,Completed,0
PAY00000182,POL0017027,CUST000040,2025-03-14,358.76,Credit Card,Completed,1
PAY00000183,POL0042988,CUST013771,2022-06-09,226.99,Credit Card,Completed,1
PAY00000184,POL0064532,CUST009631,2025-07-03,108.33,Credit Card,Failed,0
PAY00000185,POL0008080,CUST000605,2022-12-02,1625.0,Bank Transfer,Failed,1
PAY00000186,POL0054290,CUST010404,2023-12-20,88.4,Check,Completed,0
PAY00000187,POL0010743,CUST004951,2023-05-04,416.67,Credit Card,Completed,1
PAY00000188,POL0016893,CUST007876,2020-04-23,1659.29,Auto Pay,Completed,1
PAY00000189,POL0028072,CUST012026,2023-09-06,831.13,Credit Card,Completed,1
PAY00000190,POL0066000,CUST006407,2024-11-01,41.64,Credit Card,Completed,1
PAY00000191,POL0039613,CUST012005,2024-01-21,302.82,Credit Card,Completed,1
PAY00000192,POL0001930,CUST013635,2020-12-21,4000.0,Bank Transfer,Completed,0
PAY00000193,POL0054642,CUST009763,2020-03-28,2666.67,Cash,Completed,0
PAY00000194,POL0069378,CUST007189,2023-10-31,61.9,Credit Card,Completed,0
PAY00000195,POL0050528,CUST007256,2021-07-23,8000.0,Auto Pay,Completed,1
PAY00000196,POL0048696,CUST007679,2022-05-19,166.67,Check,Completed,1
PAY00000197,POL0020353,CUST007967,2024-09-17,202.67,Credit Card,Completed,1
PAY00000198,POL0020082,CUST002811,2025-07-03,2020.13,Cash,Completed,0
PAY00000199,POL0022744,CUST004233,2022-05-29,200.0,Bank Transfer,Completed,1
PAY00000200,POL0003182,CUST005437,2023-03-21,251.11,Bank Transfer,Completed,0
PAY00000202,POL0054857,CUST000676,2024-03-24,2437.5,Cash,Completed,0
PAY00000203,POL0059872,CUST010606,2021-03-29,387.36,Auto Pay,Pending,1
PAY00000204,POL0052592,CUST012007,2024-03-27,1000.0,Credit Card,Completed,1
PAY00000205,POL0070700,CUST012194,2024-07-24,82.96,Credit Card,Completed,0
PAY00000206,POL0021750,CUST006221,2025-06-26,340.92,Bank Transfer,Completed,0
PAY00000207,POL0009050,CUST012448,2025-06-26,174.98,Cash,Completed,1
PAY00000209,POL0051593,CUST002801,2021-05-18,1600.0,Check,Completed,1
PAY00000210,POL0015971,CUST010125,2020-12-07,133.33,Check,Completed,0
PAY00000212,POL0011237,CUST000780,2023-12-24,44.84,Credit Card,Completed,1
PAY00000213,POL0051613,CUST005728,2020-09-30,2641.77,Credit Card,Completed,0
PAY00000214,POL0006706,CUST006846,2022-07-17,4000.0,Credit Card,Completed,0
PAY00000215,POL0026360,CUST004815,2024-11-14,83.33,Bank Transfer,Completed,1
PAY00000216,POL0027798,CUST007311,2022-03-06,891.06,Credit Card,Completed,0
PAY00000218,POL0029003,CUST006155,2023-08-01,294.38,Credit Card,Completed,0
PAY00000219,POL0040336,CUST008524,2022-06-17,333.33,Check,Completed,0
PAY00000220,POL0002816,CUST011760,2025-07-03,4000.0,Credit Card,Completed,0
PAY00000221,POL0033331,CUST012877,2021-11-27,185.98,Bank Transfer,Completed,0
PAY00000222,POL0056877,CUST007249,2023-05-29,43.49,Auto Pay,Completed,0
PAY00000223,POL0066382,CUST014665,2024-02-17,1094.74,Cash,Completed,1
PAY00000224,POL0059429,CUST002583,2023-07-13,133.33,Auto Pay,Completed,0
PAY00000225,POL0028064,CUST010443,2025-06-13,172.99,Credit Card,Completed,0
PAY00000226,POL0018108,CUST001004,2024-07-28,400.0,Auto Pay,Completed,1
PAY00000227,POL0023089,CUST011402,2025-05-05,109.59,Credit Card,Completed,1
PAY00000228,POL0006414,CUST002250,2024-05-27,1333.33,Credit Card,Completed,1
PAY00000229,POL0065109,CUST001189,2024-06-27,154.9,Bank Transfer,Completed,0
PAY00000230,POL0045665,CUST002538,2022-07-17,1666.67,Credit Card,Completed,1
PAY00000232,POL0044583,CUST000309,2023-06-15,541.67,Credit Card,Failed,1
PAY00000234,POL0053598,CUST004219,2022-07-01,312.5,Check,Failed,1
PAY00000235,POL0001313,CUST011856,2024-04-16,216.67,Credit Card,Completed,1
PAY00000236,POL0014997,CUST002271,2022-10-03,314.46,Credit Card,Completed,0
PAY00000237,POL0048218,CUST001071,2021-05-30,216.67,Bank Transfer,Completed,0
PAY00000238,POL0049204,CUST002346,2024-12-07,3333.33,Bank Transfer,Completed,0
PAY00000239,POL0023364,CUST011000,2023-09-19,773.29,Check,Completed,1
PAY00000240,POL0005853,CUST012328,2023-08-21,54.55,Auto Pay,Refunded,0
PAY00000241,POL0038949,CUST011727,2022-12-24,500.0,Check,Completed,0
PAY00000242,POL0061400,CUST004542,2025-01-09,59.77,Check,Completed,1
PAY00000243,POL0033243,CUST007418,2025-07-03,3333.33,Bank Transfer,Completed,0
PAY00000244,POL0044809,CUST003968,2022-10-28,104.27,Credit Card,Completed,0
PAY00000245,POL0049626,CUST011907,2025-05-21,103.4,Bank Transfer,Completed,1
PAY00000246,POL0042489,CUST001547,2021-12-31,541.67,Credit Card,Completed,0
PAY00000247,POL0020241,CUST010363,2023-08-11,833.33,Bank Transfer,Completed,0
PAY00000248,POL0057600,CUST009278,2022-01-11,169.95,Bank Transfer,Completed,0
PAY00000249,POL0048921,CUST013052,2025-05-19,133.33,Check,Completed,0
PAY00000250,POL0065747,CUST014956,2025-02-03,97.87,Bank Transfer,Completed,1
PAY00000251,POL0019983,CUST014713,2022-01-26,798.11,Bank Transfer,Completed,1
PAY00000252,POL0001171,CUST004664,2023-09-22,159.72,Credit Card,Failed,1
PAY00000253,POL0072975,CUST005882,2022-07-20,1844.88,Check,Completed,1
PAY00000255,POL0028769,CUST003257,2021-10-07,300.0,Bank Transfer,Failed,1
PAY00000256,POL0062118,CUST011531,2022-12-17,312.22,Credit Card,Completed,0
PAY00000257,POL0001826,CUST010014,2024-05-09,790.72,Credit Card,Completed,1
PAY00000258,POL0039662,CUST003093,2024-05-15,626.4,Bank Transfer,Completed,0
PAY00000259,POL0005552,CUST007612,2022-11-16,1680.47,Credit Card,Failed,1
PAY00000260,POL0024314,CUST012691,2023-09-15,5000.0,Credit Card,Completed,0
PAY00000261,POL0005299,CUST006575,2023-11-08,100.0,Credit Card,Failed,1
PAY00000262,POL0033571,CUST007523,2025-07-03,162.36,Credit Card,Refunded,0
PAY00000263,POL0051068,CUST003666,2021-11-19,133.33,Cash,Completed,0
PAY00000264,POL0017037,CUST005535,2024-12-24,20000.0,Cash,Completed,0
PAY00000265,POL0024874,CUST009349,2020-04-14,406.25,Credit Card,Completed,1
PAY00000266,POL0065744,CUST001032,2025-01-01,113.44,Credit Card,Completed,0
PAY00000267,POL0032850,CUST008917,2023-04-01,80.17,Credit Card,Failed,1
PAY00000268,POL0016119,CUST014010,2024-12-22,55.0,Auto Pay,Completed,0
PAY00000269,POL0064575,CUST006745,2022-08-17,416.67,Check,Refunded,0
PAY00000270,POL0022654,CUST005390,2022-12-05,210.77,Credit Card,Completed,1
PAY00000271,POL0053430,CUST010483,2023-04-25,666.67,Check,Completed,1
PAY00000272,POL0040323,CUST013607,2023-01-28,2344.65,Bank Transfer,Completed,0
PAY00000273,POL0012817,CUST008885,2022-02-13,1024.18,Credit Card,Refunded,1
PAY00000274,POL0060580,CUST006970,2021-04-08,134.55,Check,Completed,1
PAY00000275,POL0070458,CUST003109,2025-07-03,196.64,Auto Pay,Completed,0
PAY00000276,POL0061886,CUST006762,2022-01-13,252.86,Credit Card,Completed,0
PAY00000277,POL0067282,CUST012212,2023-07-22,250.0,Bank Transfer,Completed,1
PAY00000278,POL0019448,CUST007361,2023-12-26,131.04,Bank Transfer,Completed,0
PAY00000280,POL0070309,CUST001707,2023-08-31,198.45,Auto Pay,Failed,1
PAY00000281,POL0046886,CUST009200,2021-12-04,66.67,Auto Pay,Completed,0
PAY00000282,POL0055278,CUST010680,2021-04-21,51.72,Credit Card,Completed,1
PAY00000283,POL0023344,CUST010387,2021-10-10,247.68,Bank Transfer,Failed,1
PAY00000284,POL0028960,CUST013657,2022-09-13,1854.81,Bank Transfer,Completed,0
PAY00000285,POL0072470,CUST002543,2024-09-25,107.16,Credit Card,Completed,1
PAY00000286,POL0062814,CUST010669,2025-07-03,541.67,Credit Card,Completed,0
PAY00000287,POL0045719,CUST013310,2022-05-04,392.38,Credit Card,Completed,0
PAY00000288,POL0049886,CUST014020,2023-10-26,833.33,Check,Completed,0
PAY00000289,POL0066601,CUST005445,2021-12-06,4333.33,Auto Pay,Completed,1
PAY00000290,POL0044533,CUST006642,2024-08-24,181.14,Check,Completed,1
PAY00000291,POL0008477,CUST007304,2023-08-23,189.61,Cash,Failed,1
PAY00000292,POL0015870,CUST005609,2025-07-03,216.67,Bank Transfer,Completed,0
PAY00000293,POL0069494,CUST008181,2025-03-16,200.0,Bank Transfer,Completed,1
PAY00000294,POL0036477,CUST008911,2025-04-05,1198.35,Credit Card,Completed,0
PAY00000295,POL0000122,CUST000379,2023-02-20,167.62,Bank Transfer,Failed,0
PAY00000296,POL0035186,CUST006939,2023-12-15,33.33,Credit Card,Completed,1
PAY00000297,POL0026962,CUST012384,2022-10-17,180.62,Credit Card,Completed,1
PAY00000298,POL0005383,CUST002613,2021-09-23,1250.0,Credit Card,Completed,0
PAY00000299,POL0011227,CUST004999,2023-02-07,2600.0,Auto Pay,Completed,1
PAY00000300,POL0055369,CUST012807,2020-09-17,998.87,Credit Card,Completed,0
PAY00000301,POL0012497,CUST011566,2024-02-14,400.0,Bank Transfer,Failed,1
PAY00000302,POL0024762,CUST004137,2023-06-09,163.89,Bank Transfer,Failed,1
PAY00000303,POL0032661,CUST007276,2023-09-14,99.86,Check,Completed,1
PAY00000304,POL0050992,CUST004974,2021-07-13,703.38,Credit Card,Completed,1
PAY00000306,POL0025541,CUST006213,2025-05-10,93.18,Cash,Completed,0
PAY00000307,POL0043876,CUST006583,2024-02-28,1600.0,Cash,Completed,0
PAY00000308,POL0040239,CUST011001,2023-02-21,54.17,Auto Pay,Completed,0
PAY00000310,POL0041776,CUST010230,2023-11-02,200.0,Check,Pending,0
PAY00000311,POL0016488,CUST007556,2021-07-04,259.32,Cash,Completed,1
PAY00000312,POL0016456,CUST007246,2025-07-03,987.76,Credit Card,Completed,0
PAY00000313,POL0068484,CUST008149,2023-02-25,4950.87,Check,Failed,1
PAY00000314,POL0072325,CUST000454,2025-06-28,166.67,Bank Transfer,Completed,0
PAY00000315,POL0040100,CUST001784,2022-12-19,162.12,Check,Completed,0
PAY00000316,POL0006576,CUST013518,2023-04-11,41.67,Auto Pay,Completed,0
PAY00000317,POL0049074,CUST004378,2022-07-12,164.12,Credit Card,Completed,1
PAY00000319,POL0039877,CUST005864,2022-10-29,2600.0,Bank Transfer,Completed,1
PAY00000320,POL0048123,CUST011165,2023-12-25,138.31,Auto Pay,Completed,1
PAY00000321,POL0002058,CUST001985,2024-11-20,94.05,Check,Completed,0
PAY00000322,POL0031950,CUST008132,2025-07-03,8666.67,Bank Transfer,Completed,0
PAY00000323,POL0006386,CUST008994,2023-02-05,1300.0,Credit Card,Completed,1
PAY00000324,POL0056511,CUST003525,2022-09-10,203.43,Bank Transfer,Completed,0
PAY00000325,POL0071301,CUST002910,2024-09-20,1000.0,Credit Card,Completed,1
PAY00000326,POL0024505,CUST002609,2024-04-26,189.31,Credit Card,Failed,1
PAY00000327,POL0046659,CUST011946,2025-03-22,100.0,Credit Card,Failed,1
PAY00000328,POL0009290,CUST000084,2025-02-03,1333.33,Auto Pay,Completed,1
PAY00000329,POL0051595,CUST013287,2022-02-23,894.31,Credit Card,Completed,1
PAY00000331,POL0015718,CUST014355,2021-10-07,206.91,Credit Card,Failed,1
PAY00000332,POL0065315,CUST013982,2022-02-23,61.02,Bank Transfer,Completed,0
PAY00000333,POL0042130,CUST002114,2024-01-30,230.48,Cash,Completed,0
PAY00000334,POL0035428,CUST010825,2024-01-11,166.03,Check,Completed,1
PAY00000336,POL0047118,CUST007711,2022-06-19,333.33,Auto Pay,Completed,1
PAY00000338,POL0021407,CUST003403,2023-04-23,2000.0,Credit Card,Completed,1
PAY00000339,POL0037006,CUST004305,2023-01-09,3333.33,Auto Pay,Completed,0
PAY00000341,POL0041243,CUST002935,2020-12-29,913.04,Credit Card,Completed,1
PAY00000343,POL0005291,CUST012744,2025-01-04,266.67,Cash,Completed,0
PAY00000344,POL0049629,CUST011806,2021-05-09,107.74,Credit Card,Completed,0
PAY00000345,POL0008171,CUST004998,2022-11-12,66.67,Auto Pay,Completed,1
PAY00000346,POL0050930,CUST000485,2025-05-15,103.58,Auto Pay,Completed,1
PAY00000347,POL0055642,CUST003551,2021-07-29,485.14,Bank Transfer,Completed,1
PAY00000349,POL0047214,CUST012295,2022-07-20,1333.33,Auto Pay,Completed,0
PAY00000350,POL0041567,CUST006906,2023-11-06,373.16,Bank Transfer,Completed,1
PAY00000351,POL0050330,CUST001110,2021-09-22,133.33,Check,Completed,1
PAY00000352,POL0039678,CUST007479,2021-07-22,45.78,Credit Card,Completed,0
PAY00000353,POL0018004,CUST001300,2023-11-09,1666.67,Check,Failed,1
PAY00000354,POL0021813,CUST007802,2024-02-06,166.67,Cash,Completed,1
PAY00000356,POL0060112,CUST008392,2021-09-23,61.58,Check,Completed,0
PAY00000358,POL0021455,CUST002329,2020-11-29,2500.0,Credit Card,Completed,0
PAY00000359,POL0040891,CUST005277,2025-02-17,1200.27,Bank Transfer,Completed,0
PAY00000360,POL0054962,CUST004464,2025-07-03,166.67,Credit Card,Completed,0
PAY00000361,POL0059585,CUST001654,2023-09-08,83.33,Cash,Completed,1
PAY00000362,POL0016272,CUST004065,2024-01-21,117.84,Check,Completed,0
PAY00000363,POL0037692,CUST000108,2022-10-30,329.61,Credit Card,Completed,0
PAY00000364,POL0052237,CUST002323,2021-01-19,1769.66,Bank Transfer,Failed,1
