transaction_id,customer_id,product_id,product_category,purchase_amount,purchase_date,channel,discount_used
TXN_00000023,CUST_005988,PROD_0260,Electronics,1239.72,2024-05-13,In-Store,0
TXN_00000024,CUST_001730,PROD_0248,Jewelry & Accessories,-13.4,2024-11-14,Online,0
TXN_00000025,CUST_003692,PROD_0335,Beauty & Health,21.61,2024-12-11,Mobile App,0
TXN_00000026,CUST_002206,PROD_0293,Sports & Outdoors,130.93,2025-06-12,Online,0
TXN_00000027,CUST_009523,PROD_0203,Electronics,473.1,2024-12-22,In-Store,1
TXN_00000028,CUST_002041,PROD_0325,Books & Media,131.11,2025-05-11,Online,1
TXN_00000029,CUST_009413,PROD_0433,Food & Beverages,171.14,2024-10-13,Online,0
TXN_00000030,CUST_002863,PROD_0249,Clothing,293.85,2024-12-10,Online,0
TXN_00000031,CUST_002637,PROD_0474,Sports & Outdoors,191.14,2024-01-22,Online,1
TXN_00000032,CUST_006100,PROD_0134,Books & Media,16.83,2023-11-16,Online,0
TXN_00000033,CUST_008716,PROD_0049,Sports & Outdoors,124.99,2024-09-06,Mobile App,1
TXN_00000034,CUST_005047,PROD_0081,Beauty & Health,71.11,2024-03-02,In-Store,0
TXN_00000035,CUST_005399,PROD_0383,Jewelry & Accessories,-186.64,2025-05-29,In-Store,0
TXN_00000036,CUST_002040,PROD_0474,Sports & Outdoors,110.73,2024-10-10,Mobile App,1
TXN_00000037,CUST_009494,PROD_0494,Toys & Games,101.03,2024-08-06,Online,0
TXN_00000038,CUST_009734,PROD_0292,Electronics,386.21,2025-06-18,In-Store,1
TXN_00000039,CUST_009383,PROD_0130,Beauty & Health,128.37,2024-08-07,Mobile App,0
TXN_00000040,CUST_008206,PROD_0376,Books & Media,62.74,2024-06-26,Online,0
TXN_00000041,CUST_008707,PROD_0115,Beauty & Health,49.22,2025-06-29,In-Store,1
TXN_00000042,CUST_002682,PROD_0349,Electronics,506.51,2025-06-15,In-Store,0
TXN_00000043,CUST_008256,PROD_0297,Electronics,619.48,2025-06-24,Online,1
TXN_00000044,CUST_003258,PROD_0328,Toys & Games,74.82,2024-03-31,In-Store,0
TXN_00000045,CUST_007275,PROD_0062,Automotive,72.62,2024-01-25,In-Store,0
TXN_00000046,CUST_004763,PROD_0173,Home & Garden,-57.48,2024-03-26,In-Store,0
TXN_00000047,CUST_007681,PROD_0348,Beauty & Health,452.85,2024-12-15,Phone,0
TXN_00000048,CUST_005763,PROD_0140,Clothing,522.73,2024-04-11,Mobile App,1
TXN_00000049,CUST_000714,PROD_0312,Jewelry & Accessories,217.99,2023-09-25,Online,0
TXN_00000050,CUST_009431,PROD_0168,Toys & Games,197.94,2024-12-20,In-Store,0
TXN_00000051,CUST_005743,PROD_0303,Beauty & Health,90.17,2023-10-31,In-Store,1
TXN_00000052,CUST_008132,PROD_0409,Food & Beverages,44.07,2024-06-12,Mobile App,0
TXN_00000053,CUST_009930,PROD_0357,Clothing,64.02,2024-05-12,Online,0
TXN_00000054,CUST_006275,PROD_0304,Food & Beverages,22.64,2023-07-27,Mobile App,0
TXN_00000055,CUST_007528,PROD_0165,Books & Media,134.43,2025-04-28,Online,1
TXN_00000056,CUST_004000,PROD_0072,Food & Beverages,83.42,2024-01-07,Online,0
TXN_00000057,CUST_008931,PROD_0002,Sports & Outdoors,95.47,2024-05-22,In-Store,0
TXN_00000058,CUST_005195,PROD_0399,Electronics,1337.65,2023-09-06,Online,0
TXN_00000059,CUST_009625,PROD_0219,Electronics,663.59,2024-11-30,Online,0
TXN_00000060,CUST_008245,PROD_0017,Automotive,401.53,2025-01-10,Mobile App,0
TXN_00000061,CUST_000649,PROD_0445,Books & Media,106.59,2025-06-17,Mobile App,1
TXN_00000062,CUST_006762,PROD_0437,Home & Garden,69.63,2025-02-23,Online,1
TXN_00000063,CUST_002876,PROD_0144,Food & Beverages,48.89,2024-10-29,Mobile App,0
TXN_00000064,CUST_005190,PROD_0407,Electronics,87.8,2025-02-05,In-Store,0
TXN_00000065,CUST_007895,PROD_0303,Beauty & Health,80.65,2025-05-20,Mobile App,1
TXN_00000066,CUST_002734,PROD_0396,Automotive,796.8,2025-03-01,Online,1
TXN_00000067,CUST_001890,PROD_0346,Jewelry & Accessories,234.28,2024-02-10,Online,0
TXN_00000068,CUST_006692,PROD_0067,Electronics,1072.89,2024-05-03,Online,0
TXN_00000069,CUST_001712,PROD_0196,Toys & Games,309.46,2025-03-09,Online,1
TXN_00000070,CUST_009151,PROD_0168,Toys & Games,260.54,2025-04-10,Mobile App,1
TXN_00000071,CUST_008069,PROD_0057,Food & Beverages,335.48,2024-05-01,In-Store,0
TXN_00000072,CUST_000534,PROD_0165,Books & Media,173.2,2024-04-05,Mobile App,0
TXN_00000073,CUST_000121,PROD_0108,Electronics,1194.84,2024-12-08,Online,1
TXN_00000074,CUST_009784,PROD_0156,Books & Media,38.97,2024-10-18,In-Store,0
TXN_00000075,CUST_007866,PROD_0171,Beauty & Health,236.94,2023-12-27,In-Store,0
TXN_00000076,CUST_001540,PROD_0015,Jewelry & Accessories,342.45,2024-09-13,Online,1
TXN_00000077,CUST_003033,PROD_0306,Books & Media,277.49,2023-11-03,In-Store,1
TXN_00000078,CUST_003850,PROD_0058,Toys & Games,58.81,2025-02-18,Mobile App,0
TXN_00000079,CUST_008905,PROD_0118,Books & Media,-120.33,2024-08-25,In-Store,1
TXN_00000080,CUST_002471,PROD_0216,Clothing,356.34,2023-12-22,Online,0
TXN_00000081,CUST_000014,PROD_0419,Books & Media,116.47,2024-12-26,In-Store,0
TXN_00000082,CUST_009570,PROD_0445,Books & Media,-124.78,2024-09-06,Online,0
TXN_00000083,CUST_009973,PROD_0280,Home & Garden,8.08,2025-06-06,Mobile App,1
TXN_00000084,CUST_003061,PROD_0182,Beauty & Health,63.44,2024-10-18,In-Store,0
TXN_00000085,CUST_006658,PROD_0013,Beauty & Health,141.44,2024-09-17,Phone,1
TXN_00000086,CUST_009910,PROD_0302,Jewelry & Accessories,-22.32,2023-12-11,Mobile App,1
TXN_00000087,CUST_005814,PROD_0216,Clothing,368.81,2024-08-06,Online,0
TXN_00000088,CUST_008595,PROD_0260,Electronics,1883.68,2024-05-29,Online,0
TXN_00000089,CUST_009119,PROD_0423,Home & Garden,56.05,2024-09-28,Mobile App,0
TXN_00000090,CUST_000414,PROD_0205,Toys & Games,52.94,2025-05-18,Online,0
TXN_00000091,CUST_007597,PROD_0439,Beauty & Health,184.98,2024-08-24,Online,0
TXN_00000092,CUST_003602,PROD_0309,Jewelry & Accessories,229.47,2025-06-16,Phone,1
TXN_00000093,CUST_006368,PROD_0368,Clothing,213.31,2024-12-28,In-Store,0
TXN_00000094,CUST_009052,PROD_0171,Beauty & Health,288.54,2024-03-16,Mobile App,0
TXN_00000095,CUST_005893,PROD_0402,Home & Garden,-154.08,2023-12-22,Online,0
TXN_00000096,CUST_004787,PROD_0150,Toys & Games,65.64,2024-11-29,Online,1
TXN_00000097,CUST_004385,PROD_0254,Home & Garden,202.91,2024-10-13,Online,0
TXN_00000098,CUST_004980,PROD_0440,Beauty & Health,201.23,2025-05-05,Mobile App,1
TXN_00000099,CUST_003564,PROD_0375,Electronics,276.78,2024-02-19,Online,0
TXN_00000100,CUST_003638,PROD_0346,Jewelry & Accessories,165.91,2025-06-24,Phone,0
TXN_00000101,CUST_001637,PROD_0496,Home & Garden,83.79,2025-03-10,Mobile App,0
TXN_00000102,CUST_008021,PROD_0047,Food & Beverages,-138.3,2025-02-19,Online,0
TXN_00000103,CUST_005552,PROD_0251,Electronics,1210.36,2025-01-19,Mobile App,0
TXN_00000104,CUST_007675,PROD_0119,Sports & Outdoors,90.22,2024-02-15,In-Store,0
TXN_00000105,CUST_006155,PROD_0495,Sports & Outdoors,145.08,2024-12-18,Online,1
TXN_00000106,CUST_004911,PROD_0342,Toys & Games,60.97,2024-12-05,Mobile App,0
TXN_00000107,CUST_008251,PROD_0260,Electronics,1925.94,2024-05-31,Online,0
TXN_00000108,CUST_009582,PROD_0314,Home & Garden,156.88,2024-09-29,Online,0
TXN_00000109,CUST_003817,PROD_0089,Home & Garden,-44.18,2024-09-12,In-Store,0
TXN_00000110,CUST_001038,PROD_0105,Automotive,1345.01,2024-05-22,Online,0
TXN_00000111,CUST_004355,PROD_0211,Books & Media,126.89,2024-01-31,In-Store,1
TXN_00000112,CUST_008051,PROD_0258,Electronics,741.37,2025-05-26,Mobile App,1
TXN_00000113,CUST_005094,PROD_0297,Electronics,2179.07,2023-09-04,Online,1
TXN_00000114,CUST_001661,PROD_0009,Toys & Games,28.22,2024-02-07,Online,0
TXN_00000115,CUST_000897,PROD_0278,Jewelry & Accessories,583.93,2024-04-22,Mobile App,1
TXN_00000116,CUST_008073,PROD_0318,Sports & Outdoors,148.31,2024-06-26,In-Store,1
TXN_00000117,CUST_001097,PROD_0321,Clothing,146.76,2025-01-29,Online,1
TXN_00000118,CUST_008462,PROD_0331,Clothing,201.22,2025-06-22,Online,0
TXN_00000119,CUST_009386,PROD_0123,Automotive,264.78,2023-09-23,Online,1
TXN_00000120,CUST_008165,PROD_0086,Food & Beverages,157.96,2023-09-15,Mobile App,0
TXN_00000121,CUST_009089,PROD_0348,Beauty & Health,121.01,2024-08-27,Online,0
TXN_00000122,CUST_002257,PROD_0030,Books & Media,40.5,2023-08-29,In-Store,0
TXN_00000123,CUST_007762,PROD_0406,Clothing,97.98,2025-06-26,In-Store,1
TXN_00000124,CUST_001307,PROD_0026,Sports & Outdoors,512.07,2024-12-10,In-Store,0
TXN_00000125,CUST_005880,PROD_0454,Sports & Outdoors,145.94,2025-01-19,Mobile App,0
TXN_00000126,CUST_007031,PROD_0405,Automotive,54.32,2025-04-17,Online,0
TXN_00000127,CUST_002795,PROD_0374,Sports & Outdoors,205.27,2025-02-06,In-Store,0
TXN_00000128,CUST_005893,PROD_0021,Jewelry & Accessories,133.3,2024-05-08,Online,0
TXN_00000129,CUST_004234,PROD_0090,Sports & Outdoors,103.77,2025-04-11,Online,0
TXN_00000130,CUST_000101,PROD_0265,Beauty & Health,11.85,2024-12-16,In-Store,0
TXN_00000131,CUST_008034,PROD_0159,Home & Garden,80.2,2024-03-12,In-Store,0
TXN_00000132,CUST_003382,PROD_0021,Jewelry & Accessories,81.52,2024-11-27,Online,0
TXN_00000133,CUST_007506,PROD_0434,Clothing,291.58,2023-12-08,In-Store,0
TXN_00000134,CUST_009566,PROD_0196,Toys & Games,-213.03,2024-02-25,Online,1
TXN_00000135,CUST_009240,PROD_0496,Home & Garden,149.67,2024-12-18,In-Store,1
TXN_00000136,CUST_005094,PROD_0100,Home & Garden,73.14,2024-11-21,Online,0
TXN_00000137,CUST_000969,PROD_0133,Sports & Outdoors,-37.71,2024-12-21,Online,0
TXN_00000138,CUST_009771,PROD_0245,Books & Media,30.82,2024-06-11,In-Store,0
TXN_00000139,CUST_004841,PROD_0498,Jewelry & Accessories,333.18,2025-06-22,Online,0
TXN_00000140,CUST_003432,PROD_0412,Beauty & Health,59.58,2025-01-20,Online,1
TXN_00000141,CUST_001567,PROD_0154,Home & Garden,132.12,2025-02-28,Mobile App,0
TXN_00000142,CUST_002794,PROD_0269,Automotive,257.94,2024-01-05,Online,0
TXN_00000143,CUST_008299,PROD_0071,Books & Media,285.71,2024-10-11,Online,0
TXN_00000144,CUST_008841,PROD_0350,Food & Beverages,108.49,2025-04-16,Mobile App,0
TXN_00000145,CUST_009753,PROD_0340,Automotive,662.9,2025-06-27,Online,1
TXN_00000146,CUST_005327,PROD_0227,Books & Media,149.54,2024-07-14,In-Store,0
TXN_00000147,CUST_006956,PROD_0208,Jewelry & Accessories,361.33,2025-02-24,In-Store,1
TXN_00000148,CUST_006376,PROD_0372,Home & Garden,89.54,2024-10-11,Mobile App,1
TXN_00000149,CUST_009629,PROD_0045,Toys & Games,-24.27,2024-04-21,Online,1
TXN_00000150,CUST_004554,PROD_0447,Food & Beverages,254.88,2024-06-08,Online,0
TXN_00000151,CUST_002946,PROD_0297,Electronics,1159.21,2024-06-02,Mobile App,0
TXN_00000152,CUST_001967,PROD_0399,Electronics,1172.33,2024-12-04,Mobile App,0
TXN_00000153,CUST_007422,PROD_0122,Clothing,341.96,2024-01-30,Online,0
TXN_00000154,CUST_003729,PROD_0303,Beauty & Health,102.99,2024-06-09,In-Store,1
TXN_00000155,CUST_009044,PROD_0268,Beauty & Health,64.25,2024-06-14,In-Store,0
TXN_00000156,CUST_002496,PROD_0307,Food & Beverages,81.89,2025-01-28,Online,0
TXN_00000157,CUST_002718,PROD_0095,Toys & Games,260.38,2024-12-02,Online,1
TXN_00000158,CUST_009658,PROD_0370,Food & Beverages,167.22,2025-02-06,Phone,0
TXN_00000159,CUST_006009,PROD_0159,Home & Garden,-134.37,2025-04-06,Online,0
TXN_00000160,CUST_000734,PROD_0308,Food & Beverages,15.0,2024-07-17,In-Store,0
TXN_00000161,CUST_005567,PROD_0291,Clothing,127.75,2023-10-12,In-Store,0
TXN_00000162,CUST_009825,PROD_0394,Sports & Outdoors,444.43,2024-01-27,Online,0
TXN_00000163,CUST_000771,PROD_0337,Home & Garden,64.09,2024-10-06,In-Store,0
TXN_00000164,CUST_004563,PROD_0433,Food & Beverages,81.7,2024-12-26,Mobile App,0
TXN_00000165,CUST_008264,PROD_0481,Clothing,94.42,2025-06-10,Online,0
TXN_00000166,CUST_004305,PROD_0086,Food & Beverages,129.45,2025-05-05,Online,1
TXN_00000167,CUST_009865,PROD_0475,Home & Garden,4.4,2025-04-16,Online,1
TXN_00000168,CUST_006411,PROD_0011,Clothing,235.73,2024-07-22,In-Store,0
TXN_00000169,CUST_006355,PROD_0299,Toys & Games,490.26,2024-09-13,In-Store,0
TXN_00000170,CUST_002242,PROD_0133,Sports & Outdoors,19.7,2024-12-20,Phone,1
TXN_00000171,CUST_008946,PROD_0194,Automotive,649.64,2024-01-24,Online,0
TXN_00000172,CUST_004934,PROD_0464,Electronics,-1653.86,2024-07-24,Online,0
TXN_00000173,CUST_003259,PROD_0410,Toys & Games,-84.32,2024-10-30,Online,0
TXN_00000174,CUST_008268,PROD_0219,Electronics,1020.36,2024-12-25,In-Store,1
TXN_00000175,CUST_004736,PROD_0217,Home & Garden,300.34,2024-07-27,In-Store,0
TXN_00000176,CUST_008199,PROD_0190,Clothing,289.16,2024-05-05,In-Store,1
TXN_00000177,CUST_001197,PROD_0235,Books & Media,47.44,2024-02-28,Phone,0
TXN_00000178,CUST_001744,PROD_0024,Jewelry & Accessories,454.64,2023-12-22,Phone,0
TXN_00000179,CUST_009734,PROD_0028,Automotive,832.88,2025-02-09,Mobile App,0
TXN_00000180,CUST_006802,PROD_0498,Jewelry & Accessories,455.03,2025-04-05,Online,0
TXN_00000181,CUST_008669,PROD_0119,Sports & Outdoors,94.62,2024-11-19,Online,0
TXN_00000182,CUST_007997,PROD_0377,Electronics,437.31,2025-01-29,Online,0
TXN_00000183,CUST_005087,PROD_0219,Electronics,1294.1,2025-06-18,Phone,0
TXN_00000184,CUST_001763,PROD_0232,Toys & Games,71.42,2025-04-06,Mobile App,1
TXN_00000185,CUST_005311,PROD_0093,Clothing,320.64,2025-03-25,Online,0
TXN_00000186,CUST_004089,PROD_0154,Home & Garden,104.08,2023-11-12,In-Store,0
TXN_00000187,CUST_004312,PROD_0025,Automotive,-376.28,2024-12-28,Mobile App,1
TXN_00000188,CUST_002476,PROD_0340,Automotive,860.1,2023-08-16,Mobile App,1
TXN_00000189,CUST_008348,PROD_0272,Clothing,109.78,2024-05-31,Online,0
TXN_00000190,CUST_008390,PROD_0369,Electronics,989.4,2025-04-08,Mobile App,0
TXN_00000191,CUST_002382,PROD_0150,Toys & Games,40.86,2023-07-24,In-Store,0
TXN_00000192,CUST_003050,PROD_0417,Home & Garden,129.86,2024-12-22,Mobile App,0
TXN_00000193,CUST_002918,PROD_0206,Automotive,721.57,2023-11-01,Online,0
TXN_00000194,CUST_009307,PROD_0416,Automotive,190.29,2025-02-19,Online,0
TXN_00000195,CUST_002628,PROD_0208,Jewelry & Accessories,338.64,2025-04-12,Mobile App,1
TXN_00000196,CUST_006086,PROD_0430,Electronics,62.79,2025-05-18,Online,0
TXN_00000197,CUST_006342,PROD_0420,Books & Media,64.61,2024-02-26,In-Store,0
TXN_00000198,CUST_002450,PROD_0061,Automotive,624.88,2023-12-01,Phone,0
TXN_00000199,CUST_000714,PROD_0149,Toys & Games,16.55,2024-09-25,Online,0
TXN_00000200,CUST_008701,PROD_0357,Clothing,77.59,2024-06-06,Phone,1
TXN_00000201,CUST_005303,PROD_0100,Home & Garden,68.53,2024-07-10,Mobile App,0
TXN_00000202,CUST_002847,PROD_0302,Jewelry & Accessories,61.03,2025-04-11,In-Store,1
TXN_00000203,CUST_008879,PROD_0257,Electronics,1291.69,2024-12-10,In-Store,0
TXN_00000204,CUST_006397,PROD_0006,Clothing,190.97,2024-10-09,Online,0
TXN_00000205,CUST_000641,PROD_0012,Automotive,-939.69,2025-05-31,Phone,0
TXN_00000206,CUST_001940,PROD_0375,Electronics,527.02,2024-03-10,Mobile App,1
TXN_00000207,CUST_005006,PROD_0312,Jewelry & Accessories,202.2,2024-06-05,In-Store,1
TXN_00000208,CUST_006748,PROD_0321,Clothing,146.34,2025-06-10,Online,1
TXN_00000209,CUST_006985,PROD_0478,Books & Media,328.12,2024-02-01,In-Store,0
TXN_00000210,CUST_006954,PROD_0158,Toys & Games,69.87,2025-01-21,Online,1
TXN_00000211,CUST_001219,PROD_0470,Beauty & Health,150.93,2024-05-23,In-Store,0
TXN_00000212,CUST_007040,PROD_0109,Automotive,1276.08,2025-05-16,Online,0
TXN_00000213,CUST_009837,PROD_0268,Beauty & Health,82.57,2025-03-18,In-Store,0
TXN_00000214,CUST_005470,PROD_0113,Automotive,80.0,2025-03-09,Online,0
TXN_00000215,CUST_004234,PROD_0127,Automotive,428.23,2024-10-14,Online,0
TXN_00000216,CUST_006228,PROD_0079,Books & Media,95.66,2023-11-25,Online,1
TXN_00000217,CUST_001965,PROD_0099,Electronics,676.77,2025-05-13,In-Store,0
TXN_00000218,CUST_008903,PROD_0314,Home & Garden,88.15,2025-01-11,Online,0
TXN_00000219,CUST_004958,PROD_0184,Sports & Outdoors,123.13,2025-02-16,Online,0
TXN_00000220,CUST_007375,PROD_0147,Home & Garden,48.48,2023-07-20,Online,0
TXN_00000221,CUST_006718,PROD_0045,Toys & Games,33.0,2025-02-04,In-Store,1
TXN_00000222,CUST_009331,PROD_0109,Automotive,1142.43,2024-05-07,Online,0
TXN_00000223,CUST_000356,PROD_0157,Books & Media,283.68,2024-04-25,Mobile App,1
TXN_00000224,CUST_009225,PROD_0470,Beauty & Health,101.72,2025-04-01,Online,0
TXN_00000225,CUST_009079,PROD_0393,Home & Garden,62.82,2025-03-29,Mobile App,1
TXN_00000226,CUST_003769,PROD_0351,Toys & Games,-66.05,2025-01-19,Mobile App,1
TXN_00000227,CUST_002670,PROD_0365,Beauty & Health,165.64,2024-08-25,Online,0
TXN_00000228,CUST_009409,PROD_0229,Automotive,953.12,2023-08-06,In-Store,1
TXN_00000229,CUST_007796,PROD_0359,Clothing,-226.02,2024-05-15,In-Store,0
TXN_00000230,CUST_007355,PROD_0258,Electronics,3582.65,2024-11-18,In-Store,0
TXN_00000231,CUST_000069,PROD_0448,Beauty & Health,163.98,2024-01-17,Mobile App,0
TXN_00000232,CUST_008812,PROD_0470,Beauty & Health,179.75,2024-03-15,Online,0
TXN_00000233,CUST_007589,PROD_0083,Food & Beverages,77.24,2024-10-15,In-Store,1
TXN_00000234,CUST_003895,PROD_0259,Beauty & Health,133.12,2024-01-03,In-Store,0
TXN_00000235,CUST_000774,PROD_0311,Food & Beverages,69.09,2025-03-18,Online,0
TXN_00000236,CUST_005479,PROD_0356,Jewelry & Accessories,208.49,2024-02-24,Phone,0
TXN_00000237,CUST_000703,PROD_0349,Electronics,318.46,2024-05-29,Online,1
TXN_00000238,CUST_009753,PROD_0098,Clothing,191.91,2025-03-11,Mobile App,0
TXN_00000239,CUST_002014,PROD_0186,Electronics,846.09,2025-04-15,Online,0
TXN_00000240,CUST_005760,PROD_0176,Food & Beverages,121.82,2024-10-07,Online,0
TXN_00000241,CUST_009247,PROD_0429,Electronics,731.6,2024-09-13,In-Store,0
TXN_00000242,CUST_001426,PROD_0391,Home & Garden,-127.69,2024-11-22,Mobile App,0
TXN_00000243,CUST_002999,PROD_0370,Food & Beverages,236.99,2024-10-23,Online,1
TXN_00000244,CUST_000793,PROD_0346,Jewelry & Accessories,-253.4,2023-09-27,In-Store,1
TXN_00000245,CUST_005810,PROD_0498,Jewelry & Accessories,693.59,2024-11-11,Online,0
TXN_00000246,CUST_004268,PROD_0225,Home & Garden,79.95,2024-11-03,Online,0
TXN_00000247,CUST_008469,PROD_0170,Automotive,-180.13,2024-05-30,Mobile App,0
TXN_00000248,CUST_000740,PROD_0480,Toys & Games,112.77,2024-05-21,Online,0
TXN_00000249,CUST_005586,PROD_0205,Toys & Games,62.42,2024-12-29,In-Store,1
TXN_00000250,CUST_004966,PROD_0001,Food & Beverages,24.06,2024-04-09,Online,1
TXN_00000251,CUST_008226,PROD_0352,Automotive,803.58,2024-06-19,Online,0
TXN_00000252,CUST_000713,PROD_0386,Electronics,1165.55,2024-02-26,Mobile App,0
TXN_00000253,CUST_003519,PROD_0063,Toys & Games,121.77,2025-03-12,Mobile App,0
TXN_00000254,CUST_007616,PROD_0118,Books & Media,191.46,2024-07-29,Mobile App,0
TXN_00000255,CUST_000304,PROD_0238,Jewelry & Accessories,386.42,2025-02-02,Online,1
TXN_00000256,CUST_003027,PROD_0070,Home & Garden,115.25,2025-05-24,In-Store,1
TXN_00000257,CUST_007608,PROD_0074,Food & Beverages,31.7,2024-06-16,Online,0
TXN_00000258,CUST_009028,PROD_0471,Sports & Outdoors,-257.41,2023-09-28,In-Store,1
TXN_00000259,CUST_004520,PROD_0135,Electronics,1365.48,2024-12-19,Online,1
TXN_00000260,CUST_000805,PROD_0406,Clothing,82.47,2025-02-24,Online,1
TXN_00000261,CUST_007200,PROD_0214,Beauty & Health,40.67,2024-07-19,Online,1
TXN_00000262,CUST_006175,PROD_0344,Electronics,216.17,2024-12-05,Phone,0
TXN_00000263,CUST_003090,PROD_0335,Beauty & Health,21.22,2024-12-21,Mobile App,1
TXN_00000264,CUST_000146,PROD_0357,Clothing,-62.39,2025-05-08,In-Store,0
TXN_00000265,CUST_006770,PROD_0068,Books & Media,133.94,2025-06-29,Mobile App,1
TXN_00000266,CUST_002581,PROD_0395,Clothing,276.12,2023-10-17,In-Store,0
TXN_00000267,CUST_001394,PROD_0220,Toys & Games,-42.54,2025-05-27,In-Store,1
TXN_00000268,CUST_006776,PROD_0088,Home & Garden,-49.8,2024-10-17,Mobile App,1
TXN_00000269,CUST_002033,PROD_0196,Toys & Games,96.06,2024-12-28,In-Store,0
TXN_00000270,CUST_001415,PROD_0213,Clothing,147.8,2023-08-31,In-Store,1
TXN_00000271,CUST_000578,PROD_0174,Beauty & Health,352.61,2024-01-03,In-Store,0
TXN_00000272,CUST_006918,PROD_0256,Sports & Outdoors,255.2,2025-06-27,In-Store,0
TXN_00000273,CUST_007932,PROD_0121,Home & Garden,133.25,2024-04-16,Online,1
TXN_00000274,CUST_007167,PROD_0441,Food & Beverages,60.33,2024-01-03,In-Store,0
TXN_00000275,CUST_001458,PROD_0239,Beauty & Health,121.69,2025-05-08,In-Store,0
TXN_00000276,CUST_008804,PROD_0424,Electronics,469.98,2023-09-04,Online,0
TXN_00000277,CUST_009833,PROD_0247,Electronics,1096.59,2024-04-17,In-Store,0
TXN_00000278,CUST_006964,PROD_0345,Books & Media,138.42,2025-04-30,Online,0
TXN_00000279,CUST_009091,PROD_0191,Home & Garden,136.67,2024-09-15,In-Store,0
TXN_00000280,CUST_000881,PROD_0336,Beauty & Health,19.79,2025-06-18,Online,0
TXN_00000281,CUST_006445,PROD_0013,Beauty & Health,96.62,2023-11-11,In-Store,0
TXN_00000282,CUST_007683,PROD_0101,Clothing,68.32,2024-10-26,Online,0
TXN_00000283,CUST_002015,PROD_0137,Home & Garden,124.92,2024-08-12,Phone,1
TXN_00000284,CUST_003732,PROD_0154,Home & Garden,118.61,2024-04-18,In-Store,1
TXN_00000285,CUST_007478,PROD_0274,Clothing,77.47,2024-07-29,Mobile App,0
TXN_00000286,CUST_004634,PROD_0332,Sports & Outdoors,132.93,2025-06-09,Online,1
TXN_00000287,CUST_008563,PROD_0074,Food & Beverages,12.42,2025-06-04,Online,1
TXN_00000288,CUST_005344,PROD_0326,Toys & Games,83.75,2024-10-04,In-Store,0
TXN_00000289,CUST_004717,PROD_0441,Food & Beverages,82.38,2025-02-14,Mobile App,1
TXN_00000290,CUST_003365,PROD_0477,Beauty & Health,74.71,2024-05-20,Online,0
TXN_00000291,CUST_009120,PROD_0466,Books & Media,159.04,2024-06-28,In-Store,1
TXN_00000292,CUST_008847,PROD_0249,Clothing,221.59,2024-04-06,Mobile App,0
TXN_00000293,CUST_005930,PROD_0403,Toys & Games,72.34,2023-07-30,Online,0
TXN_00000294,CUST_004895,PROD_0162,Beauty & Health,123.28,2023-11-05,In-Store,0
TXN_00000295,CUST_003172,PROD_0068,Books & Media,149.86,2024-02-13,Online,0
TXN_00000296,CUST_005604,PROD_0117,Jewelry & Accessories,198.45,2025-06-21,Online,0
TXN_00000297,CUST_003926,PROD_0172,Home & Garden,-117.79,2025-06-10,Online,1
TXN_00000298,CUST_001949,PROD_0189,Sports & Outdoors,40.86,2025-05-09,Mobile App,1
