interaction_id,customer_id,interaction_type,interaction_date,channel,duration_minutes,resolution_status,satisfaction_score
INT_000035,CUST_007725,Email Inquiry,2025-03-03,Phone,24,Resolved,7
INT_000036,CUST_003338,Billing Issue,2023-08-29,Phone,19,Resolved,6
INT_000037,CUST_007280,Email Inquiry,2025-05-25,Social Media,5,Pending,6
INT_000038,CUST_005170,Email Inquiry,2024-11-15,Phone,7,Pending,5
INT_000039,CUST_009780,Return Request,2023-12-12,Chat,12,Closed,5
INT_000040,CUST_008045,Support Call,2024-09-15,Phone,52,Resolved,6
INT_000041,CUST_002353,Product Question,2025-04-09,Email,29,Resolved,5
INT_000042,CUST_001488,Billing Issue,2023-10-12,Phone,26,Escalated,2
INT_000043,CUST_009698,Chat Session,2024-12-03,Phone,21,Resolved,6
INT_000044,CUST_006602,Billing Issue,2023-09-11,Phone,25,Resolved,6
INT_000045,CUST_007483,Email Inquiry,2023-12-13,Chat,8,Pending,5
INT_000046,CUST_002724,Billing Issue,2025-04-20,In-Store,30,Resolved,6
INT_000047,CUST_005771,Product Question,2023-07-21,Phone,26,Closed,7
INT_000048,CUST_008631,Support Call,2024-01-14,Chat,26,Pending,5
INT_000049,CUST_007364,Feedback,2025-01-14,Chat,18,Resolved,7
INT_000050,CUST_007485,Support Call,2023-11-16,Chat,23,Resolved,2
INT_000051,CUST_008616,Email Inquiry,2024-12-20,Email,14,Resolved,8
INT_000052,CUST_005508,Product Question,2025-04-12,Chat,27,Pending,5
INT_000053,CUST_003869,Support Call,2025-03-02,Email,45,Escalated,2
INT_000054,CUST_003349,Support Call,2025-03-19,Chat,54,Resolved,1
INT_000055,CUST_008179,Billing Issue,2024-10-28,Phone,37,Resolved,3
INT_000056,CUST_009099,Chat Session,2024-02-06,Phone,6,Resolved,6
INT_000057,CUST_008339,Complaint,2025-03-20,In-Store,25,Resolved,8
INT_000058,CUST_004612,Feedback,2025-02-08,Phone,18,Resolved,5
INT_000059,CUST_003799,Product Question,2025-05-15,Chat,23,Resolved,4
INT_000060,CUST_005402,Return Request,2024-05-28,Phone,26,Escalated,4
INT_000061,CUST_000629,Email Inquiry,2025-04-14,Chat,22,Resolved,8
INT_000062,CUST_002998,Billing Issue,2024-03-11,Social Media,24,Resolved,3
INT_000063,CUST_004325,Chat Session,2024-09-05,Email,13,Resolved,7
INT_000064,CUST_008165,Support Call,2024-08-05,Chat,41,Resolved,6
INT_000065,CUST_005167,Feedback,2023-08-09,Phone,18,Resolved,9
INT_000066,CUST_001580,Email Inquiry,2024-02-26,Chat,11,Resolved,9
INT_000067,CUST_006539,Return Request,2025-06-03,Phone,11,Resolved,4
INT_000068,CUST_005876,Return Request,2025-04-02,In-Store,14,Resolved,8
INT_000069,CUST_008861,Feedback,2024-09-21,In-Store,17,Resolved,8
INT_000070,CUST_007437,Product Question,2024-02-13,Social Media,26,Pending,6
INT_000071,CUST_004775,Return Request,2025-05-11,Email,29,Resolved,7
INT_000072,CUST_004905,Support Call,2025-06-12,In-Store,23,Resolved,5
INT_000073,CUST_007169,Complaint,2024-09-11,In-Store,47,Resolved,3
INT_000074,CUST_002018,Return Request,2024-12-01,In-Store,25,Resolved,5
INT_000075,CUST_001179,Return Request,2023-12-11,Chat,13,Resolved,4
INT_000076,CUST_002526,Support Call,2025-04-13,Chat,46,Escalated,2
INT_000077,CUST_007623,Chat Session,2025-05-25,In-Store,22,Pending,6
INT_000078,CUST_005686,Billing Issue,2024-01-06,Phone,31,Pending,7
INT_000079,CUST_007060,Billing Issue,2024-07-06,Phone,25,Resolved,8
INT_000080,CUST_007330,Product Question,2025-01-31,Email,26,Resolved,4
INT_000081,CUST_008977,Complaint,2025-02-12,Chat,22,Pending,2
INT_000082,CUST_004472,Email Inquiry,2024-03-12,Phone,7,Resolved,9
INT_000083,CUST_002924,Complaint,2024-12-31,Chat,42,Closed,7
INT_000084,CUST_008049,Chat Session,2024-06-26,Email,17,Resolved,9
INT_000085,CUST_000318,Support Call,2024-01-13,Phone,19,Pending,5
INT_000086,CUST_008375,Complaint,2023-11-13,Email,42,Resolved,5
INT_000087,CUST_003554,Email Inquiry,2024-10-20,Phone,16,Resolved,8
INT_000088,CUST_000566,Billing Issue,2024-09-12,Chat,17,Resolved,6
INT_000089,CUST_002309,Support Call,2023-11-08,Phone,19,Resolved,5
INT_000090,CUST_006407,Chat Session,2025-01-12,Chat,22,Pending,8
INT_000091,CUST_008359,Feedback,2024-11-13,Email,19,Resolved,7
INT_000092,CUST_007141,Support Call,2024-09-18,Phone,41,Resolved,3
INT_000093,CUST_005937,Return Request,2024-06-14,In-Store,18,Resolved,5
INT_000094,CUST_004880,Complaint,2024-12-05,Phone,57,Resolved,5
INT_000095,CUST_008041,Return Request,2025-04-19,Phone,15,Pending,4
INT_000096,CUST_005405,Complaint,2024-11-01,Phone,37,Escalated,2
INT_000097,CUST_009616,Chat Session,2025-06-21,Social Media,22,Pending,9
INT_000098,CUST_009279,Return Request,2024-03-23,Phone,11,Resolved,5
INT_000099,CUST_006125,Email Inquiry,2024-06-21,Phone,10,Resolved,9
INT_000100,CUST_005588,Complaint,2024-06-25,Phone,29,Pending,2
INT_000101,CUST_007772,Billing Issue,2024-07-17,Email,23,Pending,2
INT_000102,CUST_007167,Return Request,2024-06-11,Chat,22,Resolved,5
INT_000103,CUST_007658,Product Question,2025-04-10,Chat,17,Resolved,6
INT_000104,CUST_004635,Support Call,2025-02-14,Phone,51,Escalated,2
INT_000105,CUST_009376,Email Inquiry,2024-09-15,Email,5,Pending,6
INT_000106,CUST_002009,Return Request,2025-03-31,Email,21,Closed,8
INT_000107,CUST_004865,Feedback,2023-10-27,Email,17,Resolved,8
INT_000108,CUST_009893,Return Request,2025-05-05,Chat,29,Resolved,8
INT_000109,CUST_005612,Product Question,2024-03-27,Email,24,Resolved,7
INT_000110,CUST_006835,Support Call,2024-09-15,Phone,59,Escalated,1
INT_000111,CUST_000439,Support Call,2024-04-18,Email,31,Resolved,7
INT_000112,CUST_003685,Return Request,2024-04-23,Email,10,Resolved,8
INT_000113,CUST_008070,Complaint,2025-02-28,Email,40,Resolved,6
INT_000114,CUST_004971,Support Call,2024-07-05,In-Store,58,Resolved,5
INT_000115,CUST_004871,Product Question,2025-03-21,In-Store,11,Resolved,4
INT_000116,CUST_006547,Support Call,2025-06-29,Phone,27,Resolved,7
INT_000117,CUST_001118,Chat Session,2025-06-15,Email,8,Resolved,9
INT_000118,CUST_003175,Support Call,2023-09-24,Phone,18,Resolved,3
INT_000119,CUST_003015,Chat Session,2024-11-16,Phone,24,Closed,7
INT_000120,CUST_004871,Feedback,2025-02-02,Email,23,Resolved,7
INT_000121,CUST_008552,Billing Issue,2025-06-24,Email,55,Resolved,5
INT_000122,CUST_000119,Chat Session,2024-09-01,Phone,14,Resolved,10
INT_000123,CUST_008903,Billing Issue,2024-01-10,Phone,38,Pending,4
INT_000124,CUST_003615,Billing Issue,2025-06-01,Chat,44,Resolved,8
INT_000125,CUST_006900,Support Call,2023-10-21,In-Store,45,Closed,3
INT_000126,CUST_003031,Chat Session,2024-10-09,Social Media,16,Pending,8
INT_000127,CUST_009054,Support Call,2024-07-25,Social Media,19,Resolved,4
INT_000128,CUST_006954,Product Question,2025-03-11,Phone,25,Resolved,6
INT_000129,CUST_000973,Email Inquiry,2025-06-22,Phone,7,Closed,8
INT_000130,CUST_006113,Feedback,2024-11-03,Email,18,Closed,5
INT_000131,CUST_007945,Complaint,2025-06-17,Chat,47,Resolved,2
INT_000132,CUST_000684,Product Question,2023-11-03,Email,13,Closed,6
INT_000133,CUST_005558,Billing Issue,2024-12-25,Email,28,Closed,6
INT_000134,CUST_006445,Complaint,2024-06-01,Phone,15,Resolved,2
INT_000135,CUST_004522,Email Inquiry,2025-05-03,Phone,10,Resolved,9
INT_000136,CUST_002654,Product Question,2025-06-07,Phone,22,Pending,2
INT_000137,CUST_007253,Product Question,2025-04-25,Email,20,Resolved,7
INT_000138,CUST_005398,Feedback,2024-07-14,Email,12,Resolved,8
INT_000139,CUST_004355,Return Request,2024-01-23,In-Store,15,Resolved,8
INT_000140,CUST_005761,Feedback,2024-09-03,Email,9,Resolved,5
INT_000141,CUST_007302,Chat Session,2024-11-05,Phone,16,Resolved,10
INT_000142,CUST_000741,Return Request,2024-02-06,Chat,27,Closed,7
INT_000143,CUST_006378,Chat Session,2025-05-25,Email,19,Resolved,8
INT_000144,CUST_007502,Chat Session,2024-10-20,Chat,11,Resolved,6
INT_000145,CUST_007751,Chat Session,2023-08-15,Email,14,Resolved,10
INT_000146,CUST_002344,Feedback,2025-06-28,Email,24,Resolved,7
INT_000147,CUST_001697,Billing Issue,2025-06-11,Chat,38,Resolved,2
INT_000148,CUST_003099,Chat Session,2025-06-25,Social Media,7,Escalated,8
INT_000149,CUST_009030,Complaint,2024-01-21,Phone,15,Resolved,6
INT_000150,CUST_003060,Billing Issue,2025-05-10,Phone,52,Closed,1
INT_000151,CUST_003932,Complaint,2024-11-10,Phone,57,Pending,3
INT_000152,CUST_002213,Support Call,2024-07-02,Email,45,Resolved,4
INT_000153,CUST_002842,Return Request,2024-08-23,Email,11,Resolved,6
INT_000154,CUST_005695,Feedback,2025-04-16,Email,18,Escalated,5
INT_000155,CUST_009021,Billing Issue,2024-06-30,In-Store,31,Resolved,4
INT_000156,CUST_003892,Return Request,2023-11-10,Social Media,27,Resolved,5
INT_000157,CUST_009974,Email Inquiry,2024-07-22,Phone,9,Resolved,7
INT_000158,CUST_000769,Complaint,2024-03-01,Phone,36,Resolved,1
INT_000159,CUST_007192,Chat Session,2024-05-02,Phone,17,Resolved,6
INT_000160,CUST_008300,Return Request,2025-06-06,Chat,23,Resolved,8
INT_000161,CUST_009301,Chat Session,2024-02-18,Email,19,Resolved,7
INT_000162,CUST_003579,Complaint,2024-12-16,Phone,34,Resolved,6
INT_000163,CUST_008079,Complaint,2025-02-13,Email,46,Pending,6
INT_000164,CUST_006102,Product Question,2025-02-12,Phone,25,Resolved,7
INT_000165,CUST_008713,Feedback,2024-03-09,Phone,8,Closed,9
INT_000166,CUST_009038,Billing Issue,2023-11-18,Social Media,43,Resolved,5
INT_000167,CUST_006873,Chat Session,2024-07-21,Phone,16,Resolved,6
INT_000168,CUST_006373,Return Request,2025-06-04,Chat,23,Resolved,7
INT_000169,CUST_002093,Billing Issue,2024-04-30,In-Store,26,Resolved,3
INT_000170,CUST_005607,Feedback,2025-04-01,Phone,6,Closed,9
INT_000171,CUST_003482,Complaint,2023-08-12,Phone,21,Resolved,4
INT_000172,CUST_003762,Feedback,2025-01-20,In-Store,16,Resolved,7
INT_000173,CUST_007296,Feedback,2025-05-25,Phone,19,Pending,5
INT_000174,CUST_000259,Return Request,2024-03-17,Email,24,Pending,8
INT_000175,CUST_004520,Billing Issue,2025-01-14,Chat,26,Resolved,8
INT_000176,CUST_004783,Product Question,2025-06-23,Chat,20,Escalated,3
INT_000177,CUST_002718,Return Request,2023-08-14,Phone,15,Pending,5
INT_000178,CUST_000405,Product Question,2024-11-20,Phone,19,Resolved,6
INT_000179,CUST_006472,Complaint,2025-06-07,Chat,30,Resolved,2
INT_000180,CUST_000530,Product Question,2025-05-23,Email,14,Resolved,8
INT_000181,CUST_001188,Billing Issue,2024-09-13,Chat,18,Escalated,3
INT_000182,CUST_005855,Return Request,2025-02-26,Phone,22,Resolved,5
INT_000183,CUST_008227,Support Call,2025-06-23,Email,46,Resolved,3
INT_000184,CUST_009615,Complaint,2023-10-19,In-Store,25,Closed,1
INT_000185,CUST_001609,Complaint,2024-08-21,Social Media,18,Escalated,4
INT_000186,CUST_008405,Product Question,2025-02-01,Email,10,Resolved,6
INT_000187,CUST_005738,Billing Issue,2024-09-24,Email,57,Resolved,1
INT_000188,CUST_009302,Product Question,2024-11-29,Chat,20,Resolved,7
INT_000189,CUST_005196,Product Question,2024-11-14,Phone,12,Resolved,6
INT_000190,CUST_006175,Billing Issue,2025-02-14,Chat,50,Closed,3
INT_000191,CUST_009323,Return Request,2023-11-03,Chat,13,Pending,4
INT_000192,CUST_004472,Complaint,2024-02-23,Email,49,Resolved,8
INT_000193,CUST_002531,Billing Issue,2025-06-29,Phone,58,Escalated,2
INT_000194,CUST_008166,Chat Session,2025-05-29,Phone,14,Resolved,6
INT_000195,CUST_007886,Feedback,2025-02-14,Email,10,Resolved,9
INT_000196,CUST_007259,Billing Issue,2025-04-27,Phone,19,Resolved,7
INT_000197,CUST_008902,Chat Session,2025-01-02,Phone,15,Resolved,7
INT_000198,CUST_004837,Billing Issue,2024-10-11,Chat,23,Escalated,4
INT_000199,CUST_009417,Chat Session,2024-01-22,Email,22,Resolved,8
INT_000200,CUST_002836,Product Question,2025-03-06,Chat,12,Closed,7
INT_000201,CUST_002970,Complaint,2025-01-09,Social Media,56,Escalated,3
INT_000202,CUST_006774,Chat Session,2025-01-17,Phone,21,Pending,7
INT_000203,CUST_000001,Billing Issue,2024-09-08,Email,58,Escalated,1
INT_000204,CUST_000462,Feedback,2025-05-17,In-Store,22,Resolved,5
INT_000205,CUST_001717,Billing Issue,2023-10-21,Phone,33,Resolved,2
INT_000206,CUST_009226,Product Question,2025-05-16,Social Media,18,Resolved,6
INT_000207,CUST_006911,Return Request,2025-06-01,Phone,16,Resolved,7
INT_000208,CUST_007942,Email Inquiry,2025-04-18,Chat,19,Resolved,8
INT_000209,CUST_001860,Billing Issue,2025-04-19,Chat,37,Escalated,1
INT_000210,CUST_005380,Chat Session,2025-05-18,Email,6,Closed,8
INT_000211,CUST_003346,Feedback,2025-04-16,In-Store,20,Resolved,8
INT_000212,CUST_001350,Support Call,2023-11-18,Phone,49,Resolved,8
INT_000213,CUST_003569,Email Inquiry,2025-02-01,Email,16,Resolved,8
INT_000214,CUST_000832,Return Request,2024-06-04,In-Store,11,Resolved,4
INT_000215,CUST_005529,Chat Session,2025-03-04,Social Media,18,Resolved,9
INT_000216,CUST_004292,Complaint,2024-06-01,Email,55,Resolved,3
INT_000217,CUST_007435,Support Call,2024-05-17,Chat,32,Resolved,4
INT_000218,CUST_001320,Chat Session,2025-02-22,Email,16,Resolved,8
INT_000219,CUST_000908,Email Inquiry,2024-09-12,In-Store,14,Closed,8
INT_000220,CUST_004839,Chat Session,2023-12-29,Chat,24,Closed,6
INT_000221,CUST_008273,Product Question,2025-03-07,Phone,22,Resolved,9
INT_000222,CUST_002360,Return Request,2024-06-01,Chat,28,Resolved,6
INT_000223,CUST_009785,Return Request,2023-07-11,Chat,22,Resolved,5
INT_000224,CUST_005340,Return Request,2024-03-10,Phone,24,Pending,6
INT_000225,CUST_007570,Feedback,2024-12-11,Chat,19,Resolved,7
INT_000226,CUST_001038,Chat Session,2025-03-05,Phone,6,Resolved,8
INT_000227,CUST_000357,Complaint,2025-04-27,Social Media,42,Resolved,1
INT_000228,CUST_004714,Billing Issue,2024-05-22,Email,47,Resolved,5
INT_000229,CUST_008619,Chat Session,2025-02-03,In-Store,12,Pending,8
INT_000230,CUST_002971,Chat Session,2025-06-26,Chat,19,Resolved,5
INT_000231,CUST_000499,Feedback,2024-06-27,In-Store,24,Pending,7
INT_000232,CUST_000667,Feedback,2024-08-27,Phone,7,Resolved,9
INT_000233,CUST_004971,Feedback,2024-04-25,Social Media,14,Resolved,9
INT_000234,CUST_001422,Complaint,2023-12-26,Phone,41,Resolved,5
INT_000235,CUST_007140,Email Inquiry,2024-11-05,Chat,6,Pending,8
INT_000236,CUST_005737,Email Inquiry,2024-02-05,Phone,5,Resolved,10
INT_000237,CUST_007624,Chat Session,2025-03-13,In-Store,13,Pending,8
INT_000238,CUST_002621,Support Call,2023-11-28,Chat,59,Resolved,8
INT_000239,CUST_002426,Complaint,2023-11-22,Phone,55,Resolved,6
INT_000240,CUST_009694,Product Question,2025-02-21,Chat,26,Resolved,7
INT_000241,CUST_006756,Support Call,2025-03-13,Chat,20,Resolved,7
INT_000242,CUST_007035,Product Question,2024-03-29,Phone,28,Closed,6
INT_000243,CUST_002121,Product Question,2025-01-06,Phone,14,Resolved,3
INT_000244,CUST_006740,Email Inquiry,2024-10-19,Phone,5,Resolved,7
INT_000245,CUST_004548,Chat Session,2025-06-10,Chat,18,Resolved,7
INT_000246,CUST_004040,Feedback,2025-06-13,Phone,22,Pending,8
INT_000247,CUST_009446,Chat Session,2025-03-04,Chat,21,Resolved,9
INT_000248,CUST_001936,Return Request,2025-04-21,Email,19,Pending,6
INT_000249,CUST_003901,Email Inquiry,2024-05-24,Email,6,Resolved,9
INT_000250,CUST_004845,Return Request,2025-06-17,Email,13,Resolved,8
INT_000251,CUST_005861,Support Call,2024-04-08,Chat,18,Closed,6
INT_000252,CUST_002312,Chat Session,2024-11-21,Phone,12,Resolved,9
INT_000253,CUST_003659,Chat Session,2024-10-29,Chat,13,Closed,7
INT_000254,CUST_008766,Feedback,2023-10-11,In-Store,24,Resolved,5
INT_000255,CUST_004917,Return Request,2023-10-05,Phone,29,Resolved,5
INT_000256,CUST_008045,Email Inquiry,2024-08-04,In-Store,21,Escalated,7
INT_000257,CUST_001802,Complaint,2025-01-31,In-Store,26,Pending,7
INT_000258,CUST_008491,Complaint,2024-10-31,Email,51,Resolved,6
INT_000259,CUST_004509,Feedback,2025-03-26,Phone,24,Resolved,9
INT_000260,CUST_000105,Complaint,2024-06-20,Phone,21,Escalated,1
INT_000261,CUST_000572,Support Call,2023-12-10,In-Store,43,Closed,2
INT_000262,CUST_009667,Billing Issue,2024-01-17,Chat,34,Resolved,8
INT_000263,CUST_008609,Product Question,2024-08-19,Phone,23,Closed,5
INT_000264,CUST_007813,Complaint,2023-08-05,Phone,43,Resolved,2
INT_000265,CUST_004774,Support Call,2024-12-29,Email,52,Pending,4
INT_000266,CUST_004484,Return Request,2025-02-18,Phone,29,Resolved,6
INT_000267,CUST_004190,Complaint,2024-06-21,Phone,38,Resolved,6
INT_000268,CUST_001100,Chat Session,2023-07-29,Chat,19,Resolved,5
INT_000269,CUST_004398,Support Call,2023-09-25,Phone,26,Escalated,1
INT_000270,CUST_004134,Email Inquiry,2025-01-05,Phone,20,Resolved,8
INT_000271,CUST_002179,Feedback,2024-08-22,In-Store,15,Resolved,6
INT_000272,CUST_007755,Feedback,2024-10-15,In-Store,12,Resolved,5
INT_000273,CUST_002992,Email Inquiry,2024-10-24,Phone,10,Resolved,7
INT_000274,CUST_004626,Complaint,2024-12-29,Phone,29,Resolved,4
INT_000275,CUST_001189,Email Inquiry,2025-02-25,Email,10,Closed,5
INT_000276,CUST_009855,Return Request,2025-02-26,Phone,28,Resolved,4
INT_000277,CUST_006403,Return Request,2025-01-27,Phone,18,Closed,8
INT_000278,CUST_004193,Return Request,2025-06-24,Phone,13,Pending,2
INT_000279,CUST_003499,Feedback,2024-01-29,Email,5,Pending,4
INT_000280,CUST_004477,Chat Session,2024-05-26,Phone,14,Pending,4
INT_000281,CUST_006089,Support Call,2024-02-02,Chat,42,Resolved,5
INT_000282,CUST_004328,Email Inquiry,2024-07-18,Phone,16,Escalated,5
INT_000283,CUST_006447,Email Inquiry,2024-11-28,In-Store,11,Resolved,9
INT_000284,CUST_002885,Chat Session,2025-02-01,Phone,15,Resolved,8
INT_000285,CUST_007502,Billing Issue,2024-10-12,In-Store,20,Pending,4
INT_000286,CUST_003639,Complaint,2024-01-06,Chat,23,Resolved,2
INT_000287,CUST_006785,Complaint,2025-06-23,Chat,41,Closed,5
INT_000288,CUST_003008,Support Call,2024-10-14,Chat,22,Pending,3
INT_000289,CUST_009119,Email Inquiry,2024-05-30,In-Store,15,Pending,6
INT_000290,CUST_005056,Return Request,2025-05-23,In-Store,18,Resolved,7
INT_000291,CUST_007249,Complaint,2023-12-28,Phone,24,Escalated,1
INT_000292,CUST_001000,Feedback,2024-06-19,Email,5,Resolved,6
INT_000293,CUST_009864,Complaint,2024-08-25,Email,26,Resolved,8
INT_000294,CUST_005776,Product Question,2024-01-20,Email,22,Closed,4
INT_000295,CUST_002718,Feedback,2024-11-06,Email,17,Escalated,7
INT_000296,CUST_003437,Return Request,2024-12-02,Phone,12,Resolved,6
INT_000297,CUST_002076,Feedback,2024-12-24,Phone,7,Resolved,10
INT_000298,CUST_009017,Chat Session,2025-02-03,Email,16,Escalated,7
INT_000299,CUST_004773,Feedback,2024-04-19,Phone,18,Resolved,8
INT_000300,CUST_009403,Complaint,2023-07-20,Chat,33,Resolved,3
INT_000301,CUST_007785,Chat Session,2024-08-27,Phone,24,Resolved,8
INT_000302,CUST_000939,Complaint,2025-02-04,Phone,24,Pending,5
INT_000303,CUST_001024,Chat Session,2025-01-30,Phone,21,Resolved,7
INT_000304,CUST_002288,Product Question,2025-05-15,Phone,20,Resolved,5
INT_000305,CUST_001869,Complaint,2025-05-11,In-Store,48,Pending,6
INT_000306,CUST_009348,Support Call,2024-06-08,Phone,37,Resolved,6
INT_000307,CUST_006181,Chat Session,2025-01-18,Phone,8,Resolved,8
INT_000308,CUST_001188,Billing Issue,2024-09-11,Phone,59,Resolved,4
INT_000309,CUST_001027,Support Call,2024-04-28,Chat,47,Resolved,7
INT_000310,CUST_003098,Chat Session,2024-06-11,In-Store,17,Resolved,9
INT_000311,CUST_003328,Billing Issue,2024-02-23,Chat,47,Escalated,2
INT_000312,CUST_003594,Chat Session,2025-05-09,Phone,7,Pending,8
INT_000313,CUST_007243,Complaint,2025-06-01,Social Media,30,Pending,4
INT_000314,CUST_004692,Billing Issue,2024-06-20,Chat,28,Resolved,2
INT_000315,CUST_001716,Support Call,2024-11-05,Chat,19,Resolved,3
INT_000316,CUST_004252,Email Inquiry,2025-02-12,Chat,7,Resolved,7
INT_000317,CUST_001097,Product Question,2024-12-19,Email,14,Resolved,5
INT_000318,CUST_002544,Email Inquiry,2025-05-11,Phone,18,Escalated,7
INT_000319,CUST_009716,Support Call,2025-04-13,Chat,29,Resolved,5
INT_000320,CUST_008306,Complaint,2025-02-02,Email,56,Resolved,4
INT_000321,CUST_001680,Product Question,2025-01-14,Phone,22,Closed,7
INT_000322,CUST_005092,Billing Issue,2023-09-19,Phone,36,Resolved,3
INT_000323,CUST_000566,Email Inquiry,2024-08-19,Phone,24,Closed,5
INT_000324,CUST_003510,Chat Session,2024-11-05,Chat,17,Resolved,6
INT_000325,CUST_003531,Return Request,2024-10-12,Email,24,Resolved,3
INT_000326,CUST_007287,Email Inquiry,2024-01-05,Chat,24,Resolved,6
INT_000327,CUST_004539,Email Inquiry,2025-01-14,Email,9,Closed,6
INT_000328,CUST_009461,Chat Session,2024-08-28,Chat,22,Closed,7
INT_000329,CUST_001756,Complaint,2024-12-09,In-Store,58,Escalated,1
INT_000330,CUST_002895,Email Inquiry,2025-03-19,Chat,17,Resolved,9
INT_000331,CUST_006716,Feedback,2025-04-11,Email,22,Pending,8
INT_000332,CUST_005561,Chat Session,2025-03-18,Email,23,Pending,5
INT_000333,CUST_002479,Email Inquiry,2024-09-22,Phone,10,Resolved,5
INT_000334,CUST_002254,Product Question,2025-01-31,Phone,20,Pending,7
INT_000335,CUST_006525,Return Request,2024-10-29,Email,27,Pending,6
INT_000336,CUST_009545,Return Request,2025-01-07,Phone,20,Pending,6
INT_000337,CUST_000485,Support Call,2024-10-10,In-Store,53,Resolved,5
INT_000338,CUST_000319,Feedback,2025-01-17,Phone,8,Resolved,9
INT_000339,CUST_004275,Email Inquiry,2025-06-14,Phone,19,Escalated,6
INT_000340,CUST_007819,Product Question,2025-04-13,Phone,21,Resolved,4
INT_000341,CUST_002256,Feedback,2024-07-14,Social Media,19,Resolved,5
INT_000342,CUST_007368,Chat Session,2024-08-05,Chat,6,Pending,9
INT_000343,CUST_000523,Chat Session,2023-07-03,Phone,5,Resolved,9
INT_000344,CUST_000500,Product Question,2024-07-17,Phone,24,Resolved,7
INT_000345,CUST_008765,Chat Session,2024-09-14,Phone,10,Pending,7
INT_000346,CUST_008033,Return Request,2024-10-06,Phone,20,Resolved,6
INT_000347,CUST_008913,Product Question,2025-03-25,Phone,28,Resolved,8
INT_000348,CUST_009537,Product Question,2024-11-21,Phone,11,Resolved,3
INT_000349,CUST_009412,Chat Session,2024-05-11,Phone,7,Pending,6
INT_000350,CUST_004916,Support Call,2024-10-18,Chat,21,Closed,4
INT_000351,CUST_005532,Product Question,2024-10-14,Phone,26,Escalated,4
INT_000352,CUST_008511,Return Request,2024-08-30,Phone,14,Resolved,6
INT_000353,CUST_005340,Feedback,2023-12-28,In-Store,9,Resolved,5
INT_000354,CUST_002899,Complaint,2023-09-07,Phone,27,Resolved,8
INT_000355,CUST_007003,Support Call,2024-01-16,In-Store,21,Resolved,1
INT_000356,CUST_005463,Billing Issue,2025-02-17,Phone,31,Resolved,1
INT_000357,CUST_008213,Product Question,2024-12-25,Social Media,28,Resolved,3
INT_000358,CUST_009975,Email Inquiry,2025-04-05,In-Store,14,Resolved,9
INT_000359,CUST_007883,Return Request,2024-11-02,Chat,14,Resolved,3
INT_000360,CUST_007350,Support Call,2025-05-26,In-Store,17,Pending,5
INT_000361,CUST_000202,Chat Session,2024-08-25,Chat,6,Resolved,7
