transaction_id,customer_id,product_id,sales_rep_id,transaction_date,quantity,unit_price,discount_amount,total_amount,status,payment_method
TXN00000062,C000450,P000226,REP004,2024-12-11 11:43:35,6,49.85,14.35,284.77,completed,Bank Transfer
TXN00000063,C000121,P000036,REP014,2025-05-16 11:43:35,3,248.92,108.96,637.81,completed,PayPal
TXN00000064,C000243,P000072,REP009,2025-04-05 11:43:35,5,85.04,54.4,370.82,completed,PayPal
TXN00000065,C000482,P000081,REP005,2025-02-16 11:43:35,1,36.0,3.37,32.63,completed,Bank Transfer
TXN00000066,C000325,P000139,REP001,2025-04-24 11:43:35,10,169.2,124.58,1567.4,completed,Cash
TXN00000067,C000250,P000075,REP012,2024-12-06 11:43:35,4,278.76,62.12,1052.92,completed,PayPal
TXN00000068,C000082,P000255,REP001,2024-12-11 11:43:35,8,13.24,4.13,101.8,completed,Debit Card
TXN00000069,C000036,P000105,REP008,2025-04-21 11:43:35,7,194.56,183.03,1178.89,completed,Debit Card
TXN00000070,C000217,P000175,REP008,2025-04-12 11:43:35,1,537.63,79.6,458.03,completed,Cash
TXN00000071,C000262,P000201,REP008,2025-03-24 11:43:35,7,26.93,20.71,167.81,completed,Bank Transfer
TXN00000072,C000193,P000290,REP006,2025-05-12 11:43:35,5,27.28,13.22,123.17,completed,Cash
TXN00000073,C000271,P000296,REP012,2025-05-14 11:43:35,4,54.9,19.9,199.72,completed,Bank Transfer
TXN00000074,C000108,P000248,REP002,2025-03-07 11:43:35,10,11.31,15.42,97.64,completed,Cash
TXN00000075,C000275,,REP013,2025-03-20 11:43:35,5,185.16,30.96,894.83,completed,Cash
TXN00000076,C000060,P000124,REP009,2025-04-17 11:43:35,1,77.66,7.83,69.83,completed,Cash
TXN00000077,C000350,P000106,REP010,2025-01-03 11:43:35,7,72.8,20.83,488.77,completed,Debit Card
TXN00000078,C000026,P000090,REP004,2025-02-27 11:43:35,1,178.33,9.4,168.93,completed,Debit Card
TXN00000079,C000241,P000167,REP008,2025-01-09 11:43:35,3,0,5.67,181.03,completed,Cash
TXN00000080,C000317,P000139,REP002,2025-01-02 11:43:35,1,146.16,9.64,136.52,completed,Credit Card
TXN00000081,C000473,P000207,REP006,2024-12-13 11:43:35,6,444.23,120.43,2544.95,completed,PayPal
TXN00000082,C000055,P000046,REP006,2025-02-04 11:43:35,9,190.38,174.57,1538.86,completed,Cash
TXN00000083,C000283,P000226,REP002,2025-01-02 11:43:35,7,60.39,29.66,393.05,completed,Bank Transfer
TXN00000084,C000092,P000063,,2024-12-17 11:43:35,2,235.52,5.14,465.9,completed,Debit Card
TXN00000085,C000412,P000121,REP007,2025-03-21 11:43:35,3,120.12,53.18,307.18,completed,Credit Card
TXN00000086,C000275,P000165,REP009,2024-12-20 11:43:35,2,241.6,0.01,483.2,completed,Bank Transfer
TXN00000087,C000261,P000283,REP008,2025-03-12 11:43:35,2,41.7,12.14,71.26,completed,Bank Transfer
TXN00000088,C000482,P000242,REP006,2024-12-06 11:43:35,5,21.49,7.2,100.23,completed,Debit Card
TXN00000089,C000333,P000119,,2024-12-30 11:43:35,1,626.02,82.67,543.35,completed,Cash
TXN00000090,C000323,P000219,REP005,2025-05-17 11:43:35,-1,44.44,0.95,221.23,completed,Bank Transfer
TXN00000091,C000276,P000108,REP013,2025-01-06 11:43:35,6,208.0,0.8,1247.21,completed,Cash
TXN00000092,C000151,P000214,REP002,2025-03-13 11:43:35,5,280.53,138.11,1264.56,completed,Credit Card
TXN00000093,C000164,P000124,REP010,2025-01-15 11:43:35,9,83.18,43.15,705.43,completed,Credit Card
TXN00000094,C000319,P000153,REP001,2025-03-10 11:43:35,6,226.43,131.71,1226.86,completed,Debit Card
TXN00000095,C000027,P000155,REP008,2024-12-20 11:43:35,2,564.69,125.87,1003.5,completed,Credit Card
TXN00000096,C000289,P000042,REP004,2025-04-22 11:43:35,5,205.92,3.67,1025.92,completed,Credit Card
TXN00000097,C000482,P000212,REP007,2025-02-03 11:43:35,7,87.6,64.9,548.32,completed,Credit Card
TXN00000098,C000128,P000136,REP011,2025-04-28 11:43:35,2,210.43,16.62,404.24,completed,Credit Card
TXN00000099,C000075,P000270,REP008,2025-03-05 11:43:35,10,480.48,655.15,4149.65,completed,Credit Card
TXN00000100,C000173,P000261,REP007,2025-05-19 11:43:35,6,567.88,335.27,3072.02,completed,Cash
TXN00000101,C000296,P000075,REP006,2025-04-11 11:43:35,3,296.19,37.57,850.99,completed,Cash
TXN00000102,C000418,P000243,REP010,2025-05-23 11:43:35,3,38.97,17.46,99.45,completed,Cash
TXN00000103,C000157,P000064,REP015,2025-05-29 11:43:35,2,147.5,36.25,258.75,completed,Cash
TXN00000104,C000123,P000076,REP013,2024-12-30 11:43:35,3,161.53,14.49,470.11,completed,Cash
TXN00000105,C000420,P000234,REP008,2025-01-31 11:43:35,10,27.04,0.07,270.31,completed,PayPal
TXN00000106,C000339,P000219,REP010,2025-05-29 11:43:35,6,37.97,12.78,215.02,completed,PayPal
TXN00000107,C000256,P000235,REP014,2024-12-24 11:43:35,4,23.43,5.88,87.85,completed,PayPal
TXN00000108,C000382,P000086,REP015,2024-12-27 11:43:35,1,67.53,2.99,64.54,completed,PayPal
TXN00000109,C000210,P000140,REP005,2025-03-27 11:43:35,6,478.63,271.02,2600.75,completed,Bank Transfer
TXN00000110,C000110,P000019,REP014,2025-03-16 11:43:35,8,47.03,19.37,356.9,completed,Debit Card
TXN00000111,C000181,P000068,REP009,2025-07-03 11:43:35,2,41.81,3.37,80.25,completed,Cash
TXN00000112,C000276,P000230,REP015,2025-03-09 11:43:35,1,112.64,2.78,109.86,completed,Cash
TXN00000113,C000486,P000271,REP002,2025-03-02 11:43:35,6,780.94,185.82,4499.8,completed,Credit Card
TXN00000114,C000258,P000223,REP008,2025-03-09 11:43:35,3,159.27,18.18,459.64,completed,Credit Card
TXN00000115,C000197,P000254,REP014,2025-04-09 11:43:35,4,33.98,15.03,120.89,completed,PayPal
TXN00000116,C000433,P000133,REP009,2025-04-13 11:43:35,4,709.66,142.01,2696.64,completed,PayPal
TXN00000117,C000491,P000270,REP013,2025-01-12 11:43:35,10,469.21,389.61,4302.49,completed,Debit Card
TXN00000118,C000051,P000163,REP015,2025-03-06 11:43:35,2,131.53,26.27,236.8,completed,Bank Transfer
TXN00000119,C000271,P000080,REP013,2025-01-30 11:43:35,8,466.0,524.67,3203.3,completed,Cash
TXN00000120,C000070,P000198,REP004,2024-12-07 11:43:35,2,64.56,8.36,120.76,completed,Cash
TXN00000121,C000283,P000099,REP003,2025-03-18 11:43:35,9,108.61,62.04,915.47,completed,Credit Card
TXN00000122,C000341,P000202,REP004,2025-05-12 11:43:35,10,258.38,49.22,2534.6,completed,Cash
TXN00000123,C000293,P000229,REP007,2025-05-25 11:43:35,9,88.67,6.16,791.89,completed,Bank Transfer
TXN00000124,C000103,P000257,REP015,2024-12-10 11:43:35,1,52.36,4.13,-48.23,completed,Credit Card
TXN00000125,C000209,P000094,REP003,2025-04-05 11:43:35,7,41.95,37.02,256.65,completed,Bank Transfer
TXN00000126,C000362,P000047,REP006,2025-04-26 11:43:35,3,240.58,59.8,661.94,completed,Cash
TXN00000127,C000257,P000292,REP003,2025-04-12 11:43:35,10,55.77,43.59,514.13,completed,Bank Transfer
TXN00000128,C000448,P000245,REP001,2025-01-16 11:43:35,6,667.78,507.96,3498.73,completed,Debit Card
TXN00000129,C000376,P000263,REP007,2025-05-10 11:43:35,9,285.07,334.78,2230.87,completed,Cash
TXN00000130,C000345,P000245,REP004,2024-12-15 11:43:35,5,575.47,59.4,2817.95,completed,Bank Transfer
TXN00000131,C000274,P000282,REP002,2024-12-20 11:43:35,9,152.72,29.57,1344.95,completed,PayPal
TXN00000132,C000040,P000274,REP012,2025-04-03 11:43:35,2,240.01,17.24,462.78,completed,Cash
TXN00000133,C000430,P000147,REP005,2025-03-05 11:43:35,1,249.49,34.6,214.89,completed,Credit Card
TXN00000134,C000275,P000258,REP015,2025-05-12 11:43:35,10,67.5,25.62,649.42,completed,Debit Card
TXN00000135,C000294,P000144,REP010,2025-05-07 11:43:35,3,62.37,19.29,167.82,completed,PayPal
TXN00000136,C000395,P000013,REP003,2025-03-19 11:43:35,3,365.11,18.99,1076.35,completed,Bank Transfer
TXN00000137,C000097,P000284,REP004,2025-05-03 11:43:35,8,16.38,2.58,128.5,completed,Bank Transfer
TXN00000138,C000367,P000297,REP006,2025-05-24 11:43:35,7,11.62,6.07,75.3,completed,Debit Card
TXN00000139,C000325,P000088,REP001,2025-02-10 11:43:35,2,114.87,28.62,201.13,completed,PayPal
TXN00000140,C000033,P000196,REP009,2025-05-09 11:43:35,10,96.3,25.35,937.6,completed,Cash
TXN00000141,C000280,P000233,REP012,2025-05-30 11:43:35,8,27.77,9.72,212.47,completed,Bank Transfer
TXN00000142,C000420,P000083,REP015,2025-04-21 11:43:35,10,37.19,47.2,324.74,completed,Cash
TXN00000143,C000039,P000038,REP010,2025-05-10 11:43:35,6,531.06,310.36,2875.99,completed,Debit Card
TXN00000144,C000073,P000229,REP009,2024-12-16 11:43:35,8,90.21,6.54,715.16,completed,Debit Card
TXN00000145,,P000029,REP006,2024-12-19 11:43:35,9,232.69,227.49,1866.73,completed,PayPal
TXN00000146,C000103,P000087,REP015,2025-03-19 11:43:35,2,62.89,17.16,108.62,completed,PayPal
TXN00000147,C000197,P000299,REP001,2025-04-28 11:43:35,9,49.71,14.77,432.59,completed,PayPal
TXN00000148,C000022,P000232,REP005,2025-03-25 11:43:35,7,170.02,151.14,1039.03,completed,PayPal
TXN00000149,C000479,P000004,REP015,2025-05-15 11:43:35,7,89.69,21.05,606.78,completed,PayPal
TXN00000150,C000103,P000292,REP012,2025-04-04 11:43:35,2,64.98,14.06,115.89,completed,Cash
TXN00000151,C000356,P000082,REP012,2025-04-18 11:43:35,9,232.22,214.34,1875.66,completed,Credit Card
TXN00000152,C000362,P000002,REP003,2024-12-19 11:43:35,5,17.65,5.48,82.75,completed,PayPal
TXN00000153,C000229,P000050,,2025-05-22 11:43:35,1,539.85,31.86,507.99,completed,Bank Transfer
TXN00000154,C000323,P000100,REP014,2025-03-28 11:43:35,-3,140.73,27.49,253.97,completed,Credit Card
TXN00000155,C000088,P000174,REP006,2025-01-19 11:43:35,3,55.14,3.69,161.72,completed,Debit Card
TXN00000156,C000381,P000149,REP012,2025-04-26 11:43:35,1,27.39,0.08,27.31,completed,Debit Card
TXN00000157,C000246,P000215,REP008,2025-05-21 11:43:35,1,118.3,13.85,104.45,completed,PayPal
TXN00000158,C000357,P000282,REP012,2025-06-02 11:43:35,1,148.28,9.19,139.09,completed,Debit Card
TXN00000159,C000236,P000072,REP006,2025-01-12 11:43:35,2,83.5,2.16,164.84,completed,PayPal
TXN00000160,C000083,P000199,REP011,2025-03-10 11:43:35,10,218.21,284.07,1898.03,completed,Credit Card
TXN00000161,C000027,P000142,REP015,2025-03-17 11:43:35,1,32.78,1.54,31.24,completed,PayPal
TXN00000162,C000260,P000223,REP005,2025-05-07 11:43:35,1,161.07,19.57,141.5,completed,Cash
TXN00000163,C000413,P000101,REP003,2025-01-01 11:43:35,2,113.96,21.33,206.58,completed,Bank Transfer
TXN00000164,C000204,P000069,REP003,2025-03-14 11:43:35,1,154.77,2.97,151.8,completed,Debit Card
TXN00000165,C000198,P000212,REP011,2025-04-23 11:43:35,3,90.88,24.03,248.6,completed,PayPal
TXN00000166,C000350,P000155,REP011,2025-03-15 11:43:35,1,520.76,46.17,474.59,completed,Debit Card
TXN00000167,C000388,P000203,REP014,2025-05-11 11:43:35,1,190.53,12.85,177.68,completed,Cash
TXN00000168,C000373,P000084,,2025-05-17 11:43:35,1,501.67,39.01,462.66,completed,Bank Transfer
TXN00000169,C000060,P000176,REP007,2025-01-16 11:43:35,6,32.37,19.23,175.0,completed,Credit Card
TXN00000170,C000123,P000096,REP013,2025-01-20 11:43:35,7,294.29,288.34,1771.72,completed,PayPal
TXN00000171,C000434,P000044,REP015,2024-12-15 11:43:35,4,23.97,2.28,93.6,completed,Debit Card
TXN00000172,C000439,P000175,REP003,2024-12-23 11:43:35,10,551.36,190.66,5322.92,completed,Credit Card
TXN00000173,C000323,P000053,REP009,2025-03-30 11:43:35,8,47.15,40.41,336.76,completed,PayPal
TXN00000174,C000197,P000293,REP007,2025-02-01 11:43:35,6,195.7,29.62,1144.55,completed,Bank Transfer
TXN00000175,C000455,P000119,REP006,2025-02-19 11:43:35,9,675.04,627.58,5447.75,completed,Debit Card
TXN00000176,C000466,P000151,REP005,2025-01-18 11:43:35,2,113.99,23.73,204.26,completed,Cash
TXN00000177,C000209,P000194,REP006,2025-01-13 11:43:35,9,13.32,12.64,107.24,completed,Credit Card
TXN00000178,C000119,P000174,REP012,2025-02-07 11:43:35,5,64.97,11.66,313.21,completed,Cash
TXN00000179,C000267,P000039,REP014,2025-02-01 11:43:35,2,53.05,4.2,101.91,completed,PayPal
TXN00000180,C000375,P000068,REP003,2024-12-08 11:43:35,9,37.74,33.05,306.64,completed,Credit Card
TXN00000181,C000198,P000098,REP006,2025-05-20 11:43:35,1,280.6,28.21,252.39,completed,Debit Card
TXN00000182,C000312,P000206,REP004,2024-12-10 11:43:35,6,96.3,23.88,553.94,completed,Debit Card
TXN00000183,C000331,P000098,REP015,2025-05-26 11:43:35,4,250.65,84.33,918.25,completed,Cash
TXN00000184,C000480,P000116,REP014,2025-05-27 11:43:35,2,58.37,2.72,114.03,completed,Debit Card
TXN00000185,C000497,P000243,REP013,2025-04-28 11:43:35,8,43.79,1.34,349.01,completed,Bank Transfer
TXN00000186,C000028,P000191,REP005,2025-03-11 11:43:35,1,48.16,0.82,47.34,completed,Debit Card
TXN00000187,C000227,P000056,REP004,2025-02-27 11:43:35,7,643.79,501.95,4004.58,completed,Credit Card
TXN00000188,C000485,P000045,REP002,2025-01-21 11:43:35,8,708.95,187.83,5483.74,completed,Bank Transfer
TXN00000189,C000099,P000073,REP011,2025-03-07 11:43:35,10,236.62,17.04,2349.17,completed,Credit Card
TXN00000190,C000397,P000135,REP015,2025-03-31 11:43:35,9,16.87,3.55,148.3,completed,Cash
TXN00000191,C000472,P000257,REP014,2025-02-10 11:43:35,4,46.26,20.22,164.8,completed,PayPal
TXN00000192,C000102,,REP009,2025-05-09 11:43:35,10,80.96,5.42,804.2,completed,Bank Transfer
TXN00000193,C000179,P000097,REP015,2024-12-14 11:43:35,10,708.02,535.47,6544.68,completed,Bank Transfer
TXN00000194,C000275,P000122,REP007,2025-03-20 11:43:35,4,75.96,13.1,290.72,completed,PayPal
TXN00000195,C000029,P000040,REP009,2025-05-26 11:43:35,2,61.25,0.6,121.9,completed,Bank Transfer
TXN00000196,C000472,P000094,REP002,2025-05-19 11:43:35,4,37.64,16.56,133.98,completed,Cash
TXN00000197,C000159,P000132,REP009,2025-01-12 11:43:35,8,56.14,32.24,416.87,completed,Debit Card
TXN00000198,C000001,P000178,REP002,2024-12-22 11:43:35,8,15.25,6.66,115.37,completed,PayPal
TXN00000199,C000210,P000083,REP009,2025-01-01 11:43:35,2,32.75,7.55,57.95,completed,Credit Card
TXN00000200,C000019,P000161,REP014,2025-05-08 11:43:35,8,108.58,28.34,840.3,completed,Credit Card
TXN00000201,C000028,P000036,REP011,2024-12-26 11:43:35,6,264.86,149.65,1439.51,completed,PayPal
TXN00000202,C000457,P000138,REP002,2024-12-25 11:43:35,7,78.66,45.23,505.36,completed,Cash
TXN00000203,C000456,P000144,REP003,2025-05-26 11:43:35,4,0,11.71,231.28,completed,Debit Card
TXN00000204,C000286,P000226,REP013,2024-12-25 11:43:35,2,53.42,11.9,94.94,completed,Debit Card
TXN00000205,C000075,P000147,REP012,2024-12-15 11:43:35,5,284.74,84.5,1339.2,completed,PayPal
TXN00000206,C000261,P000062,REP008,2025-05-10 11:43:35,2,10.22,1.68,18.76,completed,PayPal
TXN00000207,C000070,P000056,REP008,2025-03-14 11:43:35,5,606.09,283.22,2747.22,completed,Credit Card
TXN00000208,C000005,P000039,REP001,2024-12-22 11:43:35,5,47.87,8.28,231.05,completed,Debit Card
TXN00000209,C000453,P000057,REP015,2025-01-15 11:43:35,3,86.11,8.71,249.61,completed,Debit Card
TXN00000210,C000367,P000093,REP001,2025-03-18 11:43:35,8,20.12,17.05,143.88,completed,PayPal
TXN00000211,C000136,P000169,REP004,2025-02-25 11:43:35,4,225.0,35.13,864.87,completed,Bank Transfer
TXN00000212,C000360,P000200,REP002,2025-04-06 11:43:35,1,53.21,6.14,47.07,completed,Bank Transfer
TXN00000213,C000049,P000068,REP002,2025-05-13 11:43:35,7,36.87,10.06,248.03,completed,Credit Card
TXN00000214,C000443,P000061,REP010,2025-04-12 11:43:35,5,733.37,440.67,3226.16,completed,Debit Card
TXN00000215,C000006,P000231,REP010,2025-05-26 11:43:35,3,26.56,5.1,74.59,completed,PayPal
TXN00000216,C000298,P000091,REP002,2025-05-28 11:43:35,4,30.32,12.31,108.96,completed,PayPal
TXN00000217,C000040,P000121,REP008,2025-03-02 11:43:35,10,124.78,103.97,1143.81,completed,Cash
TXN00000218,C000116,P000186,REP004,2025-02-19 11:43:35,8,511.12,588.25,3500.68,completed,Credit Card
TXN00000219,C000425,P000021,REP002,2025-01-15 11:43:35,5,227.86,109.19,1030.13,completed,Credit Card
TXN00000220,C000215,P000050,REP005,2025-03-06 11:43:35,9,506.89,430.14,4131.83,completed,PayPal
TXN00000221,C000426,P000228,REP001,2025-04-07 11:43:35,10,498.09,409.72,4571.16,completed,Debit Card
TXN00000222,C000107,P000018,REP011,2025-02-20 11:43:35,4,321.46,138.08,1147.77,completed,Credit Card
TXN00000223,C000061,P000049,REP010,2025-05-06 11:43:35,3,53.36,8.93,151.14,completed,Debit Card
TXN00000224,C000059,P000190,REP002,2025-06-01 11:43:35,6,73.84,63.51,379.51,completed,Bank Transfer
TXN00000225,C000029,P000155,REP010,2025-03-28 11:43:35,1,547.4,36.46,510.94,completed,Debit Card
TXN00000226,,P000116,REP009,2025-04-26 11:43:35,7,56.96,24.28,374.43,completed,Cash
TXN00000227,C000459,,REP005,2025-02-20 11:43:35,7,177.45,98.39,1143.75,completed,Bank Transfer
TXN00000228,C000410,P000255,REP008,2025-04-30 11:43:35,5,11.62,8.4,49.7,completed,Cash
TXN00000229,,P000144,REP012,2025-01-03 11:43:35,10,63.43,26.92,607.34,completed,Bank Transfer
TXN00000230,C000314,P000136,REP011,2025-01-20 11:43:35,5,211.95,0.79,1058.94,completed,Bank Transfer
TXN00000231,C000246,P000255,REP008,2024-12-14 11:43:35,4,11.05,1.39,42.83,completed,Debit Card
TXN00000232,C000230,P000050,REP015,2025-03-16 11:43:35,2,574.82,135.39,1014.25,completed,PayPal
TXN00000233,C000206,P000054,REP009,2024-12-17 11:43:35,1,162.74,12.61,150.13,completed,PayPal
TXN00000234,C000257,P000088,REP003,2025-05-04 11:43:35,5,132.58,56.69,606.23,completed,Bank Transfer
TXN00000235,C000280,P000082,REP001,2024-12-13 11:43:35,8,248.32,31.78,1954.81,completed,Credit Card
TXN00000236,C000154,P000098,REP004,2025-01-05 11:43:35,3,237.82,62.77,650.69,completed,PayPal
TXN00000237,C000013,P000238,REP015,2025-05-29 11:43:35,8,104.83,59.64,778.98,completed,Debit Card
TXN00000238,C000352,P000011,REP015,2025-02-02 11:43:35,2,98.2,12.68,183.71,completed,Cash
TXN00000239,C000188,P000196,REP003,2025-01-07 11:43:35,8,95.3,52.34,710.07,completed,Debit Card
TXN00000240,C000250,P000189,REP010,2025-02-02 11:43:35,8,185.27,30.89,-1451.3,completed,Debit Card
TXN00000241,C000043,P000154,REP014,2025-02-25 11:43:35,9,42.92,44.88,341.43,completed,Debit Card
TXN00000242,C000201,P000201,REP004,2025-01-25 11:43:35,3,29.02,7.69,79.36,completed,Debit Card
TXN00000243,C000240,P000195,REP011,2025-03-27 11:43:35,6,25.86,19.54,135.64,completed,Credit Card
TXN00000244,C000452,P000093,REP004,2024-12-27 11:43:35,9,20.7,6.31,180.02,completed,Cash
TXN00000245,C000281,P000069,REP011,2025-03-03 11:43:35,2,155.86,45.78,265.93,completed,Bank Transfer
TXN00000246,C000028,P000160,REP008,2025-04-23 11:43:35,2,53.46,8.68,98.25,completed,Bank Transfer
TXN00000247,C000456,P000154,REP004,2025-04-19 11:43:35,6,42.24,18.78,234.68,completed,PayPal
TXN00000248,C000485,P000271,REP014,2025-04-21 11:43:35,8,801.28,394.21,6016.0,completed,Credit Card
TXN00000249,C000307,P000020,REP009,2025-01-24 11:43:35,8,112.98,78.95,824.85,completed,PayPal
TXN00000250,C000016,P000105,REP004,2025-04-24 11:43:35,1,217.84,19.38,198.46,completed,Bank Transfer
TXN00000251,C000086,P000092,REP002,2025-02-23 11:43:35,9,259.21,24.19,2308.71,completed,PayPal
TXN00000252,C000092,P000284,REP007,2025-01-29 11:43:35,3,17.45,5.71,46.63,completed,Cash
