transaction_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,item_total,discount_amount,discount_percent,tax_amount,final_total,transaction_date,transaction_time,store_id,store_location,sales_channel,sales_person,payment_method,customer_rating,is_return,notes
TXN-000029,ORD-226775,823,HOME-005,Desk Lamp,Home & Garden,3,34.89,104.67,0,0,8.37,113.04,2025-05-29,04:46:08,STR-001,"New York, NY",Phone Order,Christopher Kent,Gift Card,,False,Hot leave require plant.
TXN-000030,ORD-757332,536,CLTH-002,Jeans,Clothing,2,58.95,117.9,0,0,9.43,127.33,2025-05-13,05:34:11,STR-005,"Phoenix, AZ",Mobile App,,PayPal,,False,
TXN-000031,ORD-261887,528,ELEC-001,Wireless Headphones,Electronics,4,82.83,331.32,0,0,26.51,357.83,2025-05-15,13:14:55,STR-005,"Phoenix, AZ",Mobile App,,Apple Pay,,False,
TXN-000032,ORD-742810,13,ELEC-003,Bluetooth Speaker,Electronics,4,98.17,392.68,0,0,31.41,424.09,2025-05-16,10:33:15,STR-002,"Los Angeles, CA",Mobile App,,Cash,,False,
TXN-000033,ORD-963084,979,CLTH-005,Baseball Cap,Clothing,3,25.0,75.0,7.14,9.5,5.43,73.29,2025-05-29,01:45:38,STR-005,"Phoenix, AZ",Online,,Google Pay,,False,
TXN-000034,ORD-879500,739,HOME-001,Coffee Maker,Home & Garden,1,91.63,91.63,0,0,7.33,98.96,2025-05-22,06:04:44,STR-002,"Los Angeles, CA",Online,,Apple Pay,4,False,
TXN-000035,ORD-761228,494,ELEC-005,USB Cable,Electronics,1,13.01,13.01,0,0,1.04,14.05,2025-06-05,14:39:56,STR-003,"Chicago, IL",Phone Order,Allison Medina,Cash,,False,Data describe start than send southern large.
TXN-000036,ORD-785565,249,CLTH-004,Winter Jacket,Clothing,2,114.07,228.14,0,0,18.25,246.39,2025-05-17,21:57:22,STR-003,"Chicago, IL",Phone Order,Linda Mays,Debit Card,,True,
TXN-000037,ORD-620856,44,HOME-004,Kitchen Knife Set,Home & Garden,2,73.63,147.26,24.96,16.9,9.78,132.08,2025-05-26,18:43:31,STR-010,"San Jose, CA",Online,,Google Pay,,False,
TXN-000038,,958,BOOK-003,Mystery Novel,Books,5,15.63,78.15,0,0,6.25,84.4,2025-06-06,22:13:43,STR-008,"San Diego, CA",Online,,PayPal,,False,Senior positive will policy explain certainly outside.
TXN-000039,ORD-196934,687,CLTH-001,Cotton T-Shirt,Clothing,5,22.63,113.15,0,0,9.05,122.2,2025-05-29,07:25:01,STR-010,"San Jose, CA",In-Store,Dr. Todd Davis,Cash,,False,Husband race agreement claim police success.
TXN-000040,ORD-830893,218,ELEC-001,Wireless Headphones,Electronics,1,94.96,94.96,0,0,7.6,102.56,2025-06-01,20:37:40,STR-006,"Philadelphia, PA",Online,,Gift Card,,False,
TXN-000041,ORD-304966,845,ELEC-001,Wireless Headphones,Electronics,3,69.29,207.87,0,0,16.63,224.5,2025-05-13,08:47:50,STR-002,"Los Angeles, CA",Mobile App,,PayPal,,False,
TXN-000042,ORD-275590,622,CLTH-005,Baseball Cap,Clothing,1,22.36,22.36,0,0,1.79,24.15,2025-05-22,11:52:38,STR-007,"San Antonio, TX",Phone Order,Daniel Gonzalez,Cash,,False,
TXN-000043,ORD-386887,410,CLTH-004,Winter Jacket,Clothing,5,121.78,608.9,0,0,48.71,657.61,2025-05-17,14:46:33,STR-007,"San Antonio, TX",Phone Order,Amber Castillo,Apple Pay,4,False,
TXN-000044,ORD-988278,981,BOOK-001,Python Programming Book,Books,-1,37.63,0,0,0,0.0,0.0,2025-05-21,11:22:02,STR-006,"Philadelphia, PA",In-Store,John Johnson,PayPal,2,False,
TXN-000045,ORD-376614,580,HOME-004,Kitchen Knife Set,Home & Garden,4,60.16,240.64,45.89,19.1,15.58,210.33,2025-05-16,23:45:37,STR-003,"Chicago, IL",Phone Order,Michelle Lambert,Apple Pay,,False,
TXN-000046,ORD-598998,110,SPRT-003,Basketball,Sports,4,26.3,105.2,0,0,8.42,113.62,2025-06-07,04:08:26,STR-005,"Phoenix, AZ",In-Store,Gregory Flowers,Apple Pay,,False,
TXN-000047,ORD-102274,,SPRT-001,Yoga Mat,Sports,5,47.53,237.65,0,0,19.01,256.66,2025-06-02,05:53:14,STR-009,"Dallas, TX",Phone Order,Brian Wells,Credit Card,4,False,
TXN-000048,ORD-204786,758,SPRT-004,Tennis Racket,Sports,4,73.32,293.28,43.94,15.0,19.95,269.29,2025-06-01,00:02:39,STR-006,"Philadelphia, PA",Online,Christina Rivera,PayPal,,False,
TXN-000049,ORD-277413,878,SPRT-005,Water Bottle,Sports,1,21.34,21.34,0,0,1.71,23.05,2025-06-05,22:45:06,STR-005,"Phoenix, AZ",Online,,Credit Card,,False,Young heart thought approach.
TXN-000050,ORD-827957,290,SPRT-001,Yoga Mat,Sports,2,38.01,76.02,0,0,6.08,82.1,2025-06-04,01:13:05,STR-003,"Chicago, IL",Phone Order,Jesse Hanna,Credit Card,,False,Pressure east station wear reach.
TXN-000051,ORD-777361,930,BOOK-004,Business Strategy Guide,Books,5,33.7,168.5,0,0,13.48,181.98,2025-06-08,15:49:40,STR-004,"Houston, TX",In-Store,Jocelyn Odom,Apple Pay,,False,Something too both standard thus morning perform free.
TXN-000052,ORD-424247,676,ELEC-002,Smartphone Case,Electronics,4,26.37,105.48,0,0,8.44,113.92,2025-05-19,23:30:43,STR-003,"Chicago, IL",Phone Order,Tracy Moore,Google Pay,,False,
TXN-000053,ORD-285112,527,SPRT-005,Water Bottle,Sports,2,18.91,37.82,0,0,3.03,40.85,2025-05-23,19:11:44,STR-003,"Chicago, IL",In-Store,Mark Calderon Jr.,PayPal,,False,
TXN-000054,ORD-428910,304,ELEC-002,Smartphone Case,Electronics,4,22.31,89.24,0,0,7.14,96.38,2025-05-20,23:44:10,STR-009,"Dallas, TX",Online,,PayPal,3,False,
TXN-000055,ORD-251714,290,ELEC-001,Wireless Headphones,Electronics,3,74.2,222.6,52.53,23.6,13.61,183.68,2025-05-18,02:31:21,STR-007,"San Antonio, TX",In-Store,Jeremy Pearson,Gift Card,4,False,
TXN-000056,ORD-821490,883,BOOK-001,Python Programming Book,Books,3,38.31,114.93,0,0,9.19,124.12,2025-05-15,20:02:36,STR-006,"Philadelphia, PA",In-Store,Shelby Green,Debit Card,,False,
TXN-000057,ORD-104945,370,SPRT-005,Water Bottle,Sports,5,16.01,80.05,0,0,6.4,86.45,2025-05-12,20:04:26,STR-010,"San Jose, CA",In-Store,Stephanie Greene,Credit Card,,True,
TXN-000058,ORD-129707,390,CLTH-003,Running Shoes,Clothing,2,72.43,144.86,13.34,9.2,10.52,142.04,2025-05-29,07:48:54,STR-007,"San Antonio, TX",Mobile App,,Cash,,False,
TXN-000059,ORD-322771,169,BOOK-002,Cookbook,Books,2,24.11,48.22,9.4,19.5,3.11,41.93,2025-06-05,22:29:54,STR-009,"Dallas, TX",Mobile App,,Cash,5,False,
TXN-000060,ORD-743451,416,SPRT-002,Dumbbells,Sports,1,57.71,57.71,12.88,22.3,3.59,48.42,2025-06-04,09:55:05,STR-010,"San Jose, CA",Phone Order,Joshua Dixon,Gift Card,4,False,Just our just subject Congress.
TXN-000061,ORD-879066,848,BOOK-002,Cookbook,Books,5,20.78,103.9,0,0,8.31,112.21,2025-05-16,09:37:18,STR-003,"Chicago, IL",Phone Order,Tina Garcia,Debit Card,,False,
TXN-000062,ORD-544738,461,SPRT-003,Basketball,Sports,4,34.96,139.84,0,0,11.19,151.03,2025-06-10,17:12:20,STR-006,"Philadelphia, PA",Phone Order,Margaret Curtis,Credit Card,4,False,
TXN-000063,ORD-442583,757,ELEC-001,Wireless Headphones,Electronics,5,68.07,340.35,57.96,17.0,22.59,304.98,2025-05-30,01:53:33,STR-009,"Dallas, TX",Mobile App,,Credit Card,,False,
TXN-000064,ORD-318267,133,ELEC-001,Wireless Headphones,Electronics,5,73.93,369.65,0,0,29.57,399.22,2025-06-04,01:13:58,STR-003,"Chicago, IL",In-Store,Lisa White,Apple Pay,,False,High against catch argue finally necessary single.
TXN-000065,ORD-267186,866,ELEC-005,USB Cable,Electronics,1,12.99,12.99,0,0,1.04,14.03,2025-06-09,05:38:44,STR-005,"Phoenix, AZ",In-Store,Mark Strickland,Debit Card,2,False,New team cultural either along movie they.
TXN-000066,ORD-263253,363,HOME-005,Desk Lamp,Home & Garden,5,36.84,184.2,0,0,14.74,198.94,2025-05-16,13:52:43,STR-010,"San Jose, CA",Mobile App,,Cash,,False,Choose space city billion front approach rather.
TXN-000067,ORD-233158,874,SPRT-005,Water Bottle,Sports,3,20.49,61.47,10.11,16.4,4.11,55.47,2025-05-22,14:45:30,STR-009,"Dallas, TX",In-Store,Lynn Dixon,Gift Card,1,False,
TXN-000068,ORD-903535,761,CLTH-002,Jeans,Clothing,4,46.35,185.4,0,0,14.83,200.23,2025-05-23,15:02:08,STR-001,"New York, NY",Online,,Google Pay,,False,
TXN-000069,ORD-852290,604,HOME-002,Garden Hose,Home & Garden,4,41.15,164.6,0,0,13.17,177.77,2025-06-01,02:36:04,STR-006,"Philadelphia, PA",Phone Order,Frederick Hogan,Google Pay,,False,
TXN-000070,ORD-189762,864,CLTH-005,Baseball Cap,Clothing,5,25.04,125.2,6.95,5.6,9.46,127.71,2025-05-16,05:05:31,STR-002,"Los Angeles, CA",Mobile App,,Credit Card,,False,Wrong today side speech.
TXN-000071,ORD-907344,22,CLTH-002,Jeans,Clothing,1,50.67,50.67,9.09,17.9,3.33,44.91,2025-06-04,04:00:41,STR-001,"New York, NY",Phone Order,Damon Lane,Debit Card,,False,People establish store star security.
TXN-000072,ORD-337580,924,BOOK-002,Cookbook,Books,3,24.01,72.03,0,0,5.76,77.79,2025-06-07,04:34:37,STR-001,"New York, NY",In-Store,Corey Pope,PayPal,,False,
TXN-000073,ORD-396627,311,HOME-004,Kitchen Knife Set,Home & Garden,2,69.87,139.74,34.23,24.5,8.44,113.95,2025-05-13,02:52:53,STR-006,"Philadelphia, PA",In-Store,Sarah Hicks,Cash,,False,
TXN-000074,ORD-134837,616,SPRT-002,Dumbbells,Sports,2,51.85,103.7,23.93,23.1,6.38,86.15,2025-05-24,02:29:02,STR-004,"Houston, TX",Phone Order,Jacob Campbell,Debit Card,4,False,
TXN-000075,ORD-221228,490,BOOK-003,Mystery Novel,Books,2,14.97,29.94,0,0,2.4,32.34,2025-05-23,16:58:26,STR-008,"San Diego, CA",Mobile App,,Debit Card,,False,
TXN-000076,ORD-151938,387,CLTH-003,Running Shoes,Clothing,2,75.65,151.3,0,0,12.1,163.4,2025-06-08,14:16:05,STR-001,"New York, NY",Online,,Debit Card,,False,
TXN-000077,ORD-918931,758,BOOK-003,Mystery Novel,Books,3,16.89,50.67,0,0,4.05,54.72,2025-05-20,19:08:15,STR-002,"Los Angeles, CA",Mobile App,,Gift Card,,False,
TXN-000078,ORD-542820,477,BOOK-001,Python Programming Book,Books,5,38.74,193.7,0,0,15.5,209.2,2025-05-23,02:25:19,STR-006,"Philadelphia, PA",Phone Order,Lori Reed,Gift Card,,False,
TXN-000079,ORD-692037,772,SPRT-005,Water Bottle,Sports,1,20.07,20.07,2.03,10.1,1.44,19.48,2025-05-30,09:50:53,STR-008,"San Diego, CA",Online,,Apple Pay,2,False,Establish president wife situation.
TXN-000080,ORD-685308,557,SPRT-002,Dumbbells,Sports,4,53.21,212.84,0,0,17.03,229.87,2025-06-02,05:14:16,STR-006,"Philadelphia, PA",Phone Order,Daniel Walker,Debit Card,3,False,
TXN-000081,ORD-780791,184,SPRT-004,Tennis Racket,Sports,1,78.67,78.67,0,0,6.29,84.96,2025-06-06,23:37:46,STR-010,"San Jose, CA",Online,,Cash,,False,
TXN-000082,,938,BOOK-001,Python Programming Book,Books,3,47.81,143.43,0,0,11.47,154.9,2025-05-18,13:05:49,STR-007,"San Antonio, TX",Mobile App,,Gift Card,,False,
TXN-000083,ORD-539931,280,BOOK-004,Business Strategy Guide,Books,2,29.98,59.96,0,0,4.8,64.76,2025-05-20,11:42:06,STR-008,"San Diego, CA",In-Store,Gary Daniels,PayPal,,False,
TXN-000084,ORD-690962,,BOOK-004,Business Strategy Guide,Books,1,35.79,35.79,0,0,2.86,38.65,2025-05-15,22:38:20,STR-009,"Dallas, TX",In-Store,Mr. Robert Shepard,Debit Card,,False,
TXN-000085,ORD-819256,493,ELEC-004,Laptop Charger,Electronics,4,47.85,191.4,0,0,15.31,206.71,2025-05-15,16:36:04,STR-006,"Philadelphia, PA",Phone Order,Erin Patterson,Apple Pay,1,False,
TXN-000086,ORD-235683,,SPRT-001,Yoga Mat,Sports,4,42.52,170.08,0,0,13.61,183.69,2025-05-16,19:01:04,STR-007,"San Antonio, TX",Phone Order,Sarah Figueroa,Apple Pay,,False,
TXN-000087,ORD-463667,190,SPRT-003,Basketball,Sports,1,30.58,30.58,0,0,2.45,33.03,2025-05-18,09:47:47,STR-005,"Phoenix, AZ",Phone Order,Justin Gallagher,Google Pay,,False,Strategy join race myself author theory crime table.
TXN-000088,ORD-917103,402,CLTH-002,Jeans,Clothing,3,49.89,149.67,0,0,11.97,161.64,2025-05-14,14:54:24,STR-003,"Chicago, IL",Online,,Gift Card,1,False,
TXN-000089,ORD-769442,625,CLTH-002,Jeans,Clothing,1,41.42,41.42,6.01,14.5,2.83,38.24,2025-06-10,15:33:04,STR-010,"San Jose, CA",In-Store,Kurt Little,Cash,2,False,
TXN-000090,ORD-635753,304,SPRT-003,Basketball,Sports,3,25.79,77.37,18.08,23.4,4.74,64.03,2025-05-17,15:41:11,STR-002,"Los Angeles, CA",Mobile App,,Gift Card,5,False,
TXN-000091,ORD-910019,,SPRT-004,Tennis Racket,Sports,4,,0,0,0,0.0,0.0,2025-06-01,18:32:25,STR-003,"Chicago, IL",Online,,Cash,2,False,
TXN-000092,ORD-138859,688,HOME-005,Desk Lamp,Home & Garden,2,39.73,79.46,12.79,16.1,5.33,72.0,2025-05-26,02:22:49,STR-009,"Dallas, TX",Phone Order,John Green,Gift Card,,False,
TXN-000093,ORD-325252,255,CLTH-004,Winter Jacket,Clothing,1,144.25,144.25,21.82,15.1,9.79,132.22,2025-06-03,21:52:29,STR-006,"Philadelphia, PA",In-Store,Amanda Morales,PayPal,,False,
TXN-000094,ORD-768222,74,HOME-003,Throw Pillow,Home & Garden,4,31.1,124.4,0,0,9.95,134.35,2025-06-04,11:43:33,STR-003,"Chicago, IL",Phone Order,Evelyn Spencer,Credit Card,,False,
TXN-000095,ORD-571077,407,SPRT-005,Water Bottle,Sports,3,21.54,64.62,0,0,5.17,69.79,2025-05-22,08:11:41,STR-004,"Houston, TX",In-Store,Elizabeth Green,Apple Pay,1,False,
TXN-000096,ORD-465841,516,SPRT-005,Water Bottle,Sports,1,18.69,18.69,3.37,18.0,1.23,16.55,2025-05-24,04:46:58,STR-001,"New York, NY",Mobile App,,Credit Card,,False,Keep raise become form.
TXN-000097,ORD-977097,433,HOME-002,Garden Hose,Home & Garden,5,37.92,189.6,0,0,15.17,204.77,2025-06-04,19:10:26,STR-005,"Phoenix, AZ",In-Store,Lisa Owen,Cash,,False,
TXN-000098,ORD-209966,249,HOME-003,Throw Pillow,Home & Garden,5,32.76,163.8,0,0,13.1,176.9,2025-06-02,12:11:50,STR-007,"San Antonio, TX",Phone Order,James Miller,Credit Card,3,False,
TXN-000099,ORD-494194,473,BOOK-002,Cookbook,Books,2,22.47,44.94,0,0,3.6,48.54,2025-06-01,08:23:32,STR-003,"Chicago, IL",Phone Order,Rachel Beck,Debit Card,,False,
TXN-000100,ORD-183070,693,ELEC-001,Wireless Headphones,Electronics,3,87.58,262.74,0,0,21.02,283.76,2025-05-20,19:52:43,STR-010,"San Jose, CA",In-Store,Brandon Acosta,Credit Card,1,False,
TXN-000101,ORD-948425,589,CLTH-002,Jeans,Clothing,2,-10.99,-21.98,0,0,-1.76,-23.74,2025-05-16,00:50:47,STR-004,"Houston, TX",In-Store,Dean Buck,Apple Pay,4,False,Vote quickly group occur.
TXN-000102,ORD-306633,187,CLTH-004,Winter Jacket,Clothing,4,145.02,580.08,40.68,7.0,43.15,582.55,2025-05-20,18:07:01,STR-001,"New York, NY",In-Store,Kelsey Miller,Apple Pay,,False,
TXN-000103,ORD-759234,64,ELEC-005,USB Cable,Electronics,5,14.9,74.5,0,0,5.96,80.46,2025-06-09,05:25:38,STR-008,"San Diego, CA",In-Store,Carla Reed,Apple Pay,,True,
TXN-000104,ORD-110819,161,SPRT-003,Basketball,Sports,5,27.55,137.75,0,0,11.02,148.77,2025-06-08,18:45:53,STR-005,"Phoenix, AZ",Online,,Debit Card,,False,
TXN-000105,ORD-758677,126,BOOK-001,Python Programming Book,Books,4,41.3,165.2,0,0,13.22,178.42,2025-06-16,01:12:33,STR-001,"New York, NY",Online,,Debit Card,3,False,
TXN-000106,ORD-281079,308,BOOK-001,Python Programming Book,Books,3,46.16,138.48,0,0,11.08,149.56,2025-05-23,04:40:53,STR-009,"Dallas, TX",Mobile App,,Google Pay,,False,
TXN-000107,ORD-542290,807,SPRT-001,Yoga Mat,Sports,5,33.21,166.05,0,0,13.28,179.33,2025-05-20,13:08:25,STR-010,"San Jose, CA",Mobile App,,Gift Card,,False,
TXN-000108,ORD-383103,519,CLTH-003,Running Shoes,Clothing,0,97.97,0,0,0,0.0,0.0,2025-05-16,17:14:50,STR-007,"San Antonio, TX",Mobile App,,Cash,,False,
TXN-000109,ORD-557030,177,CLTH-002,Jeans,Clothing,3,50.13,150.39,0,0,12.03,162.42,2025-05-15,16:03:31,STR-001,"New York, NY",Phone Order,Peter Willis,Cash,2,False,
TXN-000110,ORD-210485,240,ELEC-001,Wireless Headphones,Electronics,5,64.17,320.85,0,0,25.67,346.52,2025-05-14,16:02:02,STR-010,"San Jose, CA",Online,,Credit Card,,False,
TXN-000111,ORD-130827,253,BOOK-005,Art History Book,Books,2,48.3,96.6,12.77,13.2,6.71,90.54,2025-06-05,00:16:57,STR-009,"Dallas, TX",Online,,Credit Card,,False,
TXN-000046,ORD-736862,351,BOOK-005,Art History Book,Books,3,56.48,169.44,0,0,13.56,183.0,2025-05-31,23:03:07,STR-004,"Houston, TX",Mobile App,,PayPal,,False,
TXN-000113,ORD-463790,347,BOOK-005,Art History Book,Books,2,59.51,119.02,7.23,6.1,8.94,120.73,2025-06-01,06:18:26,STR-004,"Houston, TX",Online,,Google Pay,,False,Threat everything upon explain.
TXN-000114,ORD-279479,868,BOOK-001,Python Programming Book,Books,3,46.01,138.03,32.95,23.9,8.41,113.49,2025-05-19,13:30:05,STR-009,"Dallas, TX",Phone Order,Dr. Kenneth Griffin,PayPal,,False,
TXN-000115,ORD-111994,648,BOOK-005,Art History Book,Books,5,50.72,253.6,13.09,5.2,19.24,259.75,2025-06-01,23:57:39,STR-005,"Phoenix, AZ",In-Store,Monica Sanders,Gift Card,2,False,
TXN-000116,ORD-165472,587,HOME-002,Garden Hose,Home & Garden,2,45.54,91.08,0,0,7.29,98.37,2025-06-07,17:18:06,STR-001,"New York, NY",Online,,Debit Card,4,False,
TXN-000117,ORD-195243,,BOOK-005,Art History Book,Books,1,45.5,45.5,0,0,3.64,49.14,2025-06-03,15:49:10,STR-007,"San Antonio, TX",Online,,Cash,3,False,
TXN-000118,ORD-735137,741,SPRT-001,Yoga Mat,Sports,2,47.05,94.1,16.54,17.6,6.2,83.76,2025-06-04,10:30:13,STR-009,"Dallas, TX",In-Store,Denise Campos,Apple Pay,5,False,
TXN-000119,ORD-979504,558,SPRT-003,Basketball,Sports,1,30.92,30.92,1.8,5.8,2.33,31.45,2025-05-30,23:10:07,STR-010,"San Jose, CA",Mobile App,,Gift Card,,False,
TXN-000120,,984,SPRT-003,Basketball,Sports,3,34.27,102.81,12.68,12.3,7.21,97.34,2025-06-10,04:43:32,STR-007,"San Antonio, TX",In-Store,William Bowman,PayPal,3,False,
TXN-000121,ORD-931022,103,HOME-002,Garden Hose,Home & Garden,5,43.95,219.75,0,0,17.58,237.33,2025-06-02,09:13:29,STR-009,"Dallas, TX",Online,,Google Pay,,False,
TXN-000122,ORD-877682,39,HOME-005,Desk Lamp,Home & Garden,2,28.93,57.86,0,0,4.63,62.49,2025-05-31,11:02:13,STR-008,"San Diego, CA",Phone Order,Tracy Williams,Cash,,False,
TXN-000123,ORD-414658,908,HOME-003,Throw Pillow,Home & Garden,2,28.1,56.2,0,0,4.5,60.7,2025-05-25,03:14:23,STR-004,"Houston, TX",Mobile App,,Debit Card,,False,
TXN-000124,ORD-172595,311,ELEC-001,Wireless Headphones,Electronics,4,85.74,342.96,0,0,27.44,370.4,2025-06-03,09:32:05,STR-001,"New York, NY",Phone Order,Dennis Anderson,Apple Pay,3,False,Group table step.
TXN-000125,ORD-911241,996,BOOK-005,Art History Book,Books,1,44.37,44.37,0,0,3.55,47.92,2025-06-07,06:58:13,STR-007,"San Antonio, TX",In-Store,Stephanie Hurst,Gift Card,,False,
TXN-000126,ORD-505404,997,ELEC-001,Wireless Headphones,Electronics,5,82.98,414.9,0,0,33.19,448.09,2025-05-22,14:05:04,STR-007,"San Antonio, TX",Mobile App,,Debit Card,,False,
TXN-000127,ORD-151077,760,SPRT-005,Water Bottle,Sports,5,22.46,112.3,0,0,8.98,121.28,2025-05-15,08:52:25,STR-008,"San Diego, CA",Online,,Cash,,False,
TXN-000128,ORD-363584,986,CLTH-001,Cotton T-Shirt,Clothing,4,20.45,81.8,13.49,16.5,5.46,73.77,2025-06-02,12:55:40,STR-002,"Los Angeles, CA",Mobile App,,Google Pay,5,True,
